SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat;Cuartil_sup_Precio_Esp_Cat
Nueva Ola_Cynopotamus magdalenae_Revuelto;1709;2591
Nueva Ola_Curimata mivartii_Revuelto;1624;2400
Nueva Ola_Triportheus magdalenae_Revuelto;1971;2317
Nueva Ola_Pimelodus grosskopfii_Revuelto;2091;3862
Nueva Ola_Megaleporinus muyscorum_Revuelto;1948;3060
Nueva Ola_Hoplias malabaricus_Revuelto;3313;5193
Nueva Ola_Prochilodus magdalenae_Pequeño;5855;7542
Jurubirá_Hyporthodus acanthistius_Pequeño;14000;14000
Pomeño_Notarius troschelii_Revuelto;10000;10000
Bahía de Santa Marta_Caranx crysos_Mediano;8775;9936
La Boquilla_Sciades proops_Mediano;8237;9873
Pomeño_Centropomus robalito_Revuelto;16000;16000
Pomeño_Haemulopsis leuciscus_Pequeño;12000;12000
Pomeño_Ariopsis seemanni_Revuelto;10000;10000
Bahía de Santa Marta_Thunnus alalunga_Pequeño;9612;13887
Camarones_Eucinostomus melanopterus_Revuelto;8100;9900
Jurubirá_Hyporthodus niphobles_Pequeño;14000;14000
Sicará_Megalops atlanticus_Pequeño;5314;9548
Las Delicias_Lutjanus griseus_Pequeño;6050;6950
Bahía de Santa Marta_Caranx hippos_Mediano;10638;10638
Las Delicias_Chloroscombrus chrysurus_Grande;5000;5000
Purricha_Penaeus occidentalis_Revuelto;20000;20000
Purricha_Polydactylus opercularis_Revuelto;10000;12000
Puerto Arriba (Dibulla)_Trachinotus carolinus_Grande;4908;5799
Camarones_Bagre filamentosus_Mediano;4403;4458
Las Delicias_Umbrina coroides_Pequeño;5000;5000
Las Delicias_Haemulopsis corvinaeformis_Pequeño;4000;4000
Puerto Arriba (Dibulla)_Lutjanus synagris_Pequeño;11017;14000
Isla Fuerte_Lutjanus analis_Mediano;12895;15461
Las Delicias_Albula vulpes_Grande;4000;5000
Puerto Cabuyaro_Ageneiosus inermis_Revuelto;5681;6000
Puerto Cabuyaro_Sorubim lima_Revuelto;6000;7000
Candelaria (Achí)_Oreochromis niloticus_Pequeño;3596;4030
Ciénaga de Mesolandia_Oreochromis niloticus_Pequeño;7474;12986
Purricha_Sciades dowii_Revuelto;6800;10000
San Luis_Prochilodus magdalenae_Grande;10000;10000
Agropez_Micropogonias furnieri_Mediano;8000;8000
San Luis_Prochilodus magdalenae_Pequeño;4968;5158
Cangrejito_Elops smithi_Grande;4000;4000
Puerto Cabuyaro_Brachyplatystoma vaillantii_Revuelto;11947;12900
La Boquilla_Mugil curema_Revuelto;9217;9217
Ciénaga de Mesolandia_Plagioscion magdalenae_Pequeño;7058;9880
Bazán La Bocana_Scomberomorus sierra_Grande;10100;11900
Agropez_Scomberomorus regalis_Mediano;18000;18000
Agropez_Elops smithi_Grande;12500;15000
Agropez_Seriola dumerili_Mediano;14000;14900
Agropez_Scomberomorus brasiliensis_Mediano;18000;18000
Puerto de las Canoas (Puerto Berrío)_Ageneiosus pardalis_Revuelto;14000;14000
Las Delicias_Scomberomorus cavalla_Revuelto;12000;12000
Agropez_Lutjanus griseus_Revuelto;22611;22611
Mantequera_Prochilodus magdalenae_Mediano;5537;10213
Guataquí_Prochilodus magdalenae_Revuelto;12097;12097
Guazo_Ageneiosus pardalis_Pequeño;9937;10000
Puerto de las Canoas (Puerto Berrío)_Pimelodus yuma_Revuelto;6000;6000
San Luis_Pimelodus yuma_Revuelto;2273;2482
Guataquí_Pimelodus grosskopfii_Revuelto;23030;46900
Santa Rosa_Scomberomorus brasiliensis_Revuelto;14032;19802
Las Delicias_Seriola rivoliana_Mediano;8000;8000
Puerto Asure_Plagioscion magdalenae_Pequeño;6000;6813
Guataquí_Sorubim cuspicaudus_Revuelto;17065;17065
Las Delicias_Rhomboplites aurorubens_Mediano;5000;5000
Las Delicias_Calamus penna_Mediano;8000;8800
Puerto Asure_Prochilodus magdalenae_Revuelto;7540;7540
Nueva Ola_Trachelyopterus insignis_Revuelto;854;1461
Ciénaga de Mesolandia_Megaleporinus muyscorum_Grande;7065;9624
Agropez_Caranx hippos_Grande;14098;15000
Agropez_Centropomus undecimalis_Grande;20000;20000
Guazo_Sorubim cuspicaudus_Pequeño;5897;7013
Guazo_Prochilodus magdalenae_Pequeño;6127;6703
Bocanegra_Chaetodipterus faber_Revuelto;10000;10000
Bocanegra_Eugerres plumieri_Revuelto;6462;12333
Ciénaga de Mesolandia_Hoplias malabaricus_Mediano;6612;10074
Pizarro_Selene peruviana_Grande;8000;8900
Bocanegra_Cynoscion leiarchus_Grande;10448;10448
Bocanegra_Mugil incilis_Pequeño;2992;3915
Muelles del Camarón_Protrachypene precipua_Pequeño;2250;3000
Bocanegra_Penaeus schmitti_Pequeño;16200;19800
Mantequera_Sorubim cuspicaudus_Mediano;3832;6529
Pomeño_Penaeus occidentalis_Revuelto;50000;50000
Pomeño_Larimus argenteus_Revuelto;14000;14000
Pomeño_Bagre panamensis_Revuelto;7000;7000
Codis_Caranx latus_Mediano;9399;9962
Mantequera_Cyphocharax magdalenae_Revuelto;1746;2826
La Boquilla_Lobotes surinamensis_Pequeño;9910;12244
Bocanegra_Centropomus ensiferus_Pequeño;15385;15385
El Porvenir_Lobotes surinamensis_Mediano;13911;13911
Guazo_Prochilodus magdalenae_Grande;11317;12218
Las Brisas_Prochilodus magdalenae_Pequeño;8333;11275
Puerto Principal (Puerto Lleras)_Pseudoplatystoma metaense_Revuelto;13934;13934
Casco Urbano (Arauca)_Pseudoplatystoma orinocoense_Grande;10000;12000
Casco Urbano (Arauca)_Phractocephalus hemioliopterus_Grande;5000;5000
Casco Urbano (Arauca)_Calophysus macropterus_Revuelto;5000;5000
La Pedrera_Pinirampus pirinampu_Mediano;7923;7923
La Pedrera_Brachyplatystoma platynemum_Mediano;7912;7912
La Pedrera_Brachyplatystoma juruense_Mediano;7826;7826
La Pedrera_Pseudoplatystoma punctifer_Mediano;7002;7882
La Pedrera_Leiarius marmoratus_Mediano;7005;7783
La Pedrera_Brycon amazonicus_Pequeño;6964;7957
Purricha_Lutjanus argentiventris_Revuelto;12000;12000
Purricha_Notarius troschelii_Grande;10000;11800
Purricha_Ariopsis seemanni_Revuelto;10000;10000
Purricha_Epinephelus quinquefasciatus_Pequeño;10000;13883
Purricha_Bagre panamensis_Revuelto;5150;10000
Tajamar Occidental_Elops smithi_Mediano;6288;8815
Belén (San Marcos)_Triportheus magdalenae_Revuelto;1162;1184
Belén (San Marcos)_Pseudoplatystoma magdaleniatum_Grande;5150;6041
Las Flores_Lutjanus synagris_Grande;16000;16000
Puerto Arriba (Dibulla)_Umbrina coroides_Pequeño;1981;1999
Purricha_Kyphosus elegans_Pequeño;12000;12000
Purricha_Stellifer scierus_Pequeño;12000;12000
Codis_Gerres cinereus_Pequeño;4945;4945
Codis_Centropomus undecimalis_Mediano;13348;14677
Codis_Cynoscion acoupa_Mediano;9679;9700
Codis_Megalops atlanticus_Grande;14305;14538
El Roto_Prochilodus magdalenae_Pequeño;4776;5986
El Roto_Mugil incilis_Revuelto;2993;2993
El Roto_Hoplias malabaricus_Grande;4751;5618
Piedras Blancas_Octopus vulgaris_Revuelto;14688;15000
El Roto_Lobotes surinamensis_Grande;4648;4975
Bazurto_Conodon nobilis_Grande;8089;9689
El Roto_Sciades proops_Revuelto;4897;4963
El Porvenir_Panulirus guttatus_Pequeño;16972;27393
El Porvenir_Caranx bartholomaei_Pequeño;13861;13861
Las Flores_Mugil liza_Grande;11000;11000
Piedras Blancas_Mycteroperca bonaci_Revuelto;6895;6992
Arquimedes_Trichiurus lepturus_Revuelto;4348;6057
Piedras Blancas_Panulirus guttatus_Mediano;17879;17879
Piedras Blancas_Panulirus guttatus_Grande;35000;35000
Bazurto_Haemulon plumieri_Grande;9939;9939
Bazurto_Sparisoma chrysopterum_Mediano;4715;7667
El Roto_Lutjanus buccanella_Grande;16394;18655
El Roto_Centropomus undecimalis_Mediano;17520;18690
Bazurto_Centropomus pectinatus_Mediano;15446;16787
El Roto_Ariopsis canteri_Grande;4620;4936
Providencia o Caimancito_Trichopodus pectoralis_Revuelto;897;1143
Muelle Hong Kong_Brachyplatystoma juruense_Revuelto;13726;14933
Muelle Hong Kong_Plagioscion squamosissimus_Revuelto;15957;15957
Providencia o Caimancito_Prochilodus magdalenae_Grande;9571;11636
Providencia o Caimancito_Prochilodus magdalenae_Pequeño;4229;4553
Desembarcadero (Juradó)_Scomberomorus sierra_Mediano;18000;18000
Providencia o Caimancito_Sorubim cuspicaudus_Pequeño;6860;7114
Providencia o Caimancito_Pseudoplatystoma magdaleniatum_Grande;4959;5035
Providencia o Caimancito_Pseudoplatystoma magdaleniatum_Pequeño;4902;5000
Dorada_Sorubim cuspicaudus_Grande;6966;7034
Usaragá_Haemulopsis leuciscus_Revuelto;7000;7000
Usaragá_Centropomus medius_Grande;12000;12000
Usaragá_Notarius troschelii_Grande;7000;7000
Usaragá_Bagre pinnimaculatus_Grande;7000;7000
Usaragá_Kyphosus elegans_Revuelto;7000;7000
Usaragá_Menticirrhus panamensis_Revuelto;7050;7950
Usaragá_Centropomus armatus_Revuelto;12000;12000
Taganga_Lutjanus analis_Mediano;12500;20000
Sapzurro_Lutjanus buccanella_Revuelto;30000;30000
Guazo_Prochilodus magdalenae_Revuelto;6440;10286
Sapzurro_Mycteroperca bonaci_Extragrande;24000;24000
Sapzurro_Lutjanus buccanella_Pequeño;30000;30000
Guazo_Pseudoplatystoma magdaleniatum_Pequeño;6003;6058
Cabo de la Vela_Lutjanus analis_Pequeño;8462;8462
Cabo de la Vela_Lutjanus analis_Mediano;12593;12593
Cabo de la Vela_Haemulon plumieri_Revuelto;6289;7962
Isla Fuerte_Lutjanus synagris_Mediano;14857;14857
Puerto (Orocué)_Ageneiosus dentatus_Revuelto;10000;10000
Villanueva_Pseudoplatystoma magdaleniatum_Pequeño;4976;5051
Betania (Montecristo)_Oreochromis niloticus_Grande;4981;5000
Morrosquillo_Caranx crysos_Mediano;7486;8942
Villanueva_Plagioscion magdalenae_Grande;7964;8048
Villanueva_Megaleporinus muyscorum_Revuelto;4216;4747
Betania (Montecristo)_Pseudoplatystoma magdaleniatum_Grande;4972;5000
Morrosquillo_Caranx hippos_Grande;7480;8206
Villanueva_Oreochromis niloticus_Grande;8000;8004
Villanueva_Oreochromis niloticus_Pequeño;4988;5000
Villanueva_Sorubim cuspicaudus_Pequeño;4885;5000
Puerto Antequera_Prochilodus magdalenae_Grande;10000;10000
Santa Cruz - Naya_Cynoscion albus_Pequeño;12050;12950
Santa Cruz - Naya_Centropomus medius_Mediano;12100;13004
Santa Cruz - Naya_Lutjanus peru_Mediano;12000;12000
Santa Cruz - Naya_Caranx caninus_Mediano;6000;6000
Puerto de Gamarra_Megaleporinus muyscorum_Grande;5000;6796
Puerto de Gamarra_Sorubim cuspicaudus_Pequeño;10000;16500
Puerto de Gamarra_Plagioscion magdalenae_Revuelto;7150;11700
Puerto de Gamarra_Sorubim cuspicaudus_Grande;12000;14450
Puerto de Gamarra_Prochilodus magdalenae_Grande;10000;15400
Puerto de Gamarra_Megaleporinus muyscorum_Pequeño;2000;4000
Puerto de Gamarra_Pimelodus grosskopfii_Grande;10000;10000
Domingodó_Pseudopimelodus sp. 1_Mediano;12500;12500
Cecilia_Curimata mivartii_Revuelto;1261;1600
Puerto de Gamarra_Prochilodus magdalenae_Mediano;6000;8000
Bazurto_Trichiurus lepturus_Revuelto;8000;8000
Muelle Principal (Puerto Leguízamo)_Pinirampus pirinampu_Revuelto;6170;7000
Santa Cruz - Naya_Lutjanus peru_Grande;12000;12000
Domingodó_Centropomus undecimalis_Grande;23235;23405
Villanueva_Cynopotamus magdalenae_Revuelto;1835;2232
Playa Totumo_Caranx crysos_Revuelto;12200;15800
Palanca_Curimata mivartii_Revuelto;2276;2961
Domingodó_Caquetaia kraussii_Revuelto;6452;11221
Santa Cruz - Naya_Penaeus occidentalis_Revuelto;34000;34000
Santa Cruz - Naya_Centropomus armatus_Pequeño;12000;12000
Puerto Boca_Prochilodus magdalenae_Grande;10379;11688
Santa Cruz - Naya_Centropomus armatus_Mediano;13000;13000
Betania - Naya_Bagre panamensis_Mediano;4250;4256
Betania - Naya_Bagre pinnimaculatus_Grande;6756;8000
Carrizal_Panulirus argus_Mediano;15000;15000
Betania - Naya_Centropomus armatus_Revuelto;12000;12000
Betania - Naya_Penaeus occidentalis_Revuelto;30000;30000
Betania - Naya_Centropomus medius_Revuelto;12000;12000
Carrizal_Lutjanus synagris_Revuelto;12000;12000
Domingodó_Ageneiosus pardalis_Revuelto;19615;22836
Betania - Naya_Notarius troschelii_Revuelto;6750;6752
Cispataca_Sorubim cuspicaudus_Grande;6917;7075
Las Tenazas_Haemulon plumieri_Mediano;8000;8000
Betania - Naya_Scomberomorus sierra_Revuelto;4250;4251
Betania - Naya_Larimus argenteus_Revuelto;4251;4251
Betania - Naya_Cynoscion phoxocephalus_Mediano;12000;12000
Ica-Copipa_Scomberomorus cavalla_Grande;27981;27998
Betania - Naya_Centropomus medius_Pequeño;12000;12000
Vigía_Penaeus occidentalis_Revuelto;33000;36000
Berrugas_Megalops atlanticus_Grande;8942;11532
Purricha_Macrodon mordax_Grande;12000;12000
Vigía_Cynoscion albus_Grande;23000;24000
Vigía_Bagre pinnimaculatus_Grande;7000;7000
Barrio Abajo (Ciénaga)_Megalops atlanticus_Grande;8962;8998
El Malecón (Neiva)_Pimelodus yuma_Revuelto;11191;12000
Mayapo_Lutjanus analis_Grande;10000;10000
Mayapo_Bagre filamentosus_Revuelto;3939;3939
El Muelle (Barrancabermeja)_Sorubim cuspicaudus_Revuelto;13005;14030
El Muelle (Barrancabermeja)_Panaque cochliodon_Revuelto;5955;6120
Isla Fuerte_Lutjanus purpureus_Mediano;23080;25187
Isla Fuerte_Rhomboplites aurorubens_Revuelto;10000;10000
Isla Fuerte_Etelis oculatus_Mediano;25000;25000
El Muelle (Barrancabermeja)_Prochilodus magdalenae_Pequeño;4018;7028
El Muelle (Barrancabermeja)_Prochilodus magdalenae_Mediano;8019;8758
Purricha_Sciades dowii_Grande;10000;10000
Mayapo_Balistes capriscus_Mediano;2495;2495
Buchadó_Prochilodus magdalenae_Grande;1955;1955
Arrimadero La Unión_Scomberomorus sierra_Revuelto;14000;14000
El Muelle (Barrancabermeja)_Triportheus magdalenae_Revuelto;4021;4021
Tasajera La Playa_Seriola rivoliana_Mediano;8000;8000
Arrimadero La Unión_Sphyraena ensis_Revuelto;14000;14000
Arrimadero La Unión_Polydactylus opercularis_Revuelto;14000;14000
Policía fluvial (Quibdó)_Pseudopimelodus sp. 1_Revuelto;7998;10000
Policía fluvial (Quibdó)_Ageneiosus pardalis_Pequeño;15000;15000
Virudó_Bagre pinnimaculatus_Revuelto;10000;12000
Barrio Chino_Pseudoplatystoma magdaleniatum_Pequeño;2979;2979
Purricha_Kyphosus elegans_Mediano;12000;12000
El Muelle (Barrancabermeja)_Pseudoplatystoma magdaleniatum_Mediano;14133;15902
Buchadó_Brycon moorei_Mediano;5977;5991
Buchadó_Colossoma macropomum_Grande;5997;5999
Buchadó_Pseudopimelodus sp. 1_Mediano;5961;5998
Arrimadero La Unión_Thunnus albacares_Revuelto;14000;14000
Arrimadero La Unión_Lutjanus novemfasciatus_Revuelto;16000;16000
Virudó_Bairdiella ensifera_Revuelto;12000;12000
Virudó_Lutjanus peru_Grande;12000;12000
Arrimadero La Unión_Seriola peruana_Revuelto;14000;14000
Arrimadero La Unión_Lutjanus aratus_Revuelto;16000;16000
Las Delicias_Haemulon aurolineatum_Mediano;3000;4000
Las Delicias_Lutjanus synagris_Revuelto;9000;14000
Las Delicias_Scomberomorus cavalla_Pequeño;12000;12000
Tribugá_Sphyraena ensis_Pequeño;14000;14000
Tribugá_Tylosurus fodiator_Mediano;14000;14000
Tribugá_Lobotes pacifica_Grande;14000;14000
Tribugá_Notarius troschelii_Grande;14000;14000
Puerto Ciénaga de Paredes_Oreochromis niloticus_Revuelto;6969;7000
Arrimadero La Unión_Hyporthodus acanthistius_Mediano;12000;12000
Arrimadero La Unión_Coryphaena hippurus_Mediano;12000;12000
San José de la Calle_Sternopygus aequilabiatus_Revuelto;5975;5975
San José de la Calle_Ageneiosus pardalis_Revuelto;15983;15998
San José de la Calle_Sternopygus aequilabiatus_Mediano;5763;5955
Punta Bonita_Selene peruviana_Revuelto;5200;7000
Punta Bonita_Otros pescadilla_Revuelto;6400;7000
La Playa (El Banco)_Prochilodus magdalenae_Mediano;8100;9900
Cabo Marzo_Lutjanus peru_Mediano;15200;16000
Cabo Marzo_Lutjanus peru_Platero (para pargos);22000;22000
Punta Bonita_Scomberomorus sierra_Grande;14000;21133
Punta Bonita_Caranx caninus_Grande;7000;7000
Ciénaga de Mesolandia_Trichopodus pectoralis_Grande;2179;3291
Puerto Principal (Leticia)_Pimelodus blochii_Grande;12500;12500
Ciénaga de Mesolandia_Oreochromis niloticus_Grande;9524;9524
Loma - San Sebastián_Sorubim cuspicaudus_Revuelto;4176;9816
Ica-Copipa_Menticirrhus americanus_Pequeño;14257;15986
Puerto Abajo (Dibulla)_Elops smithi_Grande;3000;4800
Puerto Abajo (Dibulla)_Caranx hippos_Grande;7000;7077
Barrio Chino_Curimata mivartii_Revuelto;2353;2992
Policía fluvial (Quibdó)_Sternopygus aequilabiatus_Grande;7981;8009
Policía fluvial (Quibdó)_Caquetaia kraussii_Revuelto;8002;8032
Punta de blanco_Pseudoplatystoma magdaleniatum_Grande;5922;6042
Policía fluvial (Quibdó)_Prochilodus magdalenae_Mediano;5269;5269
Policía fluvial (Quibdó)_Sternopygus aequilabiatus_Mediano;7903;8014
El Pájaro_Lutjanus cyanopterus_Revuelto;4861;4861
Policía fluvial (Quibdó)_Sternopygus aequilabiatus_Revuelto;7957;7976
Casco urbano (Puerto Escondido)_Ariopsis canteri_Mediano;12000;12000
Paujil_Satanoperca daemon_Revuelto;5904;5904
Playa Necoclí_Sciades proops_Mediano;10800;12000
Cabo de la Vela_Lutjanus synagris_Pequeño;12000;12000
La Ensenada_Cynoscion phoxocephalus_Pequeño;3500;3500
La Ensenada_Bagre panamensis_Pequeño;2500;2500
La Ensenada_Larimus acclivis_Pequeño;2500;2500
La Ensenada_Polydactylus approximans_Pequeño;3500;3500
Casco urbano (Puerto Escondido)_Scomberomorus cavalla_Revuelto;19264;20449
Bocanegra_Lutjanus purpureus_Pequeño;8000;8000
Barrio Chino_Sorubim cuspicaudus_Pequeño;2986;2986
Barrio Chino_Cynopotamus magdalenae_Revuelto;987;1596
Barrio La Unión_Sciades proops_Grande;8522;8998
Cangrejito_Cathorops wayuu_Mediano;1993;2000
La Ensenada_Acanthocybium solandri_Mediano;3500;3500
La Ensenada_Notarius troschelii_Pequeño;3500;3500
La Ensenada_Eucinostomus currani_Pequeño;2500;2500
Poportín_Sphyraena guachancho_Grande;11961;11961
Villa Fátima_Haemulon aurolineatum_Revuelto;1591;1990
Mercado (Lorica)_Pimelodus yuma_Revuelto;2812;5340
Camarones_Bagre filamentosus_Pequeño;4471;4471
Camarones_Sphyraena guachancho_Revuelto;6000;6000
Cooperativas - Pueblo Nuevo_Lutjanus guttatus_Mediano;17000;17000
Cooperativas - Pueblo Nuevo_Cyclopsetta querna_Revuelto;5000;5000
Cooperativas - Pueblo Nuevo_Prionotus spp. ppalmente prionotus horrens_Revuelto;3550;4000
Nueva Colonia_Mugil incilis_Grande;6000;7800
Curvaradó_Megaleporinus muyscorum_Pequeño;5000;5000
Popoya Playa_Hyporthodus nigritus_Mediano;5000;5000
Popoya Playa_Elops smithi_Grande;4545;4545
Popoya Playa_Chloroscombrus chrysurus_Mediano;4545;4545
La Punta_Lutjanus griseus_Grande;21746;21977
Puerto Bogotá_Sorubim cuspicaudus_Revuelto;10000;14200
Primera Ensenada_Rachycentron canadum_Mediano;13639;14028
Pizarro_Lutjanus peru_Grande;16000;16000
Pizarro_Sciades dowii_Grande;6050;6950
Pizarro_Trachinotus kennedyi_Grande;6000;6000
Rincón del Mar_Sphyraena barracuda_Grande;19789;19789
Tagachí_Pseudopimelodus sp. 1_Revuelto;11991;11998
Tagachí_Ageneiosus pardalis_Pequeño;13550;13922
Puerto Bogotá_Pimelodus yuma_Revuelto;7500;7500
Puerto El Waffe marino_Caranx hippos_Revuelto;11993;12000
Tajamar Occidental_Caranx crysos_Revuelto;9174;9174
Tajamar Occidental_Panulirus argus_Pequeño;27978;28789
Bahía de Santa Marta_Megalops atlanticus_Grande;9524;9524
Barrio Abajo (Ciénaga)_Elops smithi_Revuelto;5690;5690
La Ensenada_Caranx caninus_Pequeño;2500;2500
La Ensenada_Menticirrhus panamensis_Pequeño;3500;3500
Cupica_Caulolatilus affinis_Pequeño;16000;16000
La Ensenada_Bagre panamensis_Revuelto;2500;2500
Puente Chambacú - Río Jella_Thunnus albacares_Mediano;7000;7000
La Ensenada_Polydactylus approximans_Revuelto;3500;3500
Puerto Triunfo_Brycon moorei_Revuelto;16000;17813
Bahía de Santa Marta_Lutjanus apodus_Grande;20000;20000
Bahía de Santa Marta_Alectis ciliaris_Grande;8351;15680
Pizarro_Stellifer scierus_Revuelto;8000;8000
Pizarro_Menticirrhus panamensis_Pequeño;8000;8000
Puente Chambacú - Río Jella_Epinephelus quinquefasciatus_Grande;16000;16000
Jurubirá_Caranx caballus_Mediano;7000;7000
Campo alegre_Curimata mivartii_Revuelto;1558;1858
Codis_Sciades proops_Mediano;7889;9889
Maracayo_Sorubim cuspicaudus_Pequeño;10417;10417
Puerto Los Córdobas_Bairdiella ronchus_Pequeño;18886;19213
Puerto Los Córdobas_Penaeus schmitti_Grande;27731;31475
Puerto Los Córdobas_Cynoscion jamaicensis_Mediano;19287;19847
La Chamba_Sorubim cuspicaudus_Revuelto;13989;14010
Puerto Los Córdobas_Nebris microps_Mediano;18865;21769
Puerto Los Córdobas_Nebris microps_Grande;18641;21791
Puerto Los Córdobas_Menticirrhus americanus_Mediano;19655;21308
Puerto Los Córdobas_Bairdiella ronchus_Mediano;18853;21294
Puerto Los Córdobas_Bairdiella ronchus_Grande;19634;21272
Puerto Barrio El Progreso_Isorineloricaria tenuicauda_Revuelto;4957;4957
Puerto Barrio El Progreso_Megaleporinus muyscorum_Revuelto;1599;1599
Puerto Barrio El Progreso_Plagioscion magdalenae_Revuelto;7999;8000
Isla Fuerte_Euthynnus alletteratus_Revuelto;8247;10000
Isla Fuerte_Seriola dumerili_Revuelto;14244;15000
Isla Fuerte_Istiophorus platypterus_Revuelto;14846;14846
Docordó_Bagre panamensis_Grande;6000;6000
Docordó_Bagre pinnimaculatus_Grande;7000;7000
Docordó_Lutjanus jordani_Mediano;32000;32000
Puente Chambacú - Río Jella_Hyporthodus acanthistius_Mediano;13000;13000
Puente Chambacú - Río Jella_Lutjanus colorado_Grande;16000;16000
San Nicolás (Santa Cruz De Mompox)_Hoplias malabaricus_Grande;1325;1700
Puerto Arriba (Dibulla)_Alectis ciliaris_Mediano;4186;4527
Puerto Arriba (Dibulla)_Lachnolaimus maximus_Mediano;7267;9944
Mantequera_Prochilodus magdalenae_Pequeño;4314;6138
Jurubirá_Euthynnus lineatus_Pequeño;4000;8000
Mantequera_Curimata mivartii_Revuelto;2091;3074
Mantequera_Megaleporinus muyscorum_Mediano;1888;1937
Jurubirá_Seriola rivoliana_Pequeño;7050;7950
San Alejandro_Dasyloricaria latuira_Mediano;417;417
El Roto_Lobotes surinamensis_Mediano;4898;4898
El Roto_Sciades proops_Varios tamaños;4969;4998
Nueva Ola_Pimelodus yuma_Revuelto;2205;4167
Barrio Pambelé_Centropomus undecimalis_Mediano;19770;19825
Nueva Ola_Sorubim cuspicaudus_Pequeño;4000;4040
Barrio Pambelé_Scomberomorus cavalla_Mediano;20000;20000
Puerto Los Córdobas_Scomberomorus brasiliensis_Revuelto;19595;19849
Puerto Los Córdobas_Scomberomorus cavalla_Grande;19900;19900
Puerto Los Córdobas_Sciades proops_Grande;13308;13308
Puerto Los Córdobas_Cynoscion jamaicensis_Revuelto;18333;18333
Puerto Los Córdobas_Centropomus undecimalis_Grande;18927;18927
Las Balsas_Pinirampus pirinampu_Revuelto;11099;12878
Puerto Los Córdobas_Scomberomorus brasiliensis_Grande;19724;19724
Puerto Los Córdobas_Euthynnus alletteratus_Mediano;12389;12389
Morrosquillo_Alectis ciliaris_Mediano;7826;7826
Puerto Los Córdobas_Bagre filamentosus_Revuelto;5075;5985
El Muelle (Puerto López)_Pinirampus pirinampu_Revuelto;10000;12000
Puerto Los Córdobas_Centropomus undecimalis_Mediano;20325;21747
Las Balsas_Prochilodus mariae_Revuelto;11000;11000
Las Balsas_Leiarius marmoratus_Revuelto;16000;16000
Muelles del Camarón_Sciades dowii_Revuelto;10000;10000
Muelles del Camarón_Bagre pinnimaculatus_Grande;7810;7990
Muelles del Camarón_Notarius troschelii_Grande;2000;2000
Muelles del Camarón_Lobotes pacifica_Grande;10050;10950
Punta Ardita_Elagatis bipinnulata_Grande;16000;16000
Muelles del Camarón_Melongena patula_Pequeño;3000;3000
San Miguel (Puerto Gaitán)_Zungaro zungaro_Revuelto;13000;13000
San Miguel (Puerto Gaitán)_Pinirampus pirinampu_Revuelto;9050;9950
San Miguel (Puerto Gaitán)_Plagioscion squamosissimus_Revuelto;4000;4000
La Tagua_Ageneiosus inermis_Pequeño;8690;10000
El Puerto (Tumaco)_Bagre panamensis_Grande;10000;10000
El Puerto (Tumaco)_Lutjanus peru_Mediano;13000;13000
El Puerto (Tumaco)_Lobotes pacifica_Grande;12000;12000
Cabo Marzo_Hyporthodus acanthistius_Grande;14000;14000
Cabo Marzo_Seriola peruana_Grande;10000;10000
Cabo Marzo_Caranx caninus_Grande;5000;5000
Macurutú - Saloa_Plagioscion magdalenae_Pequeño;1967;2000
Macurutú - Saloa_Curimata mivartii_Revuelto;2000;2000
Chapinero_Oreochromis niloticus_Mediano;9756;9756
Chapinero_Hypostomus hondae_Grande;6757;6757
Pesquera Aspabab_Penaeus occidentalis_Revuelto;23500;44000
Pesquera Aspabab_Cynoscion phoxocephalus_Revuelto;14000;14000
Pesquera Aspabab_Nebris occidentalis_Revuelto;7000;14000
Pesquera Aspabab_Larimus argenteus_Revuelto;7000;14000
Pesquera Aspabab_Macrodon mordax_Revuelto;7000;14000
La Boquilla_Lutjanus griseus_Mediano;19042;20688
Puerto Miraflores_Centropomus viridis_Revuelto;16000;16000
La Boquilla_Cathorops mapale_Revuelto;2841;3110
La Boquilla_Elops smithi_Pequeño;6264;6913
Puerto Miraflores_Caranx caninus_Revuelto;14000;14000
Playa Pescadores - Capurganá_Selene vomer_Revuelto;14000;14000
Lomita Arena_Sciades proops_Grande;7793;9462
Puerto Miraflores_Notarius troschelii_Revuelto;14000;14000
Playa Pescadores - Capurganá_Scomberomorus brasiliensis_Mediano;24000;24000
Taganga_Panulirus argus_Revuelto;36000;36000
Puerto Miraflores_Tylosurus pacificus_Revuelto;14000;14000
Laguna Colorada_Brachyplatystoma vaillantii_Mediano;5000;5850
Laguna Colorada_Pinirampus pirinampu_Mediano;6000;6000
Taganga_Selar crumenophthalmus_Revuelto;8000;9610
Taganga_Rhomboplites aurorubens_Pequeño;10000;10000
Puerto de Gamarra_Ageneiosus pardalis_Revuelto;12200;12200
Punta Ardita_Hemanthias signifer_Grande;16000;16000
La Isla de los Palacios_Rhamdia guatemalensis_Revuelto;1971;1987
Marriaga_Hoplias malabaricus_Pequeño;5172;5172
Marriaga_Hoplias malabaricus_Revuelto;5903;6075
Usaragá_Caranx caninus_Revuelto;7000;7000
Zapata_Scomberomorus brasiliensis_Mediano;20491;24991
Rincón_Caquetaia kraussii_Mediano;2930;3115
El Muelle (Barrancabermeja)_Colossoma macropomum_Revuelto;6982;6982
