SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Los Tendales_Prochilodus magdalenae_Pequeño;6778;7735
El Puente_Prochilodus magdalenae_Pequeño;5455;12779
Los Tendales_Caquetaia kraussii_Revuelto;2235;2705
Los Tendales_Cynopotamus magdalenae_Revuelto;2103;2751
Taganga_Sphyraena barracuda_Grande;13922;14413
Taganga_Seriola rivoliana_Grande;13846;16000
Taganga_Panulirus argus_Mediano;35603;36000
Puerto Ciénaga de Paredes_Prochilodus magdalenae_Revuelto;7073;7500
Belén (El Banco)_Megaleporinus muyscorum_Grande;3000;3200
Los Tendales_Ageneiosus pardalis_Pequeño;5970;6017
Los Tendales_Pseudoplatystoma magdaleniatum_Pequeño;5980;6032
Pueblo Lindo o Caimanera_Prochilodus magdalenae_Pequeño;10000;10000
Pueblo Lindo o Caimanera_Hoplias malabaricus_Revuelto;788;1786
Pueblo Lindo o Caimanera_Caquetaia kraussii_Revuelto;625;980
Pueblo Lindo o Caimanera_Sorubim cuspicaudus_Grande;10000;10000
Puerto La Candelaria_Plagioscion magdalenae_Revuelto;4350;7975
Palomino_Prochilodus magdalenae_Pequeño;6000;6001
Cispataca_Prochilodus magdalenae_Pequeño;5172;6923
Cispataca_Plagioscion magdalenae_Pequeño;2982;4051
Cispataca_Sternopygus aequilabiatus_Revuelto;282;545
Cispataca_Caquetaia kraussii_Revuelto;833;1569
El Puente_Prochilodus magdalenae_Mediano;9279;18961
El Puente_Pseudoplatystoma magdaleniatum_Grande;5000;10000
Los Tendales_Prochilodus magdalenae_Mediano;7143;9759
Los Tendales_Pseudoplatystoma magdaleniatum_Mediano;7966;8014
Los Tendales_Megaleporinus muyscorum_Revuelto;2856;3262
Cispataca_Prochilodus magdalenae_Mediano;6897;10638
Cispataca_Pseudoplatystoma magdaleniatum_Grande;4976;7030
Cispataca_Sorubim cuspicaudus_Grande;4964;7048
Cispataca_Hoplias malabaricus_Revuelto;2545;3409
Pueblo Lindo o Caimanera_Pseudoplatystoma magdaleniatum_Pequeño;8000;8029
Los Tendales_Oreochromis niloticus_Pequeño;3979;4027
Los Tendales_Hoplias malabaricus_Revuelto;2147;2737
Los Tendales_Sorubim cuspicaudus_Grande;7970;8041
Cispataca_Prochilodus magdalenae_Grande;11086;13699
Cispataca_Oreochromis niloticus_Grande;5000;7018
Cispataca_Plagioscion magdalenae_Grande;5000;7003
Cispataca_Cynopotamus magdalenae_Revuelto;737;1127
Villa Venecia_Oreochromis niloticus_Mediano;5141;6491
Cispataca_Abramites eques_Revuelto;568;941
Puerto Ciénaga de Paredes_Plagioscion magdalenae_Revuelto;7751;8043
Pueblo Lindo o Caimanera_Plagioscion magdalenae_Grande;9300;10000
Villa Venecia_Oreochromis niloticus_Pequeño;4060;5022
Puerto La Candelaria_Pseudoplatystoma magdaleniatum_Mediano;5828;9227
Puerto Antequera_Cyphocharax magdalenae_Revuelto;2000;3002
Puerto Antequera_Prochilodus magdalenae_Pequeño;2080;3880
Taganga_Selar crumenophthalmus_Revuelto;7806;10443
El Puente_Cyphocharax magdalenae_Revuelto;1345;1972
Puerto Ciénaga de Paredes_Oreochromis niloticus_Revuelto;6971;7042
El Puente_Hoplias malabaricus_Revuelto;2002;4437
Villa Venecia_Prochilodus magdalenae_Pequeño;5124;7603
Villa Venecia_Caquetaia kraussii_Pequeño;2106;2777
Villa Venecia_Hoplias malabaricus_Pequeño;2195;2769
Puerto Serviez_Pimelodus yuma_Revuelto;5623;5979
La Mata_Oreochromis niloticus_Grande;5200;6800
La Mata_Plagioscion magdalenae_Grande;4000;8000
Villa Venecia_Cyphocharax magdalenae_Pequeño;1368;1675
Cabo Marzo_Brotula clarkae_Revuelto;17998;1,76E+08
Cabo Marzo_Brotula clarkae_Pequeño;7000;7000
Cabo Marzo_Hyporthodus acanthistius_Grande;14000;14000
Betania (Montecristo)_Oreochromis niloticus_Pequeño;2966;3028
Betania (Montecristo)_Megaleporinus muyscorum_Revuelto;1035;1871
Puerto Simití_Prochilodus magdalenae_Revuelto;4995;6000
Puerto Simití_Sorubim cuspicaudus_Revuelto;7789;8000
Puerto Simití_Pimelodus yuma_Revuelto;3962;5000
Puerto Serviez_Sorubim cuspicaudus_Revuelto;10000;15999
Sivirú_Lutjanus argentiventris_Pequeño;10000;12000
Sivirú_Caulolatilus affinis_Revuelto;10200;12000
Sivirú_Caranx caninus_Pequeño;10000;12000
Sivirú_Sciades dowii_Pequeño;10000;10000
Sivirú_Cynoscion albus_Pequeño;10800;14000
La Playa (El Banco)_Pseudoplatystoma magdaleniatum_Grande;8000;14000
La Playa (El Banco)_Sorubim cuspicaudus_Grande;7692;12000
La Playa (El Banco)_Ageneiosus pardalis_Grande;7466;12000
La Mata_Pimelodus yuma_Revuelto;5200;6200
Puerto Simití_Plagioscion magdalenae_Revuelto;7791;8000
La Playa (El Banco)_Brycon moorei_Mediano;7375;12000
Guineal_Lutjanus peru_Mediano;10000;11200
Guineal_Centropomus robalito_Revuelto;6200;9800
Puerto Simití_Oreochromis niloticus_Revuelto;5980;7993
Sivirú_Brycon meeki_Mediano;14000;14000
Sivirú_Lutjanus novemfasciatus_Revuelto;10300;12000
Sivirú_Notarius troschelii_Revuelto;10000;12000
Desembarcadero (Murindó)_Prochilodus magdalenae_Revuelto;1780;2759
Rincón_Cyphocharax magdalenae_Pequeño;1342;1700
Rincón_Prochilodus magdalenae_Pequeño;5049;7612
Rincón_Caquetaia kraussii_Pequeño;2083;2818
Macurutú - Saloa_Oreochromis niloticus_Grande;4000;8000
Sivirú_Brycon meeki_Revuelto;12000;14000
Sivirú_Lutjanus peru_Pequeño;10000;12000
Nueva Estrella_Cyphocharax magdalenae_Revuelto;606;811
La Playa (El Banco)_Pseudoplatystoma magdaleniatum_Mediano;6000;12000
Puerto Antequera_Plagioscion magdalenae_Revuelto;3596;8000
La Playa (El Banco)_Prochilodus magdalenae_Grande;9375;14000
Rincón_Oreochromis niloticus_Mediano;5136;6388
Rincón_Hoplias malabaricus_Pequeño;2144;2667
Desembarcadero (Murindó)_Hoplias malabaricus_Revuelto;3685;4201
Chapinero_Prochilodus magdalenae_Revuelto;6860;16074
Las Tenazas_Conodon nobilis_Grande;7652;8220
Las Tenazas_Lutjanus synagris_Mediano;16482;18182
La Playa (El Banco)_Pimelodus grosskopfii_Grande;6000;11966
Chapinero_Prochilodus magdalenae_Grande;10795;17481
Chapinero_Prochilodus magdalenae_Mediano;7385;14590
Chapinero_Prochilodus magdalenae_Pequeño;7521;10993
La Playa (El Banco)_Megaleporinus muyscorum_Grande;2999;4003
Las Tenazas_Cathorops mapale_Pequeño;3322;4651
Las Tenazas_Sphyraena guachancho_Grande;11602;12308
Rincón_Oreochromis niloticus_Pequeño;4062;5328
Las Tenazas_Sciades proops_Grande;6516;7243
Las Tenazas_Lutjanus synagris_Grande;21611;24750
Bahía de Santa Marta_Selar crumenophthalmus_Revuelto;8333;11538
Bahía de Santa Marta_Sphyraena guachancho_Mediano;6785;14484
Bahía de Santa Marta_Priacanthus arenatus_Mediano;6607;15070
Las Tenazas_Lutjanus synagris_Pequeño;12903;14490
Nueva Estrella_Hoplias malabaricus_Revuelto;2463;3757
Nueva Estrella_Cynopotamus magdalenae_Revuelto;1053;1645
Nueva Estrella_Prochilodus magdalenae_Pequeño;3912;7763
Rincón_Oreochromis niloticus_Grande;6423;7262
Guineal_Centropomus armatus_Revuelto;7150;10000
Guineal_Ariopsis seemanni_Revuelto;3000;6000
Guineal_Mugil curema_Varios tamaños;5000;6964
Guineal_Haemulopsis leuciscus_Grande;4000;7550
Guineal_Lutjanus argentiventris_Varios tamaños;8000;12000
Muelle Las Flores_Cynoscion albus_Grande;18000;24000
Muelle Las Flores_Scomberomorus sierra_Grande;9500;11000
Muelle Las Flores_Lobotes pacifica_Grande;10497;13000
Nueva Estrella_Prochilodus magdalenae_Grande;8475;9434
Chapinero_Sorubim cuspicaudus_Mediano;5882;16362
Chapinero_Megaleporinus muyscorum_Revuelto;4211;7358
Bahía de Santa Marta_Elagatis bipinnulata_Pequeño;14762;21166
Damaquiel_Scomberomorus brasiliensis_Mediano;18000;22000
Damaquiel_Cynoscion virescens_Revuelto;18850;23356
Puerto Triunfo_Sorubim cuspicaudus_Revuelto;12000;18011
Puerto Triunfo_Brycon moorei_Revuelto;16000;20000
Muelle Las Flores_Brotula clarkae_Grande;16000;16000
Puerto Montecristo_Pseudoplatystoma magdaleniatum_Pequeño;10000;10000
Puerto Triunfo_Pimelodus yuma_Revuelto;5994;6716
La Isla de los Palacios_Prochilodus magdalenae_Revuelto;1195;1800
Nueva Estrella_Caquetaia kraussii_Revuelto;1891;2655
Barrio Arriba - Barbosa (Magangué)_Sorubim cuspicaudus_Mediano;4402;6173
Mercado (Lorica)_Cyphocharax magdalenae_Revuelto;1280;3569
Mercado (Lorica)_Sorubim cuspicaudus_Pequeño;3676;6837
Mercado (Lorica)_Oreochromis niloticus_Revuelto;3817;7075
Morrosquillo_Sphyraena guachancho_Mediano;7538;8000
La Isla de los Palacios_Megaleporinus muyscorum_Revuelto;2917;2994
Muelle Las Flores_Brotula clarkae_Pequeño;4750;5000
Muelle Las Flores_Hyporthodus acanthistius_Grande;14000;14000
Mercado (Lorica)_Megaleporinus muyscorum_Revuelto;2280;5490
Barrio Santa Lucía_Ariopsis canteri_Mediano;4000;5000
Barrio Santa Lucía_Lutjanus synagris_Mediano;15429;20000
