SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Bahía de Santa Marta_Lutjanus vivanus_Pequeño;14126;19165
Arrimadero La Unión_Lutjanus aratus_Grande;16000;16000
Arrimadero La Unión_Caranx sexfasciatus_Mediano;14000;14000
Arrimadero La Unión_Thunnus albacares_Mediano;14000;14000
Puerto Antequera_Sorubim cuspicaudus_Pequeño;7949;8000
Río San Miguel_Salminus hilarii_Revuelto;13592;13592
Puerto Chucha_Panulirus argus_Grande;30480;31049
El Porvenir_Panulirus argus_Mediano;49587;49587
Virudó_Mugil cephalus_Revuelto;12000;12000
Tribugá_Tylosurus fodiator_Mediano;14000;14000
Playa de Arusí_Lutjanus jordani_Mediano;14000;14000
Playa de Arusí_Lutjanus argentiventris_Pequeño;13343;14000
Playa de Arusí_Elagatis bipinnulata_Mediano;10920;13926
Playa de Arusí_Euthynnus lineatus_Pequeño;12000;12000
Tribugá_Haemulon flaviguttatum_Pequeño;14000;14000
Tribugá_Polydactylus approximans_Pequeño;14000;14000
Tasajera La Playa_Trachinotus carolinus_Grande;5000;7000
Puerto Asure_Pseudoplatystoma magdaleniatum_Revuelto;7150;9040
Candelaria (Chimichagua)_Sorubim cuspicaudus_Mediano;8000;8000
Locadía_Ariopsis canteri_Grande;10000;10785
Puerto del Cerrito_Megaleporinus muyscorum_Revuelto;2000;2000
Purricha_Centropomus viridis_Mediano;12100;13900
Purricha_Mugil curema_Pequeño;12000;12000
Puerto del Cerrito_Curimata mivartii_Pequeño;1913;2000
Puerto Bello_Hoplias malabaricus_Pequeño;2050;2950
Cupica_Seriola rivoliana_Grande;14000;16000
Cupica_Lutjanus guttatus_Mediano;16000;16000
La Chamba_Brycon moorei_Revuelto;13919;14025
La Chamba_Piaractus brachypomus_Revuelto;13928;14214
El Muelle (Puerto López)_Megaleporinus sp. 1_Revuelto;7000;7984
El Muelle (Puerto López)_Pseudoplatystoma metaense_Pequeño;12000;12000
Las Balsas_Plagioscion squamosissimus_Revuelto;10000;10000
Las Balsas_Hydrolycus armatus_Revuelto;7200;9600
Berrugas_Tylosurus crocodilus_Grande;8927;13625
Berrugas_Caranx crysos_Grande;11450;15826
Berrugas_Lutjanus synagris_Revuelto;18750;18750
Milagros de la Mar_Sphyraena ensis_Grande;10000;11000
Milagros de la Mar_Scomberomorus sierra_Grande;12250;13000
La Tagua_Hydrolycus armatus_Pequeño;6794;10000
Barrio Pambelé_Panulirus argus_Mediano;30000;30000
Cabo de la Vela_Lutjanus analis_Revuelto;10916;12206
Docordó_Lobotes pacifica_Pequeño;9000;9000
Lomita Arena_Cathorops mapale_Revuelto;3481;4166
El Roto_Ariopsis canteri_Revuelto;3583;6914
Lomita Arena_Sciades proops_Pequeño;4615;4615
Villa Fátima_Caranx crysos_Mediano;8200;10000
Las Delicias_Ocyurus chrysurus_Grande;18000;18000
Las Delicias_Haemulon parra_Grande;6000;8000
Las Delicias_Calamus penna_Grande;9200;12800
Jodedor_Rachycentron canadum_Mediano;6096;7828
Jodedor_Seriola dumerili_Pequeño;12150;14850
Puerto Miraflores_Polydactylus opercularis_Revuelto;14000;14000
Puerto Miraflores_Lutjanus peru_Revuelto;16000;16000
Tagachí_Pseudopimelodus sp. 1_Revuelto;11989;11999
Tagachí_Brycon moorei_Mediano;13882;16000
Puerto Principal (Leticia)_Schizodon fasciatus_Pequeño;7843;9824
Puerto del Pescado (San José Del Guaviare)_Brachyplatystoma rousseauxii_Grande;17930;21996
Tagachí_Brycon oligolepis_Pequeño;11933;11933
Puerto Abajo (Dibulla)_Chaetodipterus faber_Pequeño;4000;4000
Puerto Abajo (Dibulla)_Selene brownii_Revuelto;3000;3900
Puerto Abajo (Dibulla)_Trichiurus lepturus_Revuelto;3000;3850
Charambirá_Hoplopagrus guentherii_Grande;10000;10000
San Miguel (Puerto Gaitán)_Hydrolycus armatus_Revuelto;3100;4000
Tribugá_Lutjanus guttatus_Mediano;16000;16000
Puerto Miraflores_Lutjanus novemfasciatus_Revuelto;16000;16000
Tribugá_Bagre panamensis_Pequeño;14000;14000
Virudó_Chaenomugil proboscideus_Revuelto;12000;12000
Virudó_Notarius spp._Revuelto;12000;12000
La Pedrera_Hypophthalmus edentatus_Mediano;6826;7753
La Pedrera_Prochilodus nigricans_Pequeño;7752;7989
Tasajera La Playa_Selar crumenophthalmus_Mediano;6000;8600
Jurubirá_Lutjanus guttatus_Mediano;8000;13700
Uveros_Caranx crysos_Pequeño;10000;18600
Docordó_Centropomus viridis_Mediano;14000;19400
Locadía_Lutjanus griseus_Grande;20000;20000
San Antonio de Padua_Sturisomatichthys panamensis_Grande;1797;1835
La Isla de los Palacios_Rhamdia guatemalensis_Mediano;1738;1992
Purricha_Sciades dowii_Pequeño;10000;10000
Carrizal_Panulirus argus_Mediano;15000;15000
Jurubirá_Rhonciscus branickii_Pequeño;7250;8000
Jurubirá_Lutjanus aratus_Pequeño;7400;12000
Jurubirá_Brotula clarkae_Pequeño;12000;15000
Las Delicias_Pseudupeneus maculatus_Mediano;3100;4900
Las Delicias_Scarus coeruleus_Pequeño;3150;4000
Puente Chambacú - Río Jella_Schedophilus haedrichi_Varios tamaños;8000;14900
Bahía de Cispatá_Centropomus undecimalis_Revuelto;8188;18759
Morrosquillo_Caranx hippos_Mediano;7707;8000
Bahía de Cispatá_Gerres cinereus_Mediano;10000;10000
El Puerto (Puerto Carreño)_Brachyplatystoma rousseauxii_Grande;12050;12950
El Puerto (Puerto Carreño)_Brachyplatystoma rousseauxii_Pequeño;10000;10000
Ciénaga del Totumo_Mugil incilis_Revuelto;1770;3942
Punta Bonita_Centropomus medius_Revuelto;9000;9500
Punta Bonita_Bagre panamensis_Revuelto;3000;4000
Bahía de Santa Marta_Epinephelus adscensionis_Pequeño;14812;27306
Distribuidoras de Tumaco_Paralonchurus dumerilii_Grande;7000;7000
El Valle_Thunnus albacares_Mediano;14000;14000
Policía fluvial (Quibdó)_Ageneiosus pardalis_Revuelto;11197;15000
Policía fluvial (Quibdó)_Brycon moorei_Grande;7988;10000
Policía fluvial (Quibdó)_Pseudopimelodus sp. 1_Grande;7994;10000
Bazurto_Haemulon plumieri_Grande;9948;12550
Bazurto_Lutjanus purpureus_Grande;20293;25550
Sivirú_Lutjanus novemfasciatus_Mediano;12000;12000
Sivirú_Brycon meeki_Grande;12100;13900
Sivirú_Centropomus medius_Mediano;12000;14000
Sivirú_Diapterus brevirostris_Revuelto;10200;12000
Sivirú_Notarius troschelii_Pequeño;10000;12000
Sivirú_Lutjanus guttatus_Mediano;12000;12000
Puerto del Cerrito_Pimelodus yuma_Revuelto;6000;6000
Berrugas_Sparisoma chrysopterum_Pequeño;2982;6988
Pizarro_Diapterus brevirostris_Revuelto;8000;8000
Mayapo_Caranx crysos_Pequeño;10860;11940
Mayapo_Rhomboplites aurorubens_Revuelto;5964;7700
Usaragá_Sciades dowii_Grande;7000;7000
Usaragá_Cynoscion albus_Revuelto;12000;12000
Usaragá_Diapterus brevirostris_Revuelto;7000;7000
Usaragá_Caranx caballus_Revuelto;7000;7000
Usaragá_Lutjanus peru_Revuelto;12000;12000
Puerto Los Córdobas_Lutjanus synagris_Mediano;21033;21033
Puerto Los Córdobas_Penaeus schmitti_Grande;27894;31952
Muelle Principal (Puerto Leguízamo)_Ageneiosus inermis_Revuelto;9100;10000
Muelle Principal (Puerto Leguízamo)_Myloplus asterias_Revuelto;10000;10000
Muelle Principal (Puerto Leguízamo)_Pygocentrus nattereri_Revuelto;8000;8000
Muelle Principal (Puerto Leguízamo)_Leiarius marmoratus_Revuelto;13000;14707
Betania - Naya_Ariopsis seemanni_Mediano;4260;4260
Betania - Naya_Macrodon mordax_Grande;11400;13009
Puerto Arriba (Dibulla)_Selene vomer_Grande;2444;4215
Betania - Naya_Notarius troschelii_Mediano;6038;6722
Puerto Arriba (Dibulla)_Euthynnus alletteratus_Pequeño;3435;4000
Bocanegra_Eugerres plumieri_Pequeño;5483;8554
Betania - Naya_Cynoscion albus_Mediano;20000;21011
Santa Cruz - Naya_Menticirrhus nasus_Grande;12000;12000
Bocanegra_Caranx latus_Pequeño;7477;7477
Bocanegra_Ariopsis canteri_Grande;7851;7992
Santa Cruz - Naya_Cynoscion albus_Revuelto;12000;12000
Santa Cruz - Naya_Bagre pinnimaculatus_Grande;6000;8600
Santa Cruz - Naya_Bagre pinnimaculatus_Revuelto;8000;8000
Santa Cruz - Naya_Nebris occidentalis_Grande;12000;12000
Santa Cruz - Naya_Centropomus medius_Grande;12000;13010
Santa Cruz - Naya_Diapterus brevirostris_Revuelto;3000;3001
Arrimadero La Unión_Kyphosus ocyurus_Grande;14033;14633
Arrimadero La Unión_Euprepocaranx dorsalis_Revuelto;14000;14000
Arrimadero La Unión_Lutjanus guttatus_Mediano;16000;16000
Codis_Lutjanus synagris_Pequeño;8038;10739
Codis_Mugil incilis_Mediano;6957;6957
Desembarcadero (Juradó)_Lutjanus guttatus_Mediano;19300;20000
Bahía de Cispatá_Lutjanus purpureus_Mediano;16661;29400
Casco Urbano (Arauca)_Calophysus macropterus_Revuelto;5000;6498
Casco Urbano (Arauca)_Schizodon scotorhabdotus_Revuelto;3050;3950
Bahía de Santa Marta_Scomber colias_Mediano;11696;11696
Bahía de Santa Marta_Scomber colias_Pequeño;5625;5625
Juanchaco_Lutjanus aratus_Pequeño;10000;10000
Juanchaco_Lutjanus argentiventris_Pequeño;10000;12000
Desembarcadero (Juradó)_Caranx caballus_Pequeño;18000;18000
Desembarcadero (Juradó)_Occidentarius platypogon_Pequeño;18000;18000
Puerto Cabuyaro_Calophysus macropterus_Revuelto;16000;16000
Agropez_Scomberomorus brasiliensis_Revuelto;18200;21800
Sapzurro_Lutjanus buccanella_Revuelto;30000;30000
Agropez_Centropomus ensiferus_Revuelto;12000;16300
El Puerto (Puerto Carreño)_Brachyplatystoma platynemum_Mediano;9000;9000
Sapzurro_Lutjanus vivanus_Mediano;30000;30000
Domingodó_Caquetaia kraussii_Pequeño;4413;6125
Domingodó_Hoplias malabaricus_Grande;2293;3566
Jurubirá_Lutjanus argentiventris_Pequeño;8000;14000
El Pájaro_Caranx hippos_Mediano;3739;3990
Barrio Abajo (Ciénaga)_Larimus breviceps_Pequeño;3433;9992
Puerto Boquillas_Triportheus magdalenae_Revuelto;1475;1683
Pomeño_Centropomus viridis_Mediano;16000;17000
Barrio Abajo (Ciénaga)_Rhonciscus crocro_Pequeño;4536;7491
Camarones_Euthynnus alletteratus_Grande;6048;8728
Barrio Abajo (Ciénaga)_Trachinotus goodei_Pequeño;5744;7881
Puerto Boquillas_Oreochromis niloticus_Revuelto;5709;7000
Camarones_Calamus penna_Revuelto;7851;12000
Guacamayo_Ageneiosus pardalis_Grande;6000;9000
Piedras Blancas_Mycteroperca cidi_Revuelto;6956;8000
Curillo_Zungaro zungaro_Revuelto;20000;20000
Curillo_Pseudoplatystoma punctifer_Revuelto;20000;20000
Cispataca_Triportheus magdalenae_Revuelto;609;979
Zapata_Megalops atlanticus_Pequeño;24000;24000
Casco urbano (Puerto Escondido)_Centropomus ensiferus_Grande;20033;20033
Macurutú - Saloa_Triportheus magdalenae_Revuelto;2000;2000
Dorada_Prochilodus magdalenae_Grande;10000;12000
Taganga_Scomberomorus brasiliensis_Pequeño;10000;20000
Tagachí_Megaleporinus muyscorum_Mediano;1145;1573
Puerto Miraflores_Centropomus viridis_Revuelto;14000;16000
Barrio La Unión_Diapterus rhombeus_Pequeño;2000;2000
Carrizal_Lachnolaimus maximus_Grande;7000;7000
Río San Miguel_Piaractus brachypomus_Grande;19132;30112
Río San Miguel_Panaque schaeferi_Grande;5128;5128
Puerto Abajo (Dibulla)_Elops smithi_Pequeño;2000;6000
Damaquiel_Penaeus schmitti_Pequeño;39000;45800
Jurubirá_Lutjanus peru_Mediano;12000;13700
Policía fluvial (Quibdó)_Hypostomus hondae_Mediano;5889;5991
Candelaria (Chimichagua)_Cyphocharax magdalenae_Pequeño;1000;1000
Policía fluvial (Quibdó)_Hypostomus hondae_Pequeño;5556;5556
Locadía_Sphyraena guachancho_Pequeño;6020;6380
Docordó_Penaeus occidentalis_Pequeño;39871;40000
Docordó_Centropomus viridis_Grande;14000;14000
Mayapo_Decapterus tabl_Mediano;6000;6000
Barrio Abajo (Ciénaga)_Elops smithi_Mediano;6000;7800
San Alejandro_Pimelodus punctatus_Revuelto;988;1157
La Punta_Trachinotus falcatus_Mediano;8759;8914
Purricha_Centropomus viridis_Grande;12000;12000
Purricha_Trachinotus kennedyi_Mediano;10000;12000
Purricha_Lobotes pacifica_Pequeño;8600;14000
La Isla de los Palacios_Caquetaia kraussii_Mediano;1212;1657
Orpua_Caranx caballus_Revuelto;10000;10000
Guineal_Haemulopsis leuciscus_Varios tamaños;4250;7500
Guineal_Menticirrhus panamensis_Varios tamaños;6000;6000
Guineal_Centropomus medius_Mediano;5250;9750
Barrio Pambelé_Megalops atlanticus_Grande;20000;20000
La Raya_Ichthyoelephas longirostris_Grande;3971;4057
Purricha_Cynoscion phoxocephalus_Revuelto;10000;12000
Purricha_Larimus argenteus_Revuelto;6000;10000
Orejero_Pimelodus yuma_Revuelto;1864;3947
Orejero_Gilbertolus alatus_Revuelto;343;965
Guineal_Euprepocaranx dorsalis_Varios tamaños;6000;6000
Purricha_Centropomus medius_Mediano;9000;14000
Purricha_Haemulopsis elongatus_Pequeño;12000;12000
Purricha_Opisthonema spp._Grande;8000;8000
Bocas del Atrato_Centropomus undecimalis_Revuelto;21956;21997
Popoya Playa_Rhomboplites aurorubens_Mediano;6021;6407
Marralú_Prochilodus magdalenae_Mediano;5405;7350
Marralú_Cynopotamus magdalenae_Revuelto;1164;1775
Puerto (Arauquita)_Pseudoplatystoma metaense_Mediano;17025;17475
Paujil_Zungaro zungaro_Revuelto;3690;4680
Paujil_Ageneiosus inermis_Revuelto;3058;5411
Paujil_Hoplerythrinus unitaeniatus_Revuelto;3710;6410
La Casa del Pescador_Centropomus armatus_Pequeño;9000;10000
Vigía de Curvaradó_Ageneiosus pardalis_Pequeño;5249;12442
Las Delicias_Centropomus undecimalis_Mediano;8000;10000
Las Delicias_Lobotes surinamensis_Grande;5100;6000
Las Delicias_Balistes capriscus_Pequeño;2500;2500
El Muelle (Puerto López)_Serrasalmus rhombeus_Revuelto;7097;7097
Puerto Arriba (Dibulla)_Bothus lunatus_Revuelto;972;1700
San José de la Calle_Brycon moorei_Mediano;13861;13997
San José de la Calle_Pseudopimelodus sp. 1_Revuelto;11995;11995
Cupica_Lutjanus peru_Mediano;16000;16000
Cupica_Hyporthodus niphobles_Pequeño;16000;16000
Cupica_Caranx caballus_Grande;16000;16000
Lomita Arena_Diapterus auratus_Grande;9877;9877
La Tagua_Pinirampus pirinampu_Grande;15000;15000
Usaragá_Cynoscion albus_Grande;11914;19200
Macurutú - Saloa_Prochilodus magdalenae_Grande;8180;9871
Puerto Chucha_Sciades proops_Mediano;10744;10744
Puerto Abajo (Dibulla)_Elops smithi_Grande;3000;5850
Puerto Abajo (Dibulla)_Centropomus ensiferus_Grande;10100;11900
Puerto Abajo (Dibulla)_Panulirus argus_Revuelto;30000;48000
Puerto Serviez_Pseudoplatystoma magdaleniatum_Pequeño;17970;17970
Playa Pescadores - Capurganá_Selene vomer_Mediano;14000;14000
Damaquiel_Bagre filamentosus_Revuelto;11200;13400
Santropel - San Sebastián_Caquetaia kraussii_Mediano;2339;4776
Playa Necoclí_Hemicaranx amblyrhynchus_Revuelto;1022;7600
Puerto La Candelaria_Cyphocharax magdalenae_Grande;4237;4237
Puerto La Candelaria_Pimelodus yuma_Revuelto;3578;7470
El Valle_Lutjanus novemfasciatus_Grande;10000;10000
El Valle_Hoplopagrus guentherii_Varios tamaños;6400;16400
Cangrejito_Notarius grandicassis_Mediano;4025;4475
Jurubirá_Selar crumenophthalmus_Pequeño;3700;9200
Tasajera La Playa_Ariopsis canteri_Mediano;5150;6000
San Antonio de Padua_Hoplias malabaricus_Mediano;1650;1915
Playa Pescadores - Capurganá_Sphyraena barracuda_Pequeño;14000;14000
Puerto Rico [Meta]_Ageneiosus inermis_Revuelto;10600;12000
Bahía de Santa Marta_Sphyraena barracuda_Grande;12964;19065
Bahía de Santa Marta_Lutjanus purpureus_Grande;22914;23943
Mantequera_Pseudoplatystoma magdaleniatum_Pequeño;4032;4032
Policía fluvial (Quibdó)_Crossoloricaria variegata_Revuelto;5942;6000
Puerto (Arauquita)_Leiarius marmoratus_Pequeño;8000;8000
Docordó_Cynoscion phoxocephalus_Pequeño;10200;13800
Docordó_Lobotes pacifica_Grande;9000;9000
Candelaria (Achí)_Rhamdia guatemalensis_Revuelto;1672;1760
Las Delicias_Menticirrhus littoralis_Pequeño;5000;5000
Tajamar Occidental_Lutjanus griseus_Grande;21407;21407
Purricha_Cynoscion phoxocephalus_Pequeño;12000;12000
Purricha_Menticirrhus panamensis_Mediano;6000;6000
Purricha_Macrodon mordax_Revuelto;12100;13900
Purricha_Polydactylus approximans_Revuelto;8200;11800
Purricha_Lobotes pacifica_Revuelto;7766;8000
Puerto Boca_Brycon moorei_Grande;8996;10771
Berrugas_Lutjanus analis_Pequeño;9612;11909
Punta Ardita_Lutjanus viridis_Pequeño;16000;16000
Taganga_Hyporthodus flavolimbatus_Pequeño;28000;30145
Agropez_Trichiurus lepturus_Pequeño;10000;10000
Limones_Notarius troschelii_Grande;4000;4000
Puerto Miraflores_Tylosurus pacificus_Mediano;14000;14000
Puerto Miraflores_Centropomus viridis_Mediano;14200;16000
Puerto Miraflores_Lutjanus peru_Mediano;14000;16000
Quiroga_Penaeus occidentalis_Grande;30000;35000
Quiroga_Centropomus armatus_Mediano;8000;8000
Quiroga_Cynoscion phoxocephalus_Mediano;8000;8000
Quiroga_Cynoscion phoxocephalus_Pequeño;3000;3000
Quiroga_Larimus acclivis_Pequeño;3000;3000
Quiroga_Scomberomorus sierra_Pequeño;3000;3000
Puerto Miraflores_Lutjanus argentiventris_Revuelto;15300;16000
Puerto Miraflores_Euprepocaranx dorsalis_Pequeño;14000;14000
Quiroga_Peprilus spp._Pequeño;3000;3000
Quiroga_Mugil cephalus_Pequeño;3000;3000
Playa Pescadores - Capurganá_Caranx crysos_Mediano;14000;15000
Quiroga_Larimus acclivis_Grande;3000;3000
Quiroga_Nebris occidentalis_Grande;3000;3000
Quiroga_Caranx caballus_Grande;3000;3000
Quiroga_Centropomus armatus_Pequeño;3000;3000
Puerto Miraflores_Sphyraena ensis_Revuelto;14000;14000
Puerto Miraflores_Lobotes pacifica_Grande;14000;14000
Punta Bonita_Penaeus occidentalis_Revuelto;36600;42000
Punta Bonita_Scomberomorus sierra_Pequeño;9000;12000
Punta Bonita_Lutjanus argentiventris_Revuelto;12000;12000
Punta Bonita_Diapterus brevirostris_Revuelto;6000;7000
Punta Bonita_Pseudupeneus grandisquamis_Revuelto;7000;7000
Orpua_Bagre pinnimaculatus_Mediano;10000;10000
Orpua_Notarius troschelii_Pequeño;10000;10000
Orpua_Ariopsis seemanni_Revuelto;10000;10000
Arrimadero La Unión_Trachinotus paitensis_Revuelto;14000;14000
Bazurto_Centropomus pectinatus_Grande;18614;23950
Clarinetero_Phractocephalus hemioliopterus_Extragrande;4000;4000
Puerto de desembarco (Mitú)_Cyphocharax multilineatus_Pequeño;15145;19016
Puerto de desembarco (Mitú)_Ageneiosus inermis_Mediano;14697;20000
El Muelle (Barrancabermeja)_Brycon moorei_Revuelto;14097;15841
Armenia_Pimelodus yuma_Revuelto;4000;5000
Puerto Bello_Colossoma macropomum_Revuelto;3000;3000
Damaquiel_Panulirus argus_Mediano;21500;34080
Bahía de Cispatá_Cynoscion leiarchus_Grande;10589;13100
San Luis_Plagioscion magdalenae_Grande;6973;7034
Tribugá_Lutjanus novemfasciatus_Grande;16000;16000
Playa de Arusí_Lutjanus argentiventris_Revuelto;11405;14000
Playa de Arusí_Lutjanus guttatus_Mediano;11513;13869
Playa de Arusí_Lutjanus guttatus_Platero (para pargos);15566;18000
Playa de Arusí_Mycteroperca xenarcha_Mediano;14000;14000
Tribugá_Hoplopagrus guentherii_Mediano;16000;16000
Tribugá_Notarius troschelii_Pequeño;14000;14000
Vigía_Bagre pinnimaculatus_Grande;6728;7000
Paujil_Phractocephalus hemioliopterus_Revuelto;4500;4500
Concepción - Tacamocho_Notarius bonillai_Grande;4000;4000
Concepción - Tacamocho_Cynopotamus magdalenae_Revuelto;2273;2273
Palenquito_Hoplias malabaricus_Grande;839;1084
La Gloria_Cynopotamus magdalenae_Revuelto;1150;2000
Tasajera La Playa_Haemulon aurolineatum_Mediano;6000;6000
Tasajera La Playa_Calamus penna_Mediano;8000;8000
Honda_Pseudoplatystoma magdaleniatum_Revuelto;19000;21800
Cabo de la Vela_Archosargus rhomboidalis_Mediano;5815;12146
Playa Pescadores - Capurganá_Lutjanus analis_Revuelto;20000;20000
Cabo de la Vela_Lachnolaimus maximus_Pequeño;9308;12306
Playa Pescadores - Capurganá_Alectis ciliaris_Grande;14050;14950
Cabo de la Vela_Caranx crysos_Pequeño;8922;10000
Milagros de la Mar_Bairdiella ensifera_Revuelto;5000;5000
Orpua_Scomberomorus sierra_Pequeño;10000;10000
Puerto Arriba (Dibulla)_Tylosurus acus_Pequeño;1415;1415
Cartagena del Chairá_Panaque titan_Revuelto;10000;10000
La Casa del Pescador_Larimus acclivis_Pequeño;6000;7000
Villa Fátima_Priacanthus arenatus_Mediano;3985;4970
Marralú_Plagioscion magdalenae_Grande;8000;8000
Puerto El Waffe marino_Mugil liza_Revuelto;12000;12000
Puente Chambacú - Río Jella_Lutjanus aratus_Pequeño;15250;19750
Puerto Arriba (Dibulla)_Cynoscion similis_Pequeño;1000;1496
Puerto Arriba (Dibulla)_Panulirus laevicauda_Mediano;28772;40000
Mayapo_Hyporthodus nigritus_Pequeño;6859;7925
La T_Archosargus rhomboidalis_Pequeño;7000;7000
Dotenedó_Notarius troschelii_Revuelto;8000;8000
Manaure Abajo_Lutjanus purpureus_Mediano;200000003;200000003
El Puerto (Tumaco)_Notarius troschelii_Mediano;5650;7000
El Puerto (Tumaco)_Ablennes hians_Pequeño;2000;2000
Puerto Simití_Ageneiosus pardalis_Revuelto;7886;7995
Bazurto_Lutjanus griseus_Grande;22000;22000
El Puerto (Tumaco)_Ablennes hians_Mediano;2000;2000
El Puerto (Tumaco)_Oligoplites altus_Pequeño;500;500
Barrio La Unión_Scomberomorus brasiliensis_Grande;12295;24387
Arrimadero La Unión_Lutjanus novemfasciatus_Mediano;16000;16000
Arrimadero La Unión_Scomberomorus sierra_Mediano;14000;14000
Playa Totumo_Sphyraena guachancho_Revuelto;14000;16000
Manaure Centro_Caranx hippos_Mediano;7000;7000
Juanchaco_Hyporthodus niphobles_Varios tamaños;7150;9850
Juanchaco_Caulolatilus affinis_Varios tamaños;3000;12600
Juanchaco_Lutjanus peru_Grande;15000;15000
Rincón del Mar_Octopus vulgaris_Grande;24238;29693
Desembarcadero (Juradó)_Scomberomorus sierra_Revuelto;18000;18000
Desembarcadero (Juradó)_Selene brevoortii_Pequeño;18000;18000
Taganga_Panulirus argus_Revuelto;35997;36000
Taganga_Lutjanus cyanopterus_Grande;15750;20000
Piedras Blancas_Mycteroperca bonaci_Revuelto;6897;6988
Taganga_Lutjanus cyanopterus_Pequeño;10000;10000
Jurubirá_Caranx vinctus_Pequeño;7000;8000
Bahía de Cispatá_Penaeus monodon_Grande;22400;32933
Jurubirá_Trachinotus stilbe_Mediano;7050;7950
Sivirú_Caulolatilus affinis_Pequeño;12000;12000
Sivirú_Menticirrhus panamensis_Grande;12200;14000
Puerto La Candelaria_Megaleporinus muyscorum_Mediano;2657;3530
Loma - San Sebastián_Caquetaia kraussii_Revuelto;2407;3297
La Mata_Prochilodus magdalenae_Revuelto;2800;7200
La Mata_Sorubim cuspicaudus_Grande;8600;11974
Puerto Abajo (Dibulla)_Trachinotus carolinus_Revuelto;7000;7000
Las Tenazas_Haemulon plumieri_Mediano;8300;10207
Las Tenazas_Balistes vetula_Mediano;5313;6201
Cupica_Haemulon flaviguttatum_Mediano;16000;16000
Puerto Amor_Hoplias malabaricus_Grande;2587;3333
Tasajera La Playa_Trachinotus carolinus_Mediano;6050;6950
Jurubirá_Lutjanus argentiventris_Mediano;8600;14000
Jurubirá_Caranx caballus_Mediano;7000;8000
Tasajera La Playa_Polydactylus virginicus_Mediano;5000;6650
Puerto Amor_Sorubim cuspicaudus_Mediano;6355;8889
Santa Clara_Ageneiosus pardalis_Pequeño;4000;4000
Guineal_Sciades dowii_Revuelto;3333;5000
Puerto Panseguita_Megalops atlanticus_Grande;7000;7000
Santa Cruz - Naya_Lutjanus peru_Mediano;12000;13000
Playa Pescadores - Capurganá_Lutjanus purpureus_Pequeño;26000;26000
Puerto El Waffe marino_Mugil liza_Grande;12000;12000
Guineal_Lutjanus guttatus_Grande;10100;11900
Guineal_Ariopsis seemanni_Grande;4200;6000
Guineal_Euprepocaranx dorsalis_Revuelto;4150;6850
Betania - Naya_Scomberomorus sierra_Revuelto;3750;4251
Santa Clara_Curimata mivartii_Revuelto;1800;2799
Guineal_Lutjanus argentiventris_Pequeño;8000;8000
Guineal_Paralonchurus dumerilii_Grande;7000;7000
Bazán La Bocana_Scomberomorus sierra_Mediano;6000;8000
Betania - Naya_Macrodon mordax_Revuelto;13000;13004
Miramar - Bahía Málaga_Cynoscion phoxocephalus_Varios tamaños;10000;18000
Guineal_Parapsettus panamensis_Grande;10000;10000
Mercado (Lorica)_Ageneiosus pardalis_Revuelto;6769;8986
Puerto Amor_Trichopodus pectoralis_Grande;1348;1348
Cartagena del Chairá_Schizodon fasciatus_Revuelto;16000;16000
Cartagena del Chairá_Mylossoma aureum_Revuelto;8000;8000
Camarones_Haemulon flavolineatum_Revuelto;5100;6900
Las Delicias_Trichiurus lepturus_Grande;4000;4000
Bahía de Santa Marta_Lutjanus purpureus_Mediano;24000;24000
Pizarro_Centropomus robalito_Grande;16000;16000
Primera Ensenada_Caranx hippos_Mediano;11857;13850
El Muelle (Puerto López)_Phractocephalus hemioliopterus_Revuelto;6000;7755
Codis_Scomberomorus brasiliensis_Grande;18774;19979
Codis_Lutjanus griseus_Grande;18862;20000
Muelle Hong Kong_Ageneiosus inermis_Revuelto;11077;14750
Nueva Colonia_Cyphocharax magdalenae_Pequeño;3000;3000
Codis_Caranx latus_Grande;11153;11899
Taganga_Euthynnus alletteratus_Revuelto;9332;9332
Agropez_Scomberomorus brasiliensis_Mediano;12193;18000
Agropez_Sciades proops_Revuelto;12000;12000
La Rampa (Barrancabermeja)_Megaleporinus muyscorum_Revuelto;2567;3925
La Plata - Bahía Málaga_Diapterus brevirostris_Varios tamaños;2477;2850
Betania - Naya_Cynoscion albus_Revuelto;21000;21000
Betania - Naya_Paralonchurus dumerilii_Mediano;13000;13000
Guineal_Bagre pinnimaculatus_Revuelto;4550;7800
Guineal_Diapterus brevirostris_Grande;4500;6000
Puerto Bello_Oreochromis niloticus_Grande;4000;5000
La Ensenada_Notarius troschelii_Grande;3575;4925
La Ensenada_Penaeus occidentalis_Grande;32167;35167
Zapata_Megalops atlanticus_Mediano;24000;24000
Ica-Copipa_Sphyraena barracuda_Mediano;14000;14000
Zapata_Conodon nobilis_Pequeño;11100;12000
Zapata_Panulirus argus_Revuelto;50000;50000
Zapata_Penaeus schmitti_Pequeño;49646;58000
Ica-Copipa_Caranx crysos_Pequeño;15250;20000
Puerto Chucha_Eugerres plumieri_Revuelto;6563;7649
Puerto Chucha_Penaeus schmitti_Revuelto;35198;40088
Las Tenazas_Caranx crysos_Grande;11389;12665
Puerto Chucha_Centropomus undecimalis_Pequeño;18144;20208
