SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_NUMERO_PESCADORES_hist;Cuartil_sup_NUMERO_PESCADORES_hist
Ica-Copipa_Atarraya;1;1
Bahía de Santa Marta_Buceo marino mixto;1;1
Zapata_Palangre o espinel de fondo;2;4
Real_Atarraya;1;2
Caño Grande_Red de enmalle fija marina;1;1
La Playa (El Banco)_Chinchorro continental;5;6
La Playa (El Banco)_Red de enmalle fija continental ciénaga;1;2
El Ferry_Red de enmalle fija continental río;1;2
Puerto Caracolí_Palangre calandrio;1;2
Puerto Chucha_Palangre o espinel de fondo;1;3
Taganga_Palangre o espinel de fondo;2;3
La Playa (El Banco)_Atarraya;1;1
Bazurto_Red de enmalle de deriva marina;2;2
San Nicolás (Santa Cruz De Mompox)_Línea de mano;1;2
La T_Palangre o espinel de fondo;2;3
Cerro del Rosario_Nasas de Peces;2;2
Las Tenazas_Chinchorro marino;11;15
Tajamar Occidental_Línea de mano cometa;1;1
Tajamar Occidental_Línea de mano;1;1
Playa Necoclí_Red de enmalle fija marina campaña;2;3
Puerto Boquillas_Chinchorro continental;2;3
Las Flores_Línea de mano;1;1
La Boquilla_Palangre o espinel de fondo;1;2
Puerto Chucha_Línea de mano;1;3
La Mata_Chinchorra;2;4
Macurutú - Saloa_Palangre calandrio;1;1
Macurutú - Saloa_Chinchorra;3;4
Playa Necoclí_Palangre o espinel de fondo;3;4
Real_Palangre calandrio;1;1
Nueva Colonia_Palangre o espinel de fondo;2;3
Barrio Pambelé_Red de enmalle de encierro marina;6;7
Barrio Pambelé_Línea de mano;2;4
Playa Necoclí_Arpón;2;2
Pasacaballos_Red de enmalle fija marina;1;2
Playa Arboletes_Red de enmalle fija marina;1;3
Playa Arboletes_Palangre o espinel de fondo;2;2
Barrio Pambelé_Red de enmalle camaronera;2;3
El Pasito_Línea de mano;2;2
El Pasito_Red de enmalle fija marina;2;2
Puerto Boquillas_Línea de mano;2;2
Caño Grande_Red de enmalle de encierro marina;5;6
Pasacaballos_Buceo de caracol;1;2
Lamas_Atarraya;1;2
Playa Arboletes_Red de enmalle camaronera;1;2
Las Delicias_Red de enmalle de encierro marina;4;5
Las Delicias_Red de enmalle fija marina;1;2
Las Delicias_Buceo marino mixto;2;5
Rincón del Mar_Buceo marino mixto;1;4
Rincón del Mar_Línea de mano;1;3
Barrio La Unión_Red de enmalle fija marina;2;3
Puerto Velero_Línea de mano;3;5
Puerto Velero_Red de enmalle de encierro marina;2;3
Puerto Abajo (Dibulla)_Chinchorro camaronero;6;6
Puerto Abajo (Dibulla)_Red de enmalle de encierro marina;4;5
Barrio Pambelé_Arpón;2;2
La T_Buceo marino mixto;3;3
Buritaca_Red de enmalle fija marina;2;3
Buritaca_Atarraya;1;1
