SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_NUMERO_PESCADORES_hist;Cuartil_sup_NUMERO_PESCADORES_hist
Malecón (Puerto Gaitán)_Chinchorro continental;2;2
Muelle La Esmeralda_Línea de mano fija continental;1;2
Puerto López_Línea de mano turista;1;1
La Rampa (Barrancabermeja)_Nasas de Peces;3;5
Puerto Wilches_Chinchorra nicurera;4;5
La Punta_Buceo marino mixto;1;2
Plaza de mercado (La Dorada)_Atarraya rastra;2;2
Puerto de Gamarra_Atarraya;1;5
Puerto de Gamarra_Línea de mano fija continental;1;4
Puerto de Gamarra_Red de enmalle fija continental;1;4
Las Delicias_Red de enmalle de deriva marina;2;2
Paujil_Palangre calandrio;1;3
Puerto Cabuyaro_Atarraya;2;5
Clarinetero_Red de enmalle de deriva continental;3;4
Puerto Rico [Meta]_Red de enmalle de deriva continental;1;2
Punta Bonita_Red de cerco;12;14
Pesquera Friopez_Red de cerco artesanal o ruche;12;12
Juanchaco_Red de enmalle de deriva marina;2;2
Monserrate_Red de enmalle fija continental;2;4
Las Flores_Atarraya;1;2
Monserrate_Chinchorro continental;2;4
Casco Urbano (Arauca)_Palangre calandrio;2;4
Rincón del Mar_Nasa de langostas;1;4
Casco Urbano (Arauca)_Chinchorro continental;2;4
Playa de Arusí_Arpón;3;3
Mapiripán_Chinchorro continental;2;4
Playa de Arusí_Red de enmalle fija marina;1;1
Malecón (Puerto Gaitán)_Atarraya;1;2
Puerto del Pescado (San José Del Guaviare)_Línea de mano fija continental;2;2
Doña Ana_Red de enmalle de encierro continental;3;5
La Charca de Guarinocito_Chinchorra;4;4
Pesquera Luz Mar_Red de enmalle fija marina;2;3
Puerto Principal (Leticia)_Línea de mano fija continental;1;1
Mangaña - Bahía Málaga_Línea de mano fija marina;1;2
Puerto Barrio El Progreso_Red de enmalle de deriva continental mallona;2;3
Las Flores_Red de enmalle fija marina;5;6
Muelle Pescadores (Puerto Boyacá)_Atarraya chile;3;6
Corozal_Red de enmalle de encierro continental;2;2
Orpua_Red de cerco;4;8
Milagros de la Mar_Red de enmalle de encierro continental;2;2
Timbiquí_Red de enmalle de encierro continental;2;2
Quiroga_Red de enmalle fija marina;4;4
Puerto López_Chinchorro continental;5;6
Isla Fuerte_Nasas de Peces;1;3
Marralú_Red de enmalle de encierro continental;3;3
Chacón_Red de enmalle de encierro continental;2;2
Caño Mina_Palangre calandrio;2;2
Pueblo Nuevo_Red de cerco;13;13
Pesquera Luz Mar_Red de cerco artesanal o ruche;12;12
Pueblo Nuevo_Nasa de jaibas;1;1
Puerto Bello_Chinchorro continental;4;4
Puerto Amor_Red de enmalle de encierro continental;2;2
Puerto Barrio El Progreso_Chinchorra;2;3
Puerto de Gamarra_Palangre calandrio;2;4
Puerto Barrio El Progreso_Línea de mano fija continental;2;2
Pesquera Ricuras del Mar_Red de enmalle fija marina;3;3
Puerto Boca_Atarraya;2;2
Puerto Asure_Red de enmalle de encierro continental;1;2
Pesquera Punta Reyes_Red de enmalle camaronera;2;2
El Pedral_Red de enmalle de deriva continental;2;3
El Pedral_Atarraya;1;2
Casco Urbano (San Juan de Urabá)_Red de enmalle fija marina;2;3
Sapzurro_Línea de mano fija marina;1;2
Puerto Triunfo_Atarraya;2;2
Puerto Triunfo_Atarraya rastra;4;5
Puerto Triunfo_Palangre calandrio;1;2
Sapzurro_Red de enmalle fija marina;2;3
Marriaga_Red de enmalle fija continental;1;2
Ciénaga del Totumo_Atarraya;1;2
La Coquerita_Línea de mano fija marina;1;3
Primera Ensenada_Atarraya;1;1
Primera Ensenada_Palangre o espinel de fondo;1;3
Primera Ensenada_Línea de mano fija marina;2;4
Ciénaga del Totumo_Buceo de peces;2;3
El Pedral_Cóngolo;2;3
Puerto Triunfo_Red de enmalle de deriva continental;2;2
Sapzurro_Línea de mano correteo curricán o trolling;1;2
El Pedral_Línea de mano fija continental;1;2
Uldarico_Red de enmalle camaronera;2;2
El 48_Red de enmalle camaronera;2;2
Puerto (Arauquita)_Atarraya;2;3
Puerto Triunfo_Chinchorra;3;4
Docordó_Red de enmalle fija marina;2;3
Sapzurro_Buceo de peces;1;2
Docordó_Red de enmalle de deriva marina;1;2
Docordó_Palangre o espinel de fondo;2;3
Casco urbano Roma_Flecha;1;1
Chontal_Recolección manual de piangua;2;2
Chontal_Palangre o espinel de superficie;1;2
Chontal_Red de enmalle camaronera;2;3
Chontal_Red de arrastre;2;3
Chontal_Palangre o espinel de fondo;1;2
Chontal_Red de enmalle de encierro continental;2;2
Chontal_Red de cerco artesanal o ruche;2;3
Chontal_Chinchorro marino;3;3
Chontal_Línea de mano correteo curricán o trolling;2;4
Agropesur_Palangre o espinel de fondo;2;2
Chontal_Línea de mano fija marina;2;3
Tribugá_Red de enmalle fija marina;1;3
Tribugá_Línea de mano fija marina;1;2
San Antonio de Padua_Red de enmalle de deriva continental;1;2
Docordó_Línea de mano;2;3
Arrimadero La Unión_Red de enmalle marina de fondo;2;3
Casco Urbano (San Juan de Urabá)_Red de enmalle camaronera;1;2
Puerto Miraflores_Red de enmalle marina de fondo;2;2
El Muelle (Barrancabermeja)_Línea de mano fija continental;2;3
Monserrate_Palangre calandrio;2;2
Miramar - Bahía Málaga_Palangre o espinel de superficie;1;2
La Sierpe - Bahía Málaga_Palangre o espinel de superficie;1;1
Muelle Principal (Puerto Leguízamo)_Red de enmalle de deriva continental;1;2
Buchadó_Red de enmalle fija continental;1;2
Tagachí_Red de enmalle fija continental;1;2
Tagachí_Cóngolo;1;1
Tagachí_Red de enmalle de deriva continental;2;3
Curvaradó_Red de enmalle fija continental;1;2
Buchadó_Línea de mano fija continental;1;2
Isla Fuerte_Red de enmalle de encierro marina;2;3
Tagachí_Línea de mano fija continental;1;2
El Llanito_Línea de mano fija continental;2;2
Chontal_No definido;2;2
El Muelle (Puerto López)_Red de enmalle de deriva continental;2;2
La Punta - Firme Cifuentes_Red de enmalle de encierro continental;2;3
Puerto Wilches_Línea de mano fija continental;4;4
La Punta - Firme Cifuentes_Red de enmalle camaronera;2;2
Laguna Colorada_Palangre calandrio;1;2
La Punta - Firme Cifuentes_Recolección manual de piangua;1;1
Punta Bonita_Palangre o espinel de superficie;1;2
Tribugá_Palangre o espinel de fondo;1;3
Puerto Boca_Red de enmalle fija continental ciénaga;2;3
El Pedral_Palangre calandrio;1;2
La Casa del Pescador_Red de enmalle de encierro continental;2;2
La Pedrera_Atarraya;1;2
Puerto Bogotá_Cóngolo;1;1
Puerto Bogotá_Línea de mano fija continental;1;2
Milagros de la Mar_Palangre o espinel de superficie;2;4
El Malecón (Coello)_Red de enmalle de deriva continental;2;4
Puerto Bogotá_Atarraya;1;2
San Antonio de Padua_Línea de mano fija continental;1;2
La Punta - Firme Cifuentes_Red de enmalle de deriva marina;2;3
Puerto Los Córdobas_Red de enmalle fija marina;1;3
Milagros de la Mar_Red de enmalle de deriva marina;2;3
Maracayo_Red de enmalle fija continental;1;1
Monserrate_Recolección manual de mota;2;2
Camarones_Red de enmalle de deriva marina;2;2
Camarones_Red de enmalle de encierro marina;2;5
Camarones_Nasas de Peces;2;7
Puerto Panseguita_Red de enmalle fija continental;1;2
Puerto Los Córdobas_Red de enmalle de deriva marina;2;3
Puerto Panseguita_Atarraya;1;2
Bocas del Atrato_Palangre o espinel de superficie;2;2
Las Brisas_Red de enmalle fija continental;1;2
Punta Bonita_Red de arrastre artesanal o changa;2;3
Candelaria (Achí)_Red de enmalle fija continental;1;2
Puerto Panseguita_Palangre calandrio;1;1
Muelle Pescadores (Puerto Boyacá)_Red de enmalle de deriva continental;4;4
Pesquera Friopez_Red de enmalle de deriva marina;2;3
Muelle Hong Kong_Recolección manual de mota;1;5
Vigía de Curvaradó_Red de enmalle fija continental;1;3
Chontal_Red de arrastre artesanal o changa;18;18
La Tagua_Línea de mano fija continental;1;3
Plaza de mercado (Tumaco)_Red de enmalle de encierro continental;2;2
Puerto (Arauquita)_Línea de mano fija continental;1;3
Vigía_Red de enmalle de deriva marina;2;2
La Sierpe - Bahía Málaga_Arpón;1;2
Curillo_Red de enmalle de deriva continental;2;3
Barrio Santa Lucía_Red de enmalle fija marina;2;2
Plaza de mercado (Tumaco)_Red de enmalle de deriva marina;2;2
La Casa del Pescador_Red de enmalle de deriva marina;2;2
La Grande_Línea de mano fija continental;2;2
La Coquerita_Atarraya;1;1
Playa Blanca (Ayapel)_Red de enmalle fija continental;1;2
Providencia o Caimancito_Red de enmalle fija continental;1;1
Domingodó_Flecha;1;2
Domingodó_Línea de mano fija continental;1;2
Domingodó_Red de enmalle fija continental;1;3
El Porvenir_Línea de mano fija marina;1;2
Chontal_Red de enmalle de deriva marina;1;3
El Porvenir_Red de enmalle fija marina;1;2
La Plata - Bahía Málaga_Palangre o espinel de superficie;1;2
El Porvenir_Buceo marino mixto;1;2
Barrio Arriba - Barbosa (Magangué)_Red de enmalle fija continental;1;2
El Porvenir_Palangre o espinel de fondo;1;2
Barrio Abajo - Barbosa (Magangué)_Red de enmalle fija continental;1;2
Barrio Santa Lucía_Línea de mano fija marina;2;4
Pomeño_Red de enmalle fija marina;2;3
San José de la Calle_Línea de mano fija continental;1;2
Cupica_Línea de mano fija marina;2;2
Pomeño_Red de enmalle de deriva marina;2;3
Candelillas de Mar_Red de enmalle de deriva marina;2;2
Tribugá_Arpón;1;2
Guataquí_Atarraya;1;2
La Chamba_Atarraya;1;3
Guataquí_Palangre calandrio;1;2
La Chamba_Red de enmalle de deriva continental;1;3
Virudó_Red de enmalle fija marina;1;3
Casco urbano (Puerto Escondido)_Red de enmalle fija marina;1;2
Casco urbano (Puerto Escondido)_Línea de mano fija marina;2;4
Miel de Abeja_Línea de mano fija marina;1;2
Guataquí_Cóngolo;2;2
Pesquera Luz Mar_Red de enmalle de deriva marina;2;2
Casco Urbano (San Juan de Urabá)_Palangre o espinel de fondo;2;3
El Pedral_Red de enmalle fija continental;1;2
Puerto Boca_Red de enmalle fija continental;2;2
Dotenedó_Red de enmalle camaronera;1;3
Nueva Ola_Atarraya;1;2
Nueva Ola_Red de enmalle fija continental;1;2
Candelaria (Achí)_Atarraya;1;2
Nueva Ola_Red de enmalle de deriva continental;1;3
Virudó_Línea de mano fija marina;1;3
Virudó_Palangre o espinel de fondo;1;3
Nueva Ola_Palangre calandrio;1;2
Candelillas de Mar_Red de enmalle fija marina;1;1
Nueva Ola_Chinchorro continental;2;4
Puerto Los Córdobas_Palangre o espinel de fondo;2;3
Casco urbano (Puerto Escondido)_Palangre o espinel de fondo;2;3
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya chile;3;5
Puerto Arriba (Dibulla)_Chinchorro marino;13;18
Nueva Colonia_Palangre o espinel de superficie;2;2
Amarales_Red de enmalle de deriva marina;2;2
Guataquí_Red de enmalle fija continental;2;3
La Chamba_Nasas de Peces;1;2
El Roto_Palangre o espinel de superficie;2;2
Muelle Las Flores_Red de enmalle camaronera;2;2
Sicará_Red de enmalle fija continental;1;10
La Ensenada_Red de enmalle camaronera;2;2
Ica-Copipa_Línea de mano fija marina;1;2
Soledad Pueblito_Red de enmalle camaronera;2;2
Soledad Pueblito_Red de enmalle de encierro marina;3;3
Dotenedó_Línea de mano fija marina;1;2
La Ensenada_Red de enmalle de deriva marina;2;2
Virudó_Red de enmalle de deriva marina;2;3
Virudó_Atarraya;2;2
La Chamba_Palangre calandrio;1;1
Puerto de Gamarra_Cóngolo;1;1
El Porvenir_Atarraya;1;2
Distribuidoras de Tumaco_Red de enmalle de deriva marina;2;2
El Puerto (Tumaco)_Red de enmalle de deriva marina;2;4
Muelle Las Flores_Red de enmalle de deriva marina;2;4
Dotenedó_Red de enmalle fija marina;1;3
El Pedral_Red de enmalle de encierro continental;2;3
Pomeño_Palangre o espinel de fondo;1;2
Aparca_Red de enmalle fija continental;2;5
Guataquí_Nasas de Peces;1;2
Puerto Chucha_Línea de mano fija marina;2;2
La Chamba_Línea de mano fija continental;1;2
Charambirá_Red de enmalle fija marina;2;3
Punta Ardita_Línea de mano fija marina;2;2
Chapinero_Línea de mano fija continental;2;2
Charambirá_Palangre o espinel de fondo;2;3
Charambirá_Red de enmalle de deriva marina;2;3
Charambirá_Línea de mano;1;3
Playa de Arusí_Línea de mano correteo curricán o trolling;1;2
Mercado (Lorica)_Recolección manual;2;2
Charambirá_Red de cerco;1;1
Pueblo Nuevo (Barrancominas)_Atarraya;1;2
Docordó_Red de enmalle camaronera;2;2
Mulatos_Palangre o espinel de superficie;2;2
Monserrate_Nasas de Peces;2;3
Camarones_Línea de mano fija marina;1;3
Muelles del Camarón_Red de arrastre artesanal o changa;2;2
Soledad Pueblito_Línea de mano fija marina;1;2
Providencia o Caimancito_Atarraya;1;2
Distribuidoras de Tumaco_Red de cerco artesanal o ruche;12;12
Miel de Abeja_Red de enmalle fija marina;1;1
Bazán_Red de enmalle de deriva marina;2;2
Bazán_Red de cerco artesanal o ruche;10;10
Bazán_Palangre o espinel de fondo;3;10
La Ensenada_Línea de mano fija marina;2;3
Camarones_Línea de mano correteo curricán o trolling;2;4
Las Balsas_Red de enmalle de deriva continental;2;2
Dotenedó_Palangre o espinel de fondo;1;3
Pueblo Nuevo (Barrancominas)_Flecha;1;3
Puerto Chucha_Línea de mano fija continental;1;2
Paujil_Nasas de Peces;10;10
Puerto Los Córdobas_Línea de mano fija marina;3;4
Laguna Colorada_Flecha;1;1
Belén (San Marcos)_Palangre calandrio;1;1
Cabo de la Vela_Red de enmalle langostera;2;3
Pantuuchitu_Red de enmalle langostera;2;2
Puerto Real - Saloa_Red de enmalle fija continental;1;2
Jodedor_Red de enmalle langostera;2;3
Mayapo_Red de enmalle langostera;2;3
Distribuidoras de Tumaco_Chinchorro marino;14;14
La Boquilla_Palangre o espinel de superficie;1;2
Barrio La Unión_Palangre o espinel de superficie;2;2
Puerto Arriba (Dibulla)_Red de enmalle langostera;2;3
Puerto de desembarco (Barrancominas)_Palangre calandrio;1;1
Puerto Boca_Red de enmalle fija continental río;1;2
Candelaria (Achí)_Red de enmalle de deriva continental;1;2
Chamuscado - Naya_Red de enmalle fija marina;2;2
La Mata_Red de enmalle fija continental;1;2
Macurutú - Saloa_Red de enmalle fija continental;1;2
La Punta - Firme Cifuentes_Red de enmalle fija marina;2;2
Candelaria (Chimichagua)_Red de enmalle fija continental;1;2
Cartagena del Chairá_Red de enmalle fija continental;1;2
Barrio Arriba - Barbosa (Magangué)_Red de enmalle de deriva continental;2;2
Sempegua_Red de enmalle fija continental;1;2
Providencia o Caimancito_Palangre calandrio;1;1
Bocanegra_Palangre o espinel de fondo;1;2
Puerto Serviez_Cóngolo;2;2
Puerto del Cerrito_Red de enmalle fija continental río;1;4
Candelaria (Achí)_Palangre calandrio;1;2
Las Brisas_Línea de mano fija continental;1;1
Amarales_Red de enmalle camaronera;2;2
Candelaria (Achí)_Chinchorro continental;3;5
Paujil_Red de enmalle de deriva continental;2;2
Puerto de desembarco (Mitú)_No definido;1;1
Charambirá_Línea de mano fija marina;1;2
Casco Urbano (Arauca)_Recolección manual de mota;2;4
Muelle La Samaritana_Palangre o espinel de fondo;2;4
Muelle Las Flores_Palangre o espinel de fondo;1;3
Juanchaco_Red de enmalle fija marina;2;3
Doña Ana_Red de enmalle de deriva continental;1;1
Buenavista (La Dorada)_Chinchorra nicurera;3;3
Puerto Boyacá_Atarraya;1;3
Puerto Boyacá_Chinchorra;2;4
Puerto Boyacá_Palangre calandrio;1;3
La Grande_Red de enmalle de deriva continental;1;3
La Plata - Bahía Málaga_Arpón;2;2
Las Tenazas_Nasas de Peces;3;3
Miel de Abeja_Palangre o espinel de fondo;1;2
Cooperativas - Pueblo Nuevo_Red de enmalle de deriva marina;2;4
Tagachí_Atarraya;1;2
Cooperativas - Pueblo Nuevo_Palangre o espinel de fondo;3;13
San Alejandro_Red de enmalle de deriva continental;2;2
Cooperativas - Pueblo Nuevo_Red de enmalle camaronera;2;2
San Nicolás (Santa Cruz De Mompox)_Red de enmalle de deriva continental;2;2
Juanchaco_Palangre o espinel de fondo;3;3
Pesqueras - Pueblo Nuevo_Palangre o espinel de fondo;4;6
Río San Miguel_Atarraya;2;3
La Punta - Firme Cifuentes_Palangre o espinel de fondo;1;2
Montaño_Red de enmalle de deriva continental;2;2
Nueva Ola_Atarraya rastra;3;3
Purricha_Palangre o espinel de fondo;1;2
Puerto principal (San Vicente del Caguán)_Atarraya;2;3
Purricha_Red de enmalle de deriva marina;2;2
Playa Nueva_Red de enmalle de deriva marina;2;3
Playa Nueva_Palangre o espinel de fondo;2;3
Puerto principal (San Vicente del Caguán)_Red de enmalle fija continental;2;3
El Muelle (Puerto López)_Atarraya;2;3
Camarones_Red de enmalle fija marina;2;2
Puerto Pozuelo - La Rinconada_Red de enmalle de encierro continental;2;2
Puerto Los Córdobas_Atarraya;1;1
Cupica_Palangre o espinel de fondo;2;2
La Ensenada_Palangre o espinel de fondo;2;3
Las Brisas_Palangre calandrio;1;1
Palomino_Red de enmalle de encierro continental;2;3
Puerto Barrio El Progreso_Atarraya rastra;3;3
Puerto de las Canoas (Puerto Berrío)_Red de enmalle fija continental;3;6
Jurubirá_Línea de mano correteo curricán o trolling;1;2
Policía fluvial (Quibdó)_Red de enmalle de deriva continental;2;2
Barrio Arriba - Barbosa (Magangué)_Chinchorro continental;4;4
Pesqueras - Pueblo Nuevo_Red de enmalle de deriva marina;2;3
Purricha_Red de enmalle fija marina;2;3
Puerto Serviez_Red de enmalle de encierro continental;3;3
El Porvenir_Línea de mano correteo curricán o trolling;1;2
Bazán_Red de enmalle camaronera;2;2
Buenavista (La Dorada)_Palangre calandrio;1;2
Puerto Miraflores_Línea de mano correteo curricán o trolling;1;3
San Alejandro_Línea de mano fija continental;2;2
Betania - Naya_Red de enmalle camaronera;2;2
Isla Fuerte_Palangre o espinel de fondo;3;3
Sicará_Línea de mano fija continental;1;1
Aparca_Red de enmalle de deriva continental;3;4
Santa Cruz - Naya_Red de enmalle camaronera;2;2
Sicará_Atarraya;1;3
Guataquí_Línea de mano fija continental;1;2
Puerto de desembarco (Mitú)_Nasas de Peces;1;1
San José de la Calle_Red de enmalle de deriva continental;2;3
Mulatos_Red de enmalle camaronera;2;2
Docordó_Línea de mano fija marina;1;1
Las Delicias_Nasas de Peces;2;3
Muelle La Samaritana_Red de enmalle de deriva marina;2;3
La Gloria_Atarraya puesteo;1;2
Miel de Abeja_Red de enmalle de deriva marina;2;2
Ica-Copipa_Buceo marino mixto;2;2
Nueva Ola_Línea de mano fija continental;1;2
Puerto principal (San Vicente del Caguán)_Línea de mano fija continental;2;2
Puerto (Arauquita)_Recolección manual de mota;3;3
El Muelle (Barrancabermeja)_Atarraya porro;3;3
Casco Urbano (San Juan de Urabá)_Arpón;2;3
Caño Grande_Línea de mano fija continental;1;1
Santa Cruz - Naya_Red de enmalle fija marina;2;2
El Muelle (Barrancabermeja)_Red de enmalle de deriva continental mallona;4;4
La Rampa (Barrancabermeja)_Red de enmalle de deriva continental mallona;5;5
Pesqueras - Pueblo Nuevo_Red de enmalle camaronera;2;2
Betania - Naya_Palangre o espinel de fondo;2;2
Puerto Abajo (Dibulla)_Red de enmalle langostera;2;3
Puerto principal (San Vicente del Caguán)_Palangre calandrio;1;2
Milagros de la Mar_Red de enmalle camaronera;2;2
El Llanito_Nasas de Peces;2;2
Dotenedó_Recolección manual de piangua;1;3
Lomita Arena_Palangre o espinel de superficie;2;3
Bazurto_Atarraya;2;2
Punta de blanco_Palangre calandrio;1;1
El Puerto (Tumaco)_Palangre o espinel de fondo;2;3
El Puerto (Tumaco)_Red de cerco artesanal o ruche;2;16
Las Flores_Palangre o espinel de superficie;2;5
Poportín_Nasas de Peces;4;6
Puerto principal (San Vicente del Caguán)_Red de enmalle de deriva continental;2;3
Bocanegra_Red de enmalle de encierro continental;2;4
Puerto de las Canoas (Puerto Berrío)_Chinchorra mallona;3;7
Isla Fuerte_Nasa de langostas;4;6
El Puerto (Tumaco)_Chinchorro camaronero;3;7
Puerto Wilches_Chinchorro continental;4;4
Curillo_Atarraya;2;2
Puerto Principal (Leticia)_Red de enmalle de deriva continental;2;2
El Puerto (Tumaco)_Red de enmalle camaronera;2;3
Providencia o Caimancito_Línea de mano fija continental;1;1
Puerto Cabuyaro_Red de enmalle de deriva continental;1;2
Puerto de las Canoas (Puerto Berrío)_Chinchorra menuda;4;9
Casco Urbano (San Juan de Urabá)_Red de arrastre artesanal o changa;2;3
Puerto Bello_Red de enmalle de deriva continental;2;2
Palomino_Palangre calandrio;1;2
Nueva Colonia_Red de enmalle fija continental;2;2
Villa Fátima_Línea de mano fija marina;4;4
La T_Línea de mano fija marina;4;4
El Roto_Red de enmalle fija continental;1;2
Punta de blanco_Línea de mano fija continental;1;1
Barrio La Unión_Red de enmalle de encierro marina;2;2
Puerto Chaparro_Atarraya rastra;4;4
Nueva Colonia_Red de enmalle de encierro marina;2;2
Casco urbano (Puerto Escondido)_Red de enmalle de deriva marina;2;2
Bazán_Red de enmalle fija marina;2;2
El Puerto (Tumaco)_Red de enmalle fija marina;3;3
