SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_horas_trab_hist;Cuartil_sup_horas_trab_hist;Cuartil_inf_profundidad_hist;Cuartil_sup_profundidad_hist
Miramar - Bahía Málaga_Palangre o espinel de superficie;14,6;21,4;2;18
La Sierpe - Bahía Málaga_Palangre o espinel de superficie;17,05;17,95;3;3
Muelle Principal (Puerto Leguízamo)_Red de enmalle de deriva continental;3,068000031;20,68199997;4;7
El 48_Palangre o espinel de fondo;67,98000107;68,5469986;76;108
Arroyito_Palangre o espinel de fondo;4,75;7,147500038;11;12
Buchadó_Red de enmalle fija continental;15,22999954;20,92000008;3;5
Pueblo Nuevo (Barrancominas)_Red de enmalle fija continental;4,286999965;19,29200001;3;17
Ciénaga de Mesolandia_Atarraya;3,5;8;2;3
Tagachí_Red de enmalle fija continental;14,85750003;26,4060008;1;3
Tagachí_Cóngolo;17,23849993;24,5915;2;2
Tagachí_Red de enmalle de deriva continental;2,405999976;12,98900003;7;12
Bahía de Cispatá_Red de arrastre artesanal o changa;7,984000015;10,67000008;2;6
Curvaradó_Red de enmalle fija continental;17,00100002;20,46999931;8;8
Punta Bonita_Red de enmalle fija marina;3,584999931;11,7375;4;5
Buchadó_Línea de mano fija continental;16,32999992;20,09349995;3;5
Isla Fuerte_Red de enmalle de encierro marina;5,19800005;8;9;24
Barrio Abajo (Ciénaga)_Palangre o espinel de fondo;7,17349999;12,57999969;13;42
El Llanito_Línea de mano fija continental;7,266499996;7,563499928;2;2
Chontal_No definido;1,508499998;1,661499959;5;6
El Muelle (Puerto López)_Red de enmalle de deriva continental;18;81,3;2;3
La Punta - Firme Cifuentes_Red de enmalle de encierro continental;2,6;12,5;9;29
Caño Lobo_Arpón;8;8,425;2;2
Puerto Wilches_Línea de mano fija continental;21,17400007;22,82999992;4;5
La Punta - Firme Cifuentes_Red de enmalle camaronera;4;8,329999924;5;23
Laguna Colorada_Palangre calandrio;8,037999725;18,25;1;14
Puerto Abajo (Dibulla)_Red de enmalle de encierro marina;4,5;11;5;7
Puerto Rico [Meta]_Línea de mano fija continental;3,375;7;6;8
La Punta - Firme Cifuentes_Recolección manual de piangua;5,075;6,425;1;1
Punta Bonita_Palangre o espinel de superficie;3,35;16,15;5;6
Puerto Asure_Red de enmalle de deriva continental;1,747499973;9,122499943;3;8
Tribugá_Palangre o espinel de fondo;5,820000172;18,32999992;3;5
Puerto Boca_Red de enmalle fija continental ciénaga;7,80199995;25,94899998;2;3
El Pedral_Palangre calandrio;2;14,75;2;3
Barrio La Unión_Red de enmalle langostera;19;26,82999992;14;26
La Casa del Pescador_Red de enmalle de encierro continental;11,07999992;13,95749998;12;19
La Pedrera_Atarraya;5,375;27,46999979;2;13
La Pedrera_Línea de mano fija continental;12,20000005;56,83499908;3;6
Puerto Bogotá_Cóngolo;2;3,5;2;6
Puerto Bogotá_Línea de mano fija continental;3;7;7;8
El Pájaro_Buceo marino mixto;5,403000069;7,5;3;6
Milagros de la Mar_Palangre o espinel de superficie;14,8375;25,4125;35;343
El Malecón (Coello)_Red de enmalle de deriva continental;3,380000114;15;3;4
Puerto Bogotá_Atarraya;2;5;2;8
San Antonio de Padua_Línea de mano fija continental;3,856000137;30,48000069;3;7
Muelle Principal (Puerto Leguízamo)_Línea de mano fija continental;12,56500006;111,625;5;7
La Punta - Firme Cifuentes_Red de enmalle de deriva marina;3,170000076;10,8;4;30
Puerto Los Córdobas_Red de enmalle fija marina;5,230000019;14,17000008;6;25
Milagros de la Mar_Red de enmalle de deriva marina;4,559999943;13,01999998;9;45
Maracayo_Red de enmalle fija continental;14,77399998;19,82999992;3;5
Monserrate_Recolección manual de mota;5,724000072;11,196;6;8
Camarones_Red de enmalle de deriva marina;8,579999924;12,86799989;7;13
Camarones_Red de enmalle de encierro marina;3,613000083;12,23500032;7;13
Camarones_Nasas de Peces;7,170000076;113,4860008;12;25
Puerto Panseguita_Red de enmalle fija continental;16;21,35000038;2;5
Puerto Los Córdobas_Red de enmalle de deriva marina;8,134000015;25,12000046;18;103
Puerto Panseguita_Atarraya;4;9;2;5
Bocas del Atrato_Palangre o espinel de superficie;16,81999969;18,67000008;5;7
El 48_Red de enmalle de deriva marina;88,5;88,5;17;17
Guazo_Nasas de Peces;17,42350016;22,7630003;3;6
Robles_Atarraya;6;9;1;5
Las Brisas_Red de enmalle fija continental;16,07999992;21;2;4
Punta Bonita_Red de arrastre artesanal o changa;3,475;7,85;2;3
Candelaria (Achí)_Red de enmalle fija continental;14;18;1;3
Puerto Panseguita_Palangre calandrio;14,625;16,875;2;7
Muelle Pescadores (Puerto Boyacá)_Red de enmalle de deriva continental;13,0085;13,16150007;2;3
Pesquera Friopez_Red de enmalle de deriva marina;27,29500065;112,1650011;13;18
Muelle Hong Kong_Recolección manual de mota;2,483500004;11,30849984;2;2
Muelle La Esmeralda_Red de enmalle fija continental;5;5;2;2
Vigía de Curvaradó_Red de enmalle fija continental;15,82999992;22;3;7
Chontal_Red de arrastre artesanal o changa;2,5;2,5;3;3
La Playa (El Banco)_Red de enmalle fija continental ciénaga;16,5;20,9665;2;4
La Tagua_Línea de mano fija continental;12,3139997;145,3555016;8;8
Plaza de mercado (Tumaco)_Red de enmalle de encierro continental;25,58400002;38,99399967;12;12
Puerto (Arauquita)_Línea de mano fija continental;3,4;16,85;2;8
Vigía_Red de enmalle de deriva marina;2,629500008;7,076500034;12;15
Lomita Arena_Buceo de peces;5,380000019;7,062999916;8;8
Laguna Colorada_Red de enmalle fija continental;3,975000143;13,59500027;1;8
La Sierpe - Bahía Málaga_Arpón;6,05;6,95;7;17
Curillo_Red de enmalle de deriva continental;8,9;16,1;3;3
Barrio Santa Lucía_Red de enmalle fija marina;13,67000008;17;10;27
Plaza de mercado (Tumaco)_Red de enmalle de deriva marina;14,51400003;42,1019989;10;17
La Casa del Pescador_Red de enmalle de deriva marina;11,17000008;17;10;20
La Grande_Línea de mano fija continental;16,03000069;16,03000069;4;4
Barrio Pambelé_Red de enmalle fija marina;2,5;16,5;3;30
La Coquerita_Atarraya;2,414999962;4,375;8;8
Playa Blanca (Ayapel)_Red de enmalle fija continental;14,67000008;18,42000008;1;3
Puerto Chaparro_Red de enmalle de encierro continental;12,75;12,75;2;2
Mercado (Lorica)_Arpón;2,211500037;5,923499966;2;2
Providencia o Caimancito_Red de enmalle fija continental;16,67150011;19,27000046;2;3
Domingodó_Flecha;5,806500053;28,65349989;6;6
Domingodó_Línea de mano fija continental;13,84699993;17,59800034;6;8
Domingodó_Red de enmalle fija continental;15,17000008;23,67000008;6;8
El Porvenir_Línea de mano fija marina;3;12;4;20
Chontal_Red de enmalle de deriva marina;1,423499954;4,920000076;5;40
Puerto Abajo (Dibulla)_Palangre o espinel de fondo;6,034000015;18,4;3;14
Puerto Chucha_Red de enmalle fija marina;10;24;3;7
Puerto de Gamarra_Nasas de Peces;16,06399994;40,8;3;4
Puerto Chucha_Red de enmalle de encierro marina;8;14,5;2;17
El Porvenir_Red de enmalle fija marina;11,67000008;15,85549994;3;8
La Plata - Bahía Málaga_Palangre o espinel de superficie;5,85;15,3;4;10
El Porvenir_Buceo marino mixto;3;7,991499996;3;8
Puerto Chucha_Red de enmalle fija continental;10,84500008;14,69400005;1;2
Puerto Chucha_Red de enmalle de deriva marina;12,25;16,5;13;20
Ica-Copipa_Red de enmalle fija marina;14,32999992;19,17000008;7;30
Barrio Arriba - Barbosa (Magangué)_Red de enmalle fija continental;16,5;20,17000008;2;6
El Porvenir_Palangre o espinel de fondo;11,72599993;18,05;5;15
Barrio Abajo - Barbosa (Magangué)_Red de enmalle fija continental;17,32999992;21,17000008;4;6
San José de la Calle_Red de enmalle fija continental;15,24399986;19,27000046;5;9
Barrio Santa Lucía_Línea de mano fija marina;5,818500042;17,33600025;48;48
Pomeño_Red de enmalle fija marina;13,56599998;23,81600037;5;8
San José de la Calle_Línea de mano fija continental;13,8599999;17,71499958;7;20
Cupica_Línea de mano fija marina;10,5;14,5;12;33
Puerto Barrio El Progreso_Chinchorro continental;13,55;14,9;4;6
Las Delicias_Buceo marino mixto;5,484000111;10,16799984;6;16
Pomeño_Red de enmalle de deriva marina;2,252499998;15,68100004;5;7
Tribugá_Arpón;3,7;10,16800003;1;4
Casino_Palangre o espinel de fondo;4,375;54,34000015;10;36
Pueblo Nuevo (Barrancominas)_Red de enmalle de deriva continental;2,5;13,22999954;4;12
Guataquí_Atarraya;3;14,3;2;6
Palenquito_Red de enmalle de deriva continental;14,96800003;18,07999992;4;5
La Chamba_Atarraya;1,683999956;4,980000019;3;3
Guataquí_Palangre calandrio;4,3375;96,78849945;4;8
La Chamba_Red de enmalle de deriva continental;1,823000014;5,690499854;3;3
Virudó_Red de enmalle fija marina;4,237000012;55,87400055;1;9
Casco urbano (Puerto Escondido)_Red de enmalle fija marina;6;40,30950165;2;16
Casco urbano (Puerto Escondido)_Línea de mano fija marina;10,42599993;12,154;26;39
Miel de Abeja_Línea de mano fija marina;6,5;29,33500004;12;58
Guataquí_Cóngolo;4;4;2;2
Puerto Arriba (Dibulla)_Línea de mano fija marina;13,83200006;15,41300001;12;14
Pesquera Luz Mar_Red de enmalle de deriva marina;17,96999931;17,96999931;14;14
Casco Urbano (San Juan de Urabá)_Palangre o espinel de fondo;15,2;18,5;10;18
Vida Tranquila_Flecha;14,32999992;17,20599995;4;5
El Pedral_Red de enmalle fija continental;3,1;15;2;3
Puerto Boca_Red de enmalle fija continental;4,181999969;13,92999992;2;2
Dotenedó_Red de enmalle camaronera;2,622499895;11,22849956;4;9
Belén (San Marcos)_Atarraya;6,757000065;9,906500053;1;3
Nueva Ola_Atarraya;2,420000076;5,5;1;2
Nueva Ola_Red de enmalle fija continental;15,25;19,66900005;1;3
Candelaria (Achí)_Atarraya;3;8;1;3
Nueva Ola_Red de enmalle de deriva continental;2,5;10,7;3;4
Virudó_Línea de mano fija marina;2,936000061;7,484000015;3;7
Virudó_Palangre o espinel de fondo;6,75;25,75;4;12
Nueva Ola_Palangre calandrio;15,4250001;18,71499958;2;3
Nueva Ola_Chinchorro continental;2,951000047;17,61500082;2;2
Puerto Los Córdobas_Palangre o espinel de fondo;9,839500284;13,51100006;6;25
Casco urbano (Puerto Escondido)_Palangre o espinel de fondo;13,43099995;17,17600002;9;19
Villa Fátima_Palangre o espinel de fondo;11;16;12;17
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya chile;12,80200005;16,25;2;3
Puerto Arriba (Dibulla)_Chinchorro marino;5,093499947;10,25;5;5
Nueva Colonia_Palangre o espinel de superficie;22,3585;70,67399826;6;8
Guacamayo_Atarraya;1,8875;3,725;1;2
Amarales_Red de enmalle de deriva marina;4,174000072;14,9915;5;16
Guataquí_Red de enmalle fija continental;3,125;80,5;3;6
La Chamba_Nasas de Peces;3,929999924;5,729999924;2;3
El Roto_Palangre o espinel de superficie;11,11899996;20,2260006;6;8
Muelle Las Flores_Red de enmalle camaronera;6,345500159;6,804499936;17;17
Sicará_Red de enmalle fija continental;15,07999992;19,25;2;3
Desembarcadero (Juradó)_Red de enmalle fija marina;12,05;54,01999817;19;40
La Ensenada_Red de enmalle camaronera;4,75;9,578999901;5;16
Desembarcadero (Juradó)_Línea de mano fija marina;4,246499991;32,40950165;15;45
Puerto Abajo (Dibulla)_Chinchorro marino;4,5;11,06900005;3;4
Ica-Copipa_Línea de mano fija marina;4,443999863;6,794000149;7;12
Ica-Copipa_Atarraya;19,0165;19,31349993;15;15
Soledad Pueblito_Red de enmalle camaronera;5,382999992;8,925;3;3
Soledad Pueblito_Red de enmalle de encierro marina;3,8125;6,672500014;3;3
Dotenedó_Línea de mano fija marina;3,056999969;9,486999989;4;15
Puerto Amor_Red de enmalle de deriva continental;2,638000011;11,05200005;10;14
Candelillas de Mar_Red de enmalle de deriva marina;8,532500124;13,5;2;3
Puerto del Cerrito_Nasas de Peces;16,825;18,70549994;3;4
La Ensenada_Red de enmalle de deriva marina;3,350999928;15,7665;5;16
Virudó_Red de enmalle de deriva marina;2,85;8,297999954;1;8
Virudó_Atarraya;3,45;7,846999931;2;6
La Chamba_Palangre calandrio;4,079999924;4,079999924;3;3
Puerto de Gamarra_Cóngolo;1,736499959;2,933499998;2;3
Cartagena del Chairá_Línea de mano fija continental;11,4;41,15;2;6
El Porvenir_Atarraya;2;5,027999973;2;8
Distribuidoras de Tumaco_Red de enmalle de deriva marina;13,6894999;34,71049881;9;15
El Puerto (Tumaco)_Red de enmalle de deriva marina;8,371999931;82,96149826;9;30
Laguna Colorada_Línea de mano fija continental;3,638500023;11,07999992;1;13
Belén (San Marcos)_Atarraya rastra;3,25;12,03199997;3;4
Muelle Las Flores_Red de enmalle de deriva marina;7,6;19,31700001;10;105
Dotenedó_Red de enmalle fija marina;2,5;10,82649984;4;11
El Pedral_Red de enmalle de encierro continental;2,440499973;5;2;2
Mercado (Lorica)_Flecha;1,896500021;5;2;2
Pomeño_Palangre o espinel de fondo;2,805999947;17,39799929;7;9
Aparca_Red de enmalle fija continental;8,483500004;14,33849993;3;6
Guataquí_Nasas de Peces;10,33199997;14,3;2;4
Las Delicias_Línea de mano fija marina;7,832499981;17,21999931;7;36
Puerto Chucha_Línea de mano fija marina;11,35;14,99500008;12;30
La Chamba_Línea de mano fija continental;1,610000002;4,437500072;3;3
Charambirá_Red de enmalle fija marina;1,5;6,775;5;25
Punta Ardita_Línea de mano fija marina;1,669999957;5,535999966;15;35
Chapinero_Línea de mano fija continental;5,15;16,8;2;4
Charambirá_Palangre o espinel de fondo;2;11;8;190
Charambirá_Red de enmalle de deriva marina;3,532999992;11;8;30
Charambirá_Línea de mano;1;4,1;6;10
Playa de Arusí_Línea de mano correteo curricán o trolling;2,032499969;7,012999916;16;35
Puerto Chucha_Palangre o espinel de fondo;10,73450003;15,61050005;6;7
Mercado (Lorica)_Recolección manual;1,269999981;1,269999981;2;2
Charambirá_Red de cerco;10,05;72,15;4;10
Pueblo Nuevo (Barrancominas)_Atarraya;4,370000076;11,07799969;1;12
Docordó_Red de enmalle camaronera;9,5;9,5;1;1
Mulatos_Palangre o espinel de superficie;2,793000031;4,5;7;8
Monserrate_Nasas de Peces;20,7;42,3;6;8
Camarones_Línea de mano fija marina;5,010500026;21,97499971;2;27
Muelles del Camarón_Red de arrastre artesanal o changa;6,897500038;10,44000006;12;32
Soledad Pueblito_Línea de mano fija marina;5,248999977;15,94899998;3;3
Providencia o Caimancito_Atarraya;4,07250011;7,815000176;2;4
Distribuidoras de Tumaco_Red de cerco artesanal o ruche;10,5;10,5;12;12
Miel de Abeja_Red de enmalle fija marina;17,1;18,9;4;10
Bazán_Red de enmalle de deriva marina;13,77399979;88,13999939;11;56
Bazán_Red de cerco artesanal o ruche;6,305999851;20,77200012;7;17
Bazán_Palangre o espinel de fondo;18,74999924;134,8550064;57;110
La Ensenada_Línea de mano fija marina;6,829999924;11,32999992;16;16
Camarones_Línea de mano correteo curricán o trolling;9,834000015;20,02999954;9;24
Las Balsas_Red de enmalle de deriva continental;57,18000031;57,18000031;2;2
Dotenedó_Palangre o espinel de fondo;2,007499963;10,22250009;5;15
Pueblo Nuevo (Barrancominas)_Flecha;5,354000187;10,42999992;1;10
Puerto Chucha_Línea de mano fija continental;9,05;14,44049997;2;4
Arroyito_Línea de mano correteo curricán o trolling;4,850500035;7,620000076;10;12
Paujil_Nasas de Peces;26;26;3;3
Puerto Los Córdobas_Línea de mano fija marina;8,974000168;26,86800003;25;90
Laguna Colorada_Flecha;4,052500081;9,011499929;1;13
Belén (San Marcos)_Palangre calandrio;12,83500004;17,28999996;2;2
Cabo de la Vela_Red de enmalle langostera;12;16,25;6;9
Pantuuchitu_Red de enmalle langostera;12,25;16,39700012;6;9
Puerto Real - Saloa_Red de enmalle fija continental;5,449999809;17,87000084;2;2
Jodedor_Red de enmalle langostera;14,80199995;18,32999992;8;50
Mayapo_Red de enmalle langostera;9,670000076;14,42000008;43;68
Distribuidoras de Tumaco_Chinchorro marino;10,63000011;10,63000011;18;18
La Boquilla_Palangre o espinel de superficie;10,775;15,5;2;13
Belén (El Banco)_Nasas de Peces;17,15;20;2;3
Barrio La Unión_Palangre o espinel de superficie;7;8,775500011;15;16
Puerto Arriba (Dibulla)_Red de enmalle langostera;15,17999973;20,15599995;7;24
Buenavista (La Dorada)_Red de enmalle fija continental;1,002000022;2,870000052;2;4
Limones_Red de arrastre artesanal o changa;9,372499943;11,33249998;1;2
Ica-Copipa_Línea de mano correteo curricán o trolling;4,670000076;4,670000076;12;12
Puerto de desembarco (Barrancominas)_Palangre calandrio;3,909999955;5,889999998;8;8
Puerto Boca_Red de enmalle fija continental río;3,575;18,33499937;2;8
Candelaria (Achí)_Red de enmalle de deriva continental;2;4,1625;5;5
Chamuscado - Naya_Red de enmalle fija marina;3,63399992;15,35149989;3;3
La Mata_Red de enmalle fija continental;16,62000084;19,07999992;2;2
Macurutú - Saloa_Red de enmalle fija continental;3,279999971;19,32999992;2;5
La Punta - Firme Cifuentes_Red de enmalle fija marina;2,395000076;6,925500011;5;14
Candelaria (Chimichagua)_Red de enmalle fija continental;14,18000031;16,93000031;2;6
Cartagena del Chairá_Red de enmalle fija continental;13,75;65;2;3
Barrio Arriba - Barbosa (Magangué)_Red de enmalle de deriva continental;4;10,475;3;5
Sempegua_Red de enmalle fija continental;5,829999924;19,32999992;2;4
Providencia o Caimancito_Palangre calandrio;16,66749945;18,97600002;1;1
Bocanegra_Palangre o espinel de fondo;4,328000069;24,1;3;7
Puerto Serviez_Cóngolo;6,475;24,025;5;6
Puerto del Cerrito_Red de enmalle fija continental río;2,463000011;19,275;7;12
Candelaria (Achí)_Palangre calandrio;12,975;15;1;3
San Nicolás (Nechí)_Chinchorro continental;6,85;17,57049961;3;4
Las Brisas_Línea de mano fija continental;17,17000008;17,17000008;2;2
Amarales_Red de enmalle camaronera;3,863999939;7,813999939;6;16
Candelaria (Achí)_Chinchorro continental;3,257999992;9;2;2
Paujil_Red de enmalle de deriva continental;22;22;4;4
Puerto de desembarco (Mitú)_No definido;10,94000006;11,23699999;12;12
Charambirá_Línea de mano fija marina;0,8875;3,225;5;10
Casco Urbano (Arauca)_Recolección manual de mota;10,875;115,4799995;4;8
Muelle La Samaritana_Palangre o espinel de fondo;4,75;19,66499996;10;105
Muelle Las Flores_Palangre o espinel de fondo;4,75;19,5;10;105
Juanchaco_Red de enmalle fija marina;9,197999954;14,50200005;11;17
Puerto Amor_Gaviota;3,869999886;3,869999886;2;2
Doña Ana_Red de enmalle de deriva continental;2,5;2,5;4;4
Buenavista (La Dorada)_Chinchorra nicurera;8,829999924;8,829999924;3;3
Puerto Boyacá_Atarraya;13,82999992;17,16550007;2;3
Puerto Boyacá_Chinchorra;14;23,61549997;2;3
Puerto Boyacá_Palangre calandrio;14;18,60699997;2;3
La Grande_Red de enmalle de deriva continental;8,130000114;16,42000008;6;6
Doña Ana_Atarraya;3,5;3,5;2;2
Vida Tranquila_Chinchorro continental;5;15,86850004;2;4
La Plata - Bahía Málaga_Arpón;3,3;6,35;6;10
Las Tenazas_Nasas de Peces;48,18900013;187,6604988;15;18
Miel de Abeja_Palangre o espinel de fondo;4,542500019;23,32999992;12;77
Cooperativas - Pueblo Nuevo_Red de enmalle de deriva marina;76,7019989;234,7019989;6;15
Loma - San Sebastián_Red de enmalle de encierro continental;8,346999931;31,32999992;1;2
Cooperativas - Pueblo Nuevo_Palangre o espinel de fondo;141,1069984;351,2575134;161;180
San Alejandro_Red de enmalle de deriva continental;1,798000026;13,36800003;9;12
Cooperativas - Pueblo Nuevo_Red de enmalle camaronera;72,25;120,5;12;21
San Nicolás (Santa Cruz De Mompox)_Red de enmalle de deriva continental;2,775500011;22,35000057;10;10
Juanchaco_Palangre o espinel de fondo;17,02999992;19,72999992;31;31
Pesqueras - Pueblo Nuevo_Palangre o espinel de fondo;131,0620003;245,600502;76;103
Río San Miguel_Atarraya;0,75;2,75;1;2
La Punta - Firme Cifuentes_Palangre o espinel de fondo;2,818500042;13,67000008;10;18
Costilla_Palangre calandrio;8,779999733;8,779999733;3;3
Montaño_Red de enmalle de deriva continental;9,020000458;9,020000458;3;3
Nueva Ola_Atarraya rastra;6;6;4;4
Purricha_Palangre o espinel de fondo;2,670000076;15,32999992;29;29
Palomar_Chinchorro continental;2;2;4;4
Campo alegre_Atarraya;6,534000015;7,696000195;1;1
Puerto principal (San Vicente del Caguán)_Atarraya;4;10,5;3;4
Purricha_Red de enmalle de deriva marina;5,125999928;5,953999996;4;5
Orejero_Atarraya;5,424499869;11,04049983;2;2
Mantequera_Chinchorro continental;12,70200005;16,06599998;1;2
Playa Nueva_Red de enmalle de deriva marina;5,269999981;11,77749991;4;44
Playa Nueva_Palangre o espinel de fondo;18,46200075;25,12099924;40;68
Puerto principal (San Vicente del Caguán)_Red de enmalle fija continental;4;8,75;3;4
El Muelle (Puerto López)_Atarraya;18,6;25,5;2;2
Camarones_Red de enmalle fija marina;12;12;7;7
Puerto Pozuelo - La Rinconada_Red de enmalle de encierro continental;14,91599998;20,07000008;2;2
Puerto Los Córdobas_Atarraya;1,062999979;3,633999979;1;9
Cispataca_Chinchorro continental;12,0165;14,28500018;2;2
Malecón (Puerto Gaitán)_Línea de mano fija continental;44,625;64,875;5;5
Cupica_Palangre o espinel de fondo;10;22,1;14;90
La Ensenada_Palangre o espinel de fondo;8,220000267;13,55000019;16;16
Villanueva_Chinchorro continental;6,539999962;10,375;2;2
Las Brisas_Palangre calandrio;17,75;17,75;2;2
Palomino_Red de enmalle de encierro continental;3,30199995;11,09500008;1;1
Puerto Barrio El Progreso_Atarraya rastra;7,575;14,1;4;7
Puerto de las Canoas (Puerto Berrío)_Red de enmalle fija continental;7,997000146;40,375;3;13
Jurubirá_Línea de mano correteo curricán o trolling;5,5;11,5;30;40
Policía fluvial (Quibdó)_Red de enmalle de deriva continental;1,826000041;5,525;9;10
Barrio Arriba - Barbosa (Magangué)_Chinchorro continental;11,10050001;12,925;2;3
Pesqueras - Pueblo Nuevo_Red de enmalle de deriva marina;62,83200073;242,2699982;40;94
Purricha_Red de enmalle fija marina;2,982999992;17;4;9
Puerto Serviez_Red de enmalle de encierro continental;7;7;4;4
El Porvenir_Línea de mano correteo curricán o trolling;3,875;8;5;8
Bazán_Red de enmalle camaronera;9,020000219;10,5335;7;19
Buenavista (La Dorada)_Palangre calandrio;12,83299999;22,92349997;1;1
Puerto Miraflores_Línea de mano correteo curricán o trolling;5,888500023;11,55300012;39;160
San Alejandro_Línea de mano fija continental;9,417000008;26,73149996;9;17
Betania - Naya_Red de enmalle camaronera;7,225499988;10,91000009;3;3
Isla Fuerte_Palangre o espinel de fondo;10,8625;12,8875;121;139
Sicará_Línea de mano fija continental;5,863499928;6,466499996;3;3
Aparca_Red de enmalle de deriva continental;8,913999939;15,36700001;3;5
Santa Cruz - Naya_Red de enmalle camaronera;7,570000172;9,032000351;3;3
Sicará_Atarraya;6,498999977;12;2;2
Laguna Colorada_Red de enmalle de deriva continental;6,246499944;12,99749999;2;4
Guataquí_Línea de mano fija continental;2,670000076;67,5;3;5
Puerto de desembarco (Mitú)_Nasas de Peces;10,67000008;10,67000008;12;12
San José de la Calle_Red de enmalle de deriva continental;1,563999987;4,055999851;15;19
Tagachí_Línea de mano fija continental;3,5;22,81200018;1;12
Mulatos_Red de enmalle camaronera;5,547999954;12,6;8;9
Docordó_Línea de mano fija marina;6,067000008;6,967000008;38;54
Vida Tranquila_Atarraya;3,532999992;21,98299999;3;4
Las Delicias_Nasas de Peces;6,275999928;201,5160004;16;22
Muelle La Samaritana_Red de enmalle de deriva marina;5,175;19,75;12;105
La Gloria_Atarraya puesteo;7,583500004;9,086500072;1;2
Miel de Abeja_Red de enmalle de deriva marina;7,05;7,95;10;12
Ica-Copipa_Buceo marino mixto;2,7;7,8;7;18
Nueva Ola_Línea de mano fija continental;15,97449999;19,12949934;2;2
Puerto principal (San Vicente del Caguán)_Línea de mano fija continental;4,034000015;13;3;4
Puerto (Arauquita)_Recolección manual de mota;6,05;7,175;3;4
Lomita Arena_Atarraya;3,63500011;3,941000032;3;3
El Muelle (Barrancabermeja)_Atarraya porro;49,33000183;49,33000183;4;4
Casco Urbano (San Juan de Urabá)_Arpón;5,769000053;8,85;14;18
Caño Grande_Línea de mano fija continental;2,652000046;3,5;2;3
Santa Cruz - Naya_Red de enmalle fija marina;3,972500026;24,95999956;3;3
Plaza de mercado (La Dorada)_Nasas de Peces;13,35;19,65;2;4
El Muelle (Barrancabermeja)_Red de enmalle de deriva continental mallona;17;17;5;5
La Rampa (Barrancabermeja)_Red de enmalle de deriva continental mallona;23,17000008;23,17000008;6;6
Pesqueras - Pueblo Nuevo_Red de enmalle camaronera;64,83000183;64,83000183;40;40
Betania - Naya_Palangre o espinel de fondo;6,427999878;11,81999989;3;4
Puerto Abajo (Dibulla)_Red de enmalle langostera;16,60050001;25,30050001;4;5
Puerto principal (San Vicente del Caguán)_Palangre calandrio;4,153000069;12,55;2;3
Milagros de la Mar_Red de enmalle camaronera;10,75;10,75;72;72
El Llanito_Nasas de Peces;4;4;2;2
Dotenedó_Recolección manual de piangua;2,849499977;7,892500401;4;5
Lomita Arena_Palangre o espinel de superficie;17,57399921;20,77000046;6;9
La Isla de los Palacios_Red de enmalle fija continental;12,89500017;27,18000069;2;9
Playa Necoclí_Línea de mano fija marina;3,55;42,625;4;195
El Muelle (Barrancabermeja)_Atarraya rastra;9,318000031;12,6;1;4
Puerto de desembarco (Barrancominas)_Línea de mano fija continental;5,6;16,9;7;11
Bazurto_Atarraya;13;15,825;10;16
Punta de blanco_Palangre calandrio;5,25;11,24749994;2;5
El Puerto (Tumaco)_Palangre o espinel de fondo;7,370000076;32,41700001;13;20
El Puerto (Tumaco)_Red de cerco artesanal o ruche;5,054999924;15,5;7;33
Las Flores_Palangre o espinel de superficie;8,059500027;11,21449995;30;77
El Muelle (Barrancabermeja)_Chinchorro continental;18,9430006;21,39099998;1;2
Poportín_Nasas de Peces;52,46600037;221,4;8;11
Puerto principal (San Vicente del Caguán)_Red de enmalle de deriva continental;3;6,225;2;3
Bocanegra_Red de enmalle de encierro continental;4,762499928;7,882500052;2;2
Puerto de las Canoas (Puerto Berrío)_Chinchorra mallona;10,2;46,65;3;8
Isla Fuerte_Nasa de langostas;38,12749863;286,1050034;22;35
El Puerto (Tumaco)_Chinchorro camaronero;12,32999992;13,38299999;20;20
Puerto Wilches_Chinchorro continental;20,60249996;22,14499998;4;4
Curillo_Atarraya;13,6;14;3;3
Puerto Principal (Leticia)_Red de enmalle de deriva continental;4,35;60,375;3;4
El Puerto (Tumaco)_Red de enmalle camaronera;8,7;12,3;10;19
Tagachí_Atarraya;4,391000175;26,15300002;3;3
Providencia o Caimancito_Línea de mano fija continental;16,56499939;18,43699932;1;1
Puerto Cabuyaro_Red de enmalle de deriva continental;8,25;46,33000183;5;8
Puerto de las Canoas (Puerto Berrío)_Chinchorra menuda;12,75;63,725;2;6
Casco Urbano (San Juan de Urabá)_Red de arrastre artesanal o changa;4,334000015;8,797999954;5;7
Puerto Bello_Red de enmalle de deriva continental;16,32999992;19,05100002;2;3
Orejero_Palangre calandrio;5,475999832;10,44399986;3;4
Puerto Principal (Leticia)_Palangre calandrio;6;32,95;2;4
Palomino_Palangre calandrio;16,279;16,80099993;4;5
Nueva Colonia_Red de enmalle fija continental;43,60250092;67,375;5;5
Villa Fátima_Línea de mano fija marina;10;11;12;12
La T_Línea de mano fija marina;13,67000008;16,5;12;12
El Roto_Red de enmalle fija continental;14,81600037;17,24799957;2;3
San Miguel (Puerto Gaitán)_Línea de mano fija continental;2,279999924;9,852000046;3;7
Punta de blanco_Línea de mano fija continental;6;6;4;4
El Pájaro_Línea de mano fija marina;9,521999931;13,5;9;14
