SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_horas_trab_hist;Cuartil_sup_horas_trab_hist;Cuartil_inf_profundidad_hist;Cuartil_sup_profundidad_hist
Berrugas_Red de enmalle de encierro marina;5;10,0920002;6;7
Berrugas_Chinchorro marino;3,722500026;9;4;6
El Puente_Red de encierro rastra;3,25;11,32999992;4;6
Puerto Cabuyaro_Chinchorro continental;8;95,25;3;6
El Muelle (Puerto López)_Chinchorro continental;9;72,5;2;2
Guineal_Red de enmalle de encierro marina;4;9,315000057;2;4
Las Balsas_Chinchorro continental;18,25;73,5;2;3
El Pájaro_Red de enmalle de deriva marina;8,920000076;11,25;5;9
Caño Mina_Red de enmalle de deriva continental;1,580000043;2,5;5;10
El Puente_Red de enmalle de deriva continental;3,170000076;11,25;4;6
Concepción - Tacamocho_Palangre calandrio;12;18;3;6
El Puente_Atarraya;3,670000076;7,920000076;2;5
Puerto Cabuyaro_Palangre calandrio;13,5;49,6;4;8
Marralú_Atarraya;3;7,5;2;6
Paujil_Línea de mano fija continental;4,7;46,8;2;20
La Playa (El Banco)_Chinchorro continental;12,32999992;25,63600006;2;4
Berlín_Atarraya;1,919999957;3,670000076;2;4
El Puente_Atarraya rastra;3,5;7,079999924;4;6
Puerto Arriba (Dibulla)_Chinchorro camaronero;4,527999973;11,67000008;3;3
Muelle Principal (Puerto Leguízamo)_Palangre calandrio;15,31749992;138,0334999;6;8
Puerto Arriba (Dibulla)_Nasas de Peces;75,31099854;308,1030121;22;30
Tasajera La Playa_Palangre o espinel de fondo;6,5;20,67000008;9;66
Rincón del Mar_Buceo marino mixto;4,650000095;8,167000008;3;13
La Gloria_Chinchorra;9,170000076;19,47999992;3;5
La Gloria_Palangre calandrio;9,5;21;3;4
Tapegua_Red de enmalle fija continental;14,67000008;18;2;3
Muelle Principal (Puerto Leguízamo)_Red de enmalle fija continental;4,329999924;93,18599854;4;8
San Nicolás (Santa Cruz De Mompox)_Red de enmalle fija continental;12,83600006;22,29999924;1;6
Las Delicias_Red de enmalle fija marina;6,827499986;18,53500032;3;16
La Peinada_Red de enmalle fija continental;17,57999992;21,17000008;2;4
Tapegua_Atarraya;3;6,170000076;2;3
La Tagua_Palangre calandrio;12,25;42,40600128;8;10
La Peinada_Atarraya;4,420000076;10,42000008;1;3
El Puente_Red de enmalle fija continental;14,5;18,82999992;2;2
La Tagua_Red de enmalle fija continental;11,84400024;17,4;7;10
Belén (San Marcos)_Red de enmalle fija continental;16;19,67000008;1;2
Belén (San Marcos)_Red de enmalle de deriva continental;4,5;13;3;4
Cangrejito_Red de enmalle fija marina;6,420000076;17,42050009;4;14
