SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,03;39,7
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;0,69;8
Puerto Caracolí_Trampas o Nasas - Nasas de Peces_Megaleporinus muyscorum;1;7,95
Puerto Caracolí_Trampas o Nasas - Nasas de Peces_Pimelodus yuma;1,5;6
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;2,08;87,85
Puerto Caracolí_Atarraya - Atarraya_Sorubim cuspicaudus;2;2
Puerto Caracolí_Atarraya - Atarraya_Pimelodus yuma;2,17;7,42
Puerto Caracolí_Cóngolo/Barredera - Cóngolo_Prochilodus magdalenae;0,76;13,9
Caño Grande_Red de enmalle - Red de enmalle fija continental_Eugerres plumieri;0,13;1,65
Santropel - San Sebastián_Atarraya - Atarraya_Mugil incilis;0,18;0,18
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;0,13;2,42
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,33;19,85
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,21;9,1
Loma - San Sebastián_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,9;22,1
Loma - San Sebastián_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,55;24,8
Loma - San Sebastián_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;0,81;23,33
Loma - San Sebastián_Red de enmalle - Red de enmalle fija continental_Centropomus undecimalis;0,38;1,59
Puerto Caracolí_Línea de mano - Línea de mano_Pimelodus grosskopfii;1,5;7,7
Puerto Caracolí_Línea de mano - Línea de mano_Pimelodus yuma;1,51;7,47
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;0,45;10
Puerto Caracolí_Trampas o Nasas - Nasas de Peces_Pimelodus grosskopfii;1,5;5
Puerto Chaparro_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;1,65;40,55
Puerto Chaparro_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;1;20
Puerto Chaparro_Palangre o Espinel - Palangre calandrio_Ageneiosus pardalis;0,73;11
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Ichthyoelephas longirostris;2;21
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Brycon moorei;1,26;16,5
Puerto Chaparro_Palangre o Espinel - Palangre calandrio_Sternopygus aequilabiatus;1,5;19,9
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;0,5;36,66
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Salminus affinis;0,4;8,57
Buenavista (La Dorada)_Atarraya - Atarraya_Prochilodus magdalenae;2,5;48
Buenavista (La Dorada)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1;30,6
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;2,5;26,88
Puerto Chaparro_Atarraya - Atarraya_Pimelodus grosskopfii;1,66;14,62
Puerto Chaparro_Atarraya - Atarraya_Megaleporinus muyscorum;1,06;50,92
Puerto Chaparro_Atarraya - Atarraya_Pimelodus yuma;1,62;64,3
Puerto Colorado_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;0,34;4,48
Puerto Colorado_Palangre o Espinel - Palangre calandrio_Ageneiosus pardalis;0,8;8,26
Buenavista (La Dorada)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,39;5,4
Buenavista (La Dorada)_Red de enmalle - Red de enmalle fija continental_Brycon moorei;0,91;6,38
Buenavista (La Dorada)_Atarraya - Atarraya_Megaleporinus muyscorum;8,25;91
Buenavista (La Dorada)_Red de enmalle - Red de enmalle fija continental_Salminus affinis;0,72;3,35
Buenavista (La Dorada)_Red de enmalle - Red de enmalle fija continental_Ichthyoelephas longirostris;1,77;9,45
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;0,19;3,01
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;1,58;37,1
Palenquito_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;6
Palenquito_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1;5
Palenquito_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1;12,5
Palenquito_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;1;30,5
Palenquito_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1;4,5
El Puente_Atarraya - Atarraya_Curimata mivartii;1;10
Puerto López_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,74;5,5
Puerto López_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;2,5;46,5
