SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Barrio La Unión_Línea de mano - Línea de mano fija marina_Hypanus spp.;34,3;34,3
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Centropomus pectinatus;1;7,55
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Lutjanus analis;2,5;2,5
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Epinephelus adscensionis;4,5;4,5
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Rhomboplites aurorubens;2,5;2,5
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Calamus penna;1,65;4,35
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Lutjanus synagris;0,5;9,95
Puerto Abajo (Dibulla)_Trampas o Nasas - Nasas de Peces_Haemulon aurolineatum;24,15;26,85
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Citharichthys spilopterus;33;33
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Rachycentron canadum;0,5;8,5
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Trachinotus carolinus;0,37;7,35
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Menticirrhus americanus;0,15;3,4
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Polydactylus virginicus;0,26;0,49
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Lagocephalus laevigatus;1;1
Chapundun_Línea de mano - Línea de mano fija continental_Salminus affinis;0,68;7,8
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Micropogonias furnieri;0,28;2,3
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Oligoplites saliens;0,25;0,25
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Lobotes surinamensis;1,5;4,1
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Lutjanus purpureus;0,34;1,91
Rincón del Mar_Línea de mano - Línea de mano fija marina_Ocyurus chrysurus;0,5;6,61
Locadía_Línea de mano - Línea de mano fija marina_Micropogonias furnieri;0,2;3
Locadía_Línea de mano - Línea de mano fija marina_Elops smithi;0,4;10,5
Berrugas_Buceo - Buceo de peces_Epinephelus itajara;1,88;36,7
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Aetobatus narinari;15,6;23,4
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Piaractus brachypomus;1,19;8,33
El Llanito_Red de enmalle - Red de enmalle de deriva continental_Spatuloricaria gymnogaster;0,31;0,31
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Seriola peruana;1;49,85
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Lutjanus colorado;2,75;39,07
Taganga_Buceo - Buceo de peces_Megalops atlanticus;11;97
La Gloria_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;2;3,35
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Lutjanus colorado;2,5;40
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Strongylura marina;1,5;5,1
Bocanegra_Chinchorro marino - Chinchorro marino_Epinephelus adscensionis;1;1
Jodedor_Red de enmalle - Red de enmalle de encierro marina_Haemulon plumieri;17,5;85
Jodedor_Red de enmalle - Red de enmalle de encierro marina_Upeneus parvus;20;20
Jodedor_Línea de mano - Línea de mano fija marina_Sphyraena barracuda;3,9;72,8
Jodedor_Línea de mano - Línea de mano fija marina_Alectis ciliaris;10,2;42,5
Jodedor_Línea de mano - Línea de mano fija marina_Selar crumenophthalmus;4,65;107
Jodedor_Línea de mano - Línea de mano fija marina_Caranx crysos;2;94
Jodedor_Línea de mano - Línea de mano fija marina_Lutjanus synagris;1;13,55
Jodedor_Línea de mano - Línea de mano fija marina_Hypanus guttatus;9,2;62,8
Jodedor_Línea de mano - Línea de mano fija marina_Lutjanus analis;1,9;61
Jodedor_Línea de mano - Línea de mano fija marina_Scomberomorus brasiliensis;1;6,05
Jodedor_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;1,5;31,62
Taganga_Línea de mano - Línea de mano fija marina_Alectis ciliaris;0,96;6,4
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Caranx ruber;10;190
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Lutjanus purpureus;2;8
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;8;8
Puerto ESSO_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;3,25;21,5
Puerto ESSO_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;17,82;86,55
Pesquera Aspabab_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;1,74;39,8
Pesquera Aspabab_Palangre o Espinel - Palangre o espinel de fondo_Caranx caninus;2;22,8
Pesquera Aspabab_Palangre o Espinel - Palangre o espinel de fondo_Cynoponticus coniceps;31,03;88,18
Puerto ESSO_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;2,74;16,1
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Diapterus auratus;4;15
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;2,55;11
Pizarro_Red de enmalle - Red de enmalle de deriva marina_Carcharhinus limbatus;6,22;10,28
Puerto ESSO_Red de enmalle - Red de enmalle de deriva continental_Pimelodus grosskopfii;56,6;134,8
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Chloroscombrus chrysurus;4,3;19,25
Taganga_Línea de mano - Línea de mano fija marina_Lutjanus vivanus;2;10,5
Honda_Chinchorro continental - Chinchorra_Prochilodus magdalenae;11,96;16,64
Honda_Chinchorro continental - Chinchorra_Sorubim cuspicaudus;4,51;5,32
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Centropomus ensiferus;0,25;4
Rincón del Mar_Línea de mano - Línea de mano fija marina_Caranx crysos;0,4;5,29
Santa Clara_Atarraya - Atarraya_Plagioscion magdalenae;0,58;3,43
Lamas_Red de enmalle - Red de enmalle de encierro continental_Mugil incilis;0,3;0,3
Las Delicias_Palangre o Espinel - Palangre o espinel de fondo_Seriola zonata;16;16
Palomar_Línea de mano - Línea de mano fija continental_Brycon moorei;1,03;2,5
Barrio La Unión_Línea de mano - Línea de mano fija marina_Hypanus guttatus;3,93;27,48
Las Delicias_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;1;6
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Auxis thazard;0,28;4,25
Puerto Wilches_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;15;48
Puerto Wilches_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;5,28;21,5
Puerto Wilches_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;9,15;32,85
Las Delicias_Red de enmalle - Red de enmalle fija marina_Rachycentron canadum;1;4
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Katsuwonus pelamis;2,42;7,58
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Ocyurus chrysurus;4;4
Las Delicias_Red de enmalle - Red de enmalle de encierro marina_Euthynnus alletteratus;8;224,6
Las Delicias_Red de enmalle - Red de enmalle de encierro marina_Thunnus alalunga;29;29
Las Flores_Línea de mano - Línea de mano fija marina_Caranx hippos;2;26,39
Bahía de Cispatá_Atarraya - Atarraya_Gerres cinereus;0,5;1
Morrosquillo_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;0,5;5,3
La Boquilla_Red de enmalle - Red de enmalle fija marina_Macrodon ancylodon;7,05;33,42
La Boquilla_Línea de mano - Línea de mano fija marina_Caranx crysos;1,25;29,48
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Mycteroperca bonaci;0,44;469,6
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Holocentrus adscensionis;0,72;2,38
Agropez_Línea de mano - Línea de mano fija marina_Caranx hippos;2;25,5
Agropez_Red de enmalle - Red de enmalle fija marina_Mulloidichthys martinicus;1,25;1,25
Agropez_Red de enmalle - Red de enmalle fija marina_Lutjanus analis;2;2
Champaché_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;1,09;7,13
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;2;13,2
Puerto Franco_Red de enmalle - Red de encierro rastra_Caquetaia kraussii;3,88;21,6
Champaché_Atarraya - Atarraya_Lobotes surinamensis;1,68;5,35
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Hypanus guttatus;3;11
Isla Fuerte_Línea de mano - Línea de mano fija marina_Sparisoma chrysopterum;1;5,5
Isla Fuerte_Línea de mano - Línea de mano fija marina_Balistes vetula;0,9;18,62
Isla Fuerte_Línea de mano - Línea de mano fija marina_Caranx crysos;1,2;11,45
Isla Fuerte_Línea de mano - Línea de mano fija marina_Haemulon plumieri;1;7
Isla Fuerte_Línea de mano - Línea de mano fija marina_Sphyraena barracuda;1,5;11,5
Las Flores_Palangre o Espinel - Palangre o espinel de fondo_Macrodon ancylodon;1,96;64,66
Isla Fuerte_Línea de mano - Línea de mano fija marina_Seriola dumerili;2;25
Isla Fuerte_Línea de mano - Línea de mano fija marina_Caranx latus;1,35;11,97
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Seriola dumerili;3,5;36,25
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Thunnus alalunga;3,5;75,6
Puerto La Candelaria_Red de enmalle - Red de enmalle de deriva continental_Caquetaia kraussii;0,72;2,05
Locadía_Línea de mano - Línea de mano fija marina_Caranx hippos;0,28;7,55
Rincón_Buceo - Buceo de peces_Oreochromis niloticus;7,11;12,2
Puerto Playa - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;1,98;10,05
Arroyito_Línea de mano - Línea de mano fija marina_Scomberomorus brasiliensis;2,72;20,8
Las Tenazas_Línea de mano - Línea de mano fija marina_Epinephelus adscensionis;0,1;0,72
Las Tenazas_Línea de mano - Línea de mano fija marina_Pseudoplatystoma magdaleniatum;1,05;1,95
Rincón_Buceo - Buceo de peces_Caquetaia kraussii;1,8;1,8
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Parexocoetus brachypterus;1,3;1,3
Puerto Amor_Chinchorro continental - Chinchorra_Megaleporinus muyscorum;0,58;4,2
Puerto Asure_Atarraya - Atarraya_Triportheus magdalenae;0,13;3
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;3,45;50
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus spp.;2;27,9
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Scomberomorus sierra;1;3,2
Jurubirá_Línea de mano - Línea de mano fija marina_Caranx sexfasciatus;0,75;14,62
Jurubirá_Línea de mano - Línea de mano fija marina_Caranx caninus;0,85;12,3
Jurubirá_Línea de mano - Línea de mano fija marina_Lutjanus argentiventris;0,5;13
Jurubirá_Línea de mano - Línea de mano fija marina_Thunnus albacares;3,5;138,1
Jurubirá_Línea de mano - Línea de mano fija marina_Lutjanus guttatus;0,5;12
Jurubirá_Línea de mano - Línea de mano fija marina_Sphyraena ensis;1;19
Champaché_Red de enmalle - Red de enmalle fija marina_Larimus breviceps;0,53;8,43
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus novemfasciatus;2,5;27
Rincón del Mar_Buceo - Buceo marino mixto_Conodon nobilis;0,2;1,91
Jurubirá_Línea de mano - Línea de mano fija marina_Scomberomorus sierra;0,75;13
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado;2;46,1
Jurubirá_Línea de mano - Línea de mano fija marina_Nematistius pectoralis;0,8;11,4
Jurubirá_Línea de mano - Línea de mano fija marina_Tylosurus fodiator;1;12,78
Barrio Chino_Red de enmalle - Red de enmalle fija continental_Geophagus steindachneri;1;1
Agropez_Línea de mano - Línea de mano fija marina_Caranx latus;1;7,66
Agropez_Línea de mano - Línea de mano fija marina_Chloroscombrus chrysurus;0,86;7
Jurubirá_Línea de mano - Línea de mano fija marina_Lutjanus colorado;1,18;10,32
Puerto Chaparro_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;1;14
Yaguará_Red de enmalle - Red de enmalle fija continental_Pterygoplichthys pardalis;0,3;0,3
Rincón_Atarraya - Atarraya_Mugil incilis;0,3;0,3
Puerto Chaparro_Palangre o Espinel - Palangre calandrio_Pseudopimelodus atricaudus;0,58;4,1
Arroyito_Palangre o Espinel - Palangre o espinel de fondo_Caranx crysos;2;2
Arroyito_Palangre o Espinel - Palangre o espinel de fondo_Sphyraena guachancho;0,5;0,5
Bocanegra_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;0,93;0,93
Champaché_Atarraya - Atarraya_Lutjanus synagris;1;4,32
Champaché_Atarraya - Atarraya_Larimus breviceps;2,01;2,92
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Coryphaena hippurus;0,92;12,07
Bazurto_Línea de mano - Línea de mano fija marina_Trichiurus lepturus;2,5;32,31
Chapundun_Línea de mano - Línea de mano fija continental_Megaleporinus muyscorum;0,73;11,76
Chapundun_Línea de mano - Línea de mano fija continental_Pimelodus yuma;0,11;2,07
Mayapo_Red de enmalle - Red de enmalle fija marina_Macrodon ancylodon;1,5;4
Taganga_Línea de mano - Línea de mano fija marina_Acanthocybium solandri;5,55;24,23
Codis_Línea de mano - Línea de mano fija marina_Larimus breviceps;0,5;2,67
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;7,05;30
Mamón_Red de enmalle - Red de enmalle de encierro continental_Prochilodus magdalenae;1,61;9,31
Puerto Abajo (Dibulla)_Línea de mano - Línea de mano fija marina_Lutjanus synagris;1;8
Puerto Abajo (Dibulla)_Línea de mano - Línea de mano fija marina_Balistes capriscus;4,1;23,9
Candelaria (Chimichagua)_Chinchorro continental - Chinchorra_Colossoma macropomum;1,15;3,85
Puerto Playa - Capurganá_Línea de mano - Línea de mano fija marina_Thunnus albacares;5;47,7
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Haemulon melanurum;10;10
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Epinephelus quinquefasciatus;11;91,88
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Kyphosus ocyurus;3,75;80,5
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Haemulon flaviguttatum;2;34,6
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;3;45,5
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Lutjanus aratus;1,55;27
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle fija marina_Penaeus schmitti;1,19;23,25
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Centropomus ensiferus;0,56;15,62
Taganga_Línea de mano - Línea de mano fija marina_Kyphosus vaigiens;1,1;1,1
Taganga_Línea de mano - Línea de mano fija marina_Priacanthus arenatus;0,8;15,2
Taganga_Línea de mano - Línea de mano fija marina_Rachycentron canadum;1,84;12,64
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Katsuwonus pelamis;8,9;25
Playa Necoclí_Red de enmalle - Red de enmalle fija marina campaña_Oligoplites saliens;15,75;33,75
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Sphyraena barracuda;0,66;5,05
La Punta_Línea de mano - Línea de mano fija marina_Trichiurus lepturus;2,31;11,99
Puerto Abajo (Dibulla)_Trampas o Nasas - Nasas de Peces_Holocentrus adscensionis;3,4;7,6
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Seriola dumerili;0,85;6,52
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Kyphosus vaigiens;27,2;27,2
Pesquera Aspabab_Red de enmalle - Red de enmalle fija marina_Lutjanus peru;2,6;5,8
Puerto Chaparro_Red de enmalle - Red de enmalle de encierro continental_Sorubim cuspicaudus;2,6;10,4
Agropez_Línea de mano - Línea de mano fija marina_Lutjanus synagris;1;8
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Sphyraena barracuda;1,78;14,5
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Scomberomorus cavalla;3,5;17,5
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Rhomboplites aurorubens;2,5;17,8
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Lutjanus purpureus;2;25
Isla Fuerte_Buceo - Buceo marino mixto_Sparisoma chrysopterum;1;6,14
Isla Fuerte_Buceo - Buceo marino mixto_Haemulon plumieri;1;8,5
Isla Fuerte_Buceo - Buceo marino mixto_Lutjanus synagris;1,1;4,5
Isla Fuerte_Buceo - Buceo marino mixto_Acanthurus spp.;0,82;1,45
Isla Fuerte_Buceo - Buceo marino mixto_Caranx crysos;1,5;6,9
Isla Fuerte_Buceo - Buceo marino mixto_Balistes vetula;0,85;3,5
Isla Fuerte_Línea de mano - Línea de mano fija marina_Rhomboplites aurorubens;2,35;20,3
Isla Fuerte_Línea de mano - Línea de mano fija marina_Katsuwonus pelamis;2,15;12
Isla Fuerte_Línea de mano - Línea de mano fija marina_Thunnus albacares;7,5;7,5
Isla Fuerte_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;3,5;38,19
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Euthynnus alletteratus;2,5;32
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Katsuwonus pelamis;2,5;19,12
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Elagatis bipinnulata;1,5;15
Jodedor_Red de enmalle - Red de enmalle fija marina_Carcharhinus falciformis;6,05;6,95
Cangrejito_Red de enmalle - Red de enmalle fija marina_Epinephelus adscensionis;0,73;1,9
Cangrejito_Red de enmalle - Red de enmalle fija marina_Seriola rivoliana;1;8,85
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Peprilus spp.;2,5;2,5
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Menticirrhus spp.;0,5;0,5
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Hypanus guttatus;3;10,8
Cangrejito_Red de enmalle - Red de enmalle fija marina_Calamus penna;1;4,5
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Tylosurus fodiator;0,57;25
Cangrejito_Red de enmalle - Red de enmalle fija marina_Trachinotus cayennensis;0,83;5,05
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Haemulon bonariense;0,13;2,38
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Cathorops mapale;0,22;5
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Lutjanus cyanopterus;0,25;2,92
Puerto Asure_Chinchorro continental - Chinchorra_Curimata mivartii;2,86;2,86
Puerto Asure_Chinchorro continental - Chinchorra_Panaque cochliodon;2,22;2,49
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle fija marina_Panulirus argus;0,5;9
Sempegua_Chinchorro continental - Chinchorro continental_Prochilodus magdalenae;5,2;91,1
Taganga_Línea de mano - Línea de mano fija marina_Elagatis bipinnulata;1,25;19,05
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Enchelycore nigricans;1;1
El Valle_Línea de mano - Línea de mano fija marina_Caranx sexfasciatus;8,55;61,45
Cangrejito_Red de enmalle - Red de enmalle fija marina_Calamus calamus;1;4,2
Cangrejito_Red de enmalle - Red de enmalle fija marina_Scarus coeruleus;1;9,1
Cangrejito_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;0,5;5
Casino_Línea de mano - Línea de mano fija marina_Coryphaena hippurus;0,7;5,8
Casino_Línea de mano - Línea de mano fija marina_Cynoscion virescens;1,65;180,3
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Triportheus magdalenae;0,49;3,42
Cangrejito_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus synagris;0,5;20
Cangrejito_Palangre o Espinel - Palangre o espinel de fondo_Rhomboplites aurorubens;1;13,9
Cangrejito_Palangre o Espinel - Palangre o espinel de fondo_Caranx latus;6,5;6,5
Cangrejito_Red de enmalle - Red de enmalle fija marina_Sphyraena barracuda;3;3
Cangrejito_Red de enmalle - Red de enmalle fija marina_Lutjanus cyanopterus;0,5;8,14
Cangrejito_Línea de mano - Línea de mano fija marina_Caranx crysos;1;5,94
Cangrejito_Red de enmalle - Red de enmalle fija marina_Mugil liza;0,86;5,2
Cangrejito_Red de enmalle - Red de enmalle fija marina_Elops smithi;0,5;3
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Caranx vinctus;0,46;66
Berlín_Chinchorro continental - Chinchorro continental_Cynopotamus magdalenae;0,33;6,66
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Hoplopagrus guentherii;2,45;24,3
Berlín_Atarraya - Atarraya_Pimelodus yuma;0,13;1,69
Berlín_Atarraya - Atarraya_Cyphocharax magdalenae;0,46;10,78
Berlín_Atarraya - Atarraya_Hoplias malabaricus;0,33;8,82
Puerto del Cerrito_Chinchorro continental - Chinchorro continental_Triportheus magdalenae;2,9;8,2
Puerto del Cerrito_Chinchorro continental - Chinchorro continental_Cyphocharax magdalenae;3;13,5
Berlín_Chinchorro continental - Chinchorro continental_Hoplias malabaricus;0,54;9,55
Berlín_Chinchorro continental - Chinchorro continental_Sternopygus aequilabiatus;0,59;11,3
Puerto del Cerrito_Chinchorro continental - Chinchorro continental_Caquetaia kraussii;1,5;8,01
Berlín_Atarraya - Atarraya_Triportheus magdalenae;0,52;7,63
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Trachinotus paitensis;0,7;10
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Carcharhinus spp.;3,8;31,3
Bazurto_Línea de mano - Línea de mano fija marina_Selar crumenophthalmus;1,91;50,44
Bazurto_Línea de mano - Línea de mano fija marina_Priacanthus arenatus;1,32;20
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Makaira nigricans;11,95;101
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Caranx crysos;1,99;27,72
Pizarro_Palangre o Espinel - Palangre o espinel de fondo_Lobotes pacifica;5,85;57,15
Berlín_Chinchorro continental - Chinchorro continental_Ichthyoelephas longirostris;0,56;0,74
La Boquilla_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;1,94;27,62
Santa Clara_Red de enmalle - Red de enmalle de deriva continental_Oreochromis niloticus;0,5;0,5
Isla Fuerte_Línea de mano - Línea de mano fija marina_Ocyurus chrysurus;1,5;9,85
Isla Fuerte_Línea de mano - Línea de mano fija marina_Tylosurus spp.;0,78;4,28
Rincón del Mar_Línea de mano - Línea de mano fija marina_Caranx ruber;0,22;11,7
Rincón del Mar_Línea de mano - Línea de mano fija marina_Balistes vetula;0,5;2,5
Locadía_Línea de mano - Línea de mano fija marina_Scomberomorus brasiliensis;0,5;6,25
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Balistes vetula;1,8;15,05
Isla Fuerte_Línea de mano - Línea de mano fija marina_Scomberomorus brasiliensis;2,5;17,9
Isla Fuerte_Línea de mano - Línea de mano fija marina_Mycteroperca bonaci;2,25;19,5
Isla Fuerte_Línea de mano - Línea de mano fija marina_Lutjanus synagris;1,25;6,5
Isla Fuerte_Buceo - Buceo marino mixto_Panulirus argus;1,5;8
Isla Fuerte_Línea de mano - Línea de mano fija marina_Carcharhinus spp.;6,12;12,5
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;1,25;39,7
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Mycteroperca xenarcha;1,26;11,71
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Seriola peruana;1,27;11,93
Playa de Arusí_Línea de mano - Línea de mano fija marina_Thunnus albacares;2,32;49,56
Playa de Arusí_Línea de mano - Línea de mano fija marina_Caranx caninus;1,25;12
Playa de Arusí_Línea de mano - Línea de mano fija marina_Euthynnus lineatus;1;12,65
Playa de Arusí_Línea de mano - Línea de mano fija marina_Lutjanus aratus;1,57;20,95
Playa de Arusí_Línea de mano - Línea de mano fija marina_Tylosurus fodiator;0,71;7,38
Playa de Arusí_Línea de mano - Línea de mano fija marina_Lutjanus guttatus;0,43;16,2
Playa de Arusí_Línea de mano - Línea de mano fija marina_Lutjanus colorado;1,5;16,85
Playa de Arusí_Línea de mano - Línea de mano fija marina_Caranx sexfasciatus;0,57;19
Playa de Arusí_Línea de mano - Línea de mano fija marina_Seriola peruana;1,01;25,8
Playa de Arusí_Línea de mano - Línea de mano fija marina_Trachinotus paitensis;0,45;5,1
Playa de Arusí_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;3,48;28,02
Isla Fuerte_Buceo - Buceo marino mixto_Aetobatus narinari;6;23,25
Isla Fuerte_Línea de mano - Línea de mano fija marina_Thunnus alalunga;3;30
Las Tenazas_Línea de mano - Línea de mano fija marina_Cathorops mapale;1;3
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;3,45;6
Morrosquillo_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;1;6,32
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Trachinocephalus myops;45;45
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Scarus coeruleus;0,3;0,58
Playa de Arusí_Línea de mano - Línea de mano fija marina_Mycteroperca xenarcha;0,43;3,5
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Lutjanus aratus;2,1;53,8
Playa de Arusí_Línea de mano - Línea de mano fija marina_Seriola rivoliana;4;34,81
Puerto del Cerrito_Chinchorro continental - Chinchorro continental_Pimelodus yuma;5,05;12,25
Mayapo_Red de enmalle - Red de enmalle de encierro marina_Scarus coeruleus;1,62;5,75
Manaure Abajo_Palangre o Espinel - Palangre o espinel de fondo_Sphyraena barracuda;13,41;23,1
Manaure Abajo_Palangre o Espinel - Palangre o espinel de fondo_Caranx hippos;4;4
Playa Totumo_Línea de mano - Línea de mano fija marina_Sphyraena guachancho;4,72;49,77
Playa Totumo_Línea de mano - Línea de mano fija marina_Caranx hippos;4,92;27,68
Playa Totumo_Línea de mano - Línea de mano fija marina_Caranx crysos;8,22;21,92
Playa Totumo_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;6,2;16,2
Playa Totumo_Línea de mano - Línea de mano fija marina_Lutjanus synagris;2,1;3
Playa Totumo_Línea de mano - Línea de mano fija marina_Conodon nobilis;3,8;20,1
Puerto Simití_Atarraya - Atarraya_Plagioscion magdalenae;0,57;6,55
Puerto Simití_Atarraya - Atarraya_Oreochromis niloticus;0,79;11
Puerto Simití_Atarraya - Atarraya_Prochilodus magdalenae;0,61;6,5
Puerto Simití_Atarraya - Atarraya_Sorubim cuspicaudus;0,57;7,77
Puerto Simití_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;0,57;5,96
Isla Fuerte_Buceo - Buceo marino mixto_Octopus vulgaris;1,5;8,5
Isla Fuerte_Línea de mano - Línea de mano fija marina_Lutjanus jocu;1,43;12,84
San José_Red de enmalle - Red de encierro rastra_Triportheus magdalenae;1,35;10,01
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;2;14,22
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Caranx latus;1,7;13,18
Las Delicias_Red de enmalle - Red de enmalle de encierro marina_Tylosurus acus;9,4;142,4
Mantequera_Chinchorro continental - Chinchorro continental_Salminus affinis;2;2
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Polydactylus opercularis;1,5;11,57
Bocanegra_Chinchorro marino - Chinchorro marino_Chaetodipterus faber;0,08;2,35
