SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Caranx hippos;1;40;0,18;6
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Caranx crysos;6;44;0,25;0,38
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Micropogonias furnieri;5;28;0,33;0,46
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Sciades herzbergii;5;49;0,27;0,45
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;15;96;0,1;0,22
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Panulirus argus;1;11;0,5;1
Caño Grande_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1;33;0,2;0,29
Caño Grande_Red de enmalle - Red de enmalle fija continental_Eugerres plumieri;1;10;0,1;0,25
Caño Grande_Red de enmalle - Red de enmalle fija continental_Ariopsis canteri;1;6;0,12;0,28
Santropel - San Sebastián_Atarraya - Atarraya_Cyphocharax magdalenae;24;600;0,04;0,06
Caño Grande_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;1;8;0,24;0,55
La Punta_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;1;3;0,55;2,7
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;3;25;0,27;1,8
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Euthynnus alletteratus;5;27;0,26;0,43
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Balistes capriscus;6;20;0,38;0,62
Santuario_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma punctifer;1;16;3,78;9,49
Santuario_Red de enmalle - Red de enmalle de deriva continental_Brycon hilarii;1;35;0,76;2,78
Santuario_Red de enmalle - Red de enmalle de deriva continental_Hydrolycus armatus;1;6;1,73;5,48
Santuario_Red de enmalle - Red de enmalle de deriva continental_Leporinus subniger;22;22;0,4;0,4
La Punta_Red de enmalle - Red de enmalle fija marina_Chaetodipterus faber;2;11;0,24;0,59
Carrizal_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;2;23;0,16;1,9
Carrizal_Red de enmalle - Red de enmalle fija marina_Calamus calamus;4;30;0,18;0,5
Carrizal_Red de enmalle - Red de enmalle fija marina_Caranx crysos;5;76;0,15;0,5
Caño Grande_Red de enmalle - Red de enmalle fija continental_Centropomus undecimalis;1;5;0,22;1,25
La Punta_Red de enmalle - Red de enmalle fija marina_Cynoscion jamaicensis;7;23;0,09;0,2
Carrizal_Red de enmalle - Red de enmalle fija marina_Sphyraena barracuda;1;12;0,49;3,72
Carrizal_Red de enmalle - Red de enmalle fija marina_Panulirus argus;2;27;0,26;0,5
El Malecón (Neiva)_Atarraya - Atarraya_Prochilodus magdalenae;2;49;0,21;0,39
El Malecón (Neiva)_Atarraya - Atarraya_Ichthyoelephas longirostris;1;11;0,4;1,56
El Malecón (Neiva)_Atarraya - Atarraya_Chaetostoma brevilabiatum;6;163;0,07;0,16
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Caranx crysos;1;56;0,16;0,45
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Seriola dumerili;1;4;1,17;1,39
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1;5;0,54;1,5
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;1;3;0,17;0,68
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Lutjanus mahogoni;1;6;0,22;0,85
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Anisotremus virginicus;1;1;0,11;0,11
Armenia_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;9;77;0,32;0,57
Caño Lobo_Atarraya - Atarraya_Mugil incilis;19;106;0,1;0,16
Caño Lobo_Atarraya - Atarraya_Eugerres plumieri;6;49;0,1;0,42
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;2;122;0,16;0,49
