SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Harengula humeralis;2;26;0,02;0,13
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Acanthurus chirurgus; ; ; ; 
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Haemulon flavolineatum;3;13;0,19;0,33
Villa Fátima_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus analis;2;3;5,17;11,01
Villa Fátima_Palangre o Espinel - Palangre o espinel de fondo_Seriola zonata;1;3;5,6;10
Puerto Principal (Puerto Lleras)_Atarraya - Atarraya_Pterodoras rivasi;1;1;2,7;2,7
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Alectis ciliaris;1;2;1,08;5,8
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus adscensionis;1;2;5,09;6,66
La Playa (El Banco)_Red de enmalle - Red de enmalle fija continental ciénaga_Plagioscion magdalenae;1;6;0,3;1,22
Villa Fátima_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus itajara;2;5;5,36;15,44
El Porvenir_Buceo - Buceo marino mixto_Scomberomorus brasiliensis;1;6;0,43;2
Sivirú_Red de enmalle - Red de enmalle camaronera_Polydactylus approximans;4;55;0,22;0,5
Sivirú_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;15;225;0,03;0,04
Sivirú_Red de enmalle - Red de enmalle camaronera_Cynoscion phoxocephalus;1;6;0,5;1
Sivirú_Red de enmalle - Red de enmalle fija marina_Macrodon mordax;1;1;0,5;0,5
Nueva Ola_Red de enmalle - Red de enmalle de deriva continental_Pimelodus yuma;4;4;0,09;0,09
Tribugá_Red de enmalle - Red de enmalle fija marina_Acanthocybium solandri;27;27;2;2
Río San Miguel_Red de enmalle - Red de enmalle de deriva continental_Hydrolycus armatus;1;1;0,82;1,56
Tribugá_Línea de mano - Línea de mano fija marina_Tylosurus fodiator;1;10;0,49;2,3
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Megalonema sp. 1;2;2;0,56;0,56
Puerto Barrio El Progreso_Atarraya - Atarraya_Oreochromis niloticus;6;19;0,35;0,5
Mercado (Lorica)_Arpón - Arpón_Oreochromis niloticus;1;2;0,1;0,37
La Chamba_Atarraya - Atarraya_Megaleporinus muyscorum;1;17;0,13;0,66
La Coquerita_Línea de mano - Línea de mano fija marina_Bagre filamentosus;3;32;0,08;0,42
Cartagena del Chairá_Atarraya - Atarraya_Sorubimichthys planiceps;2;2;2,9;2,9
Cartagena del Chairá_Atarraya - Atarraya_Calophysus macropterus;1;1;1;1
Cartagena del Chairá_Atarraya - Atarraya_Hemisorubim platyrhynchos;1;1;1;1
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro camaronero_Chaetodipterus faber;1;11;0,5;1,35
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro camaronero_Bagre filamentosus;1;1;1;1
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro camaronero_Selene brownii;21;285;0,07;0,95
Pueblo Nuevo (Barrancominas)_Red de enmalle - Red de enmalle fija continental_Aphanotorulus emarginatus;5;48;0,22;0,39
Las Delicias_Buceo - Buceo marino mixto_Epinephelus adscensionis;1;1;2,5;2,5
Las Delicias_Buceo - Buceo marino mixto_Epinephelus itajara;1;1;25;25
Virudó_Red de enmalle - Red de enmalle fija marina_Centropomus robalito;2;23;0,11;0,67
Virudó_Red de enmalle - Red de enmalle fija marina_Mugil curema;2;55;0,08;0,33
Virudó_Red de enmalle - Red de enmalle fija marina_Sciades dowii;1;13;0,98;7,27
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Diapterus rhombeus;62;164;0,03;0,06
Bahía de Cispatá_Atarraya - Atarraya_Diapterus rhombeus;26;207;0,04;0,06
Bellavista_Chinchorro marino - Chinchorro de jala playa_Lutjanus griseus;8;8;0,12;0,12
Bellavista_Chinchorro marino - Chinchorro de jala playa_Kyphosus sectatrix;5;5;1,2;1,2
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Lutjanus griseus;1;4;1,3;1,97
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya - Atarraya chile_Pimelodus yuma;396;2896;0,08;0,09
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya - Atarraya chile_Prochilodus magdalenae;35;35;0,11;0,11
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Brycon falcatus;1;1;0,23;0,23
La Punta_Palangre o Espinel - Palangre o espinel de fondo_Haemulon bonariense;3;3;0,4;0,4
La Punta_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;2;2;1,15;1,15
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;4;5,39;7,86
Mayapo_Red de enmalle - Red de enmalle fija marina_Haemulon parra; ; ; ; 
Curillo_Línea de mano - Línea de mano fija continental_Schizodon fasciatus;2;2;0,25;0,25
Curillo_Línea de mano - Línea de mano fija continental_Sorubim lima;1;8;0,44;1,04
Curillo_Línea de mano - Línea de mano fija continental_Megalonema sp. 1;1;6;0,34;0,74
Cartagena del Chairá_Atarraya - Atarraya_Zungaro zungaro;1;1;3,42;7,29
Curillo_Red de enmalle - Red de enmalle de deriva continental_Hemisorubim platyrhynchos; ; ; ; 
Las Delicias_Red de enmalle - Red de enmalle fija marina_Polydactylus virginicus;6;6;0,17;0,17
Jodedor_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis;1;9;0,69;5
Jodedor_Red de enmalle - Red de enmalle de encierro marina_Diapterus auratus;13;17;0,34;0,67
Jodedor_Red de enmalle - Red de enmalle de encierro marina_Anisotremus virginicus;9;9;0,44;0,44
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Macrodon ancylodon;3;5;0,41;0,5
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Mugil liza;1;5;0,86;1,95
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Centropomus undecimalis;1;4;0,27;7,05
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Centropomus pectinatus;1;3;0,89;1,72
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Elops smithi;2;6;0,33;0,7
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Lobotes surinamensis;1;2;0,71;8,25
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Macrodon ancylodon;2;6;0,33;0,5
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Trichiurus lepturus;2;2;0,5;0,5
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Selene brownii;6;11;0,17;0,18
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Haemulon flavolineatum;3;10;0,25;0,33
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Chaetodipterus faber;2;2;0,5;0,75
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Chere; ; ; ; 
Lomita Arena_Chinchorro marino - Chinchorro marino_Haemulopsis corvinaeformis;16;337;0,08;0,18
Palanca_Chinchorro continental - Chinchorro continental_Ichthyoelephas longirostris;1;1;0,73;0,81
Lomita Arena_Chinchorro marino - Chinchorro marino_Selene setapinnis;51;184;0,07;0,14
Caño Mina_Palangre o Espinel - Palangre calandrio_Sorubimichthys planiceps;1;1;10,6;10,6
Curillo_Red de enmalle - Red de enmalle de deriva continental_Sorubim lima;12;12;0,6;0,6
Curillo_Red de enmalle - Red de enmalle de deriva continental_Pimelodus blochii;3;3;0,23;0,23
El Muelle (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental_Plagioscion magdalenae;1;1;1,5;1,5
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Caranx melampygus;2;3;2,27;4
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Oligoplites altus;2;2;1;1
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle fija continental_Pimelodus blochii;15;18;0,16;0,24
Las Tenazas_Línea de mano - Línea de mano fija marina_Oligoplites saurus; ; ; ; 
Nueva Colonia_Palangre o Espinel - Palangre o espinel de superficie_Megalops atlanticus;1;1;9,1;35
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;1;181;0,05;0,1
Paujil_Red de enmalle - Red de enmalle fija continental_Leporinus friderici;40;40;0,32;0,32
Arroyito_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;1;11;0,48;9,14
Tribugá_Línea de mano - Línea de mano fija marina_Epinephelus labriformis;1;1;2,5;2,5
Playa de Arusí_Línea de mano - Línea de mano fija marina_Paralabrax loro;2;2;0,88;0,88
Isla Fuerte_Trampas o Nasas - Nasas de Peces_Ocyurus chrysurus;8;28;0,29;0,71
Isla Fuerte_Trampas o Nasas - Nasas de Peces_Holocentrus adscensionis;3;3;0,25;0,25
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Lutjanus synagris;1;3;0,41;1,92
Guacamayo_Atarraya - Atarraya_Prochilodus magdalenae;11;20;0,2;0,21
Guacamayo_Atarraya - Atarraya_Colossoma macropomum;2;2;0,75;0,75
Guacamayo_Atarraya - Atarraya_Cyphocharax magdalenae;12;118;0,06;0,08
Curillo_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma punctifer;1;1;4,26;5,43
Taganga_Línea de mano - Línea de mano - Ballestilla_Lutjanus griseus; ; ; ; 
Puerto de Gamarra_Trampas o Nasas - Nasas de Peces_Pimelodus yuma;520;1216;0,08;0,08
Puerto (Arauquita)_Atarraya - Atarraya_Leiarius marmoratus;1;8;0,67;2,35
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Lutjanus jordani;3;3;2;2
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro camaronero_Mugil incilis; ; ; ; 
San Nicolás (Santa Cruz De Mompox)_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1;4;0,2;0,88
Amarales_Red de enmalle - Red de enmalle de deriva marina_Penaeus occidentalis;60;194;0,03;0,03
Amarales_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus sierra;1;9;0,25;4,18
Amarales_Red de enmalle - Red de enmalle de deriva marina_Peprilus spp.;7;21;0,14;0,19
Amarales_Red de enmalle - Red de enmalle de deriva marina_Macrodon mordax;3;43;0,3;0,49
Amarales_Red de enmalle - Red de enmalle de deriva marina_Lutjanus guttatus;1;3;0,14;0,29
Puerto (Arauquita)_Atarraya - Atarraya_Caquetaia kraussii;5;21;0,15;0,2
Amarales_Red de enmalle - Red de enmalle de deriva marina_Caranx caninus;4;5;0,14;0,17
Guineal_Red de enmalle - Red de enmalle de encierro marina_Polydactylus approximans;8;40;0,09;0,21
El Porvenir_Línea de mano - Línea de mano fija marina_Trachinotus carolinus;1;2;0,19;0,5
Bocanegra_Chinchorro marino - Chinchorro marino_Ariopsis canteri;1;43;0,21;0,88
Miel de Abeja_Línea de mano - Línea de mano fija marina_Cynoponticus coniceps; ; ; ; 
Casco urbano (Puerto Escondido)_Palangre o Espinel - Palangre o espinel de fondo_Bairdiella ronchus;1;7;0,17;1,39
Casco urbano (Puerto Escondido)_Palangre o Espinel - Palangre o espinel de fondo_Nebris microps;8;10;0,15;0,19
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Selene setapinnis;1;8;0,08;0,4
Casco urbano (Puerto Escondido)_Palangre o Espinel - Palangre o espinel de fondo_Scomberomorus brasiliensis;3;3;0,67;0,67
Casco urbano (Puerto Escondido)_Palangre o Espinel - Palangre o espinel de fondo_Polydactylus virginicus;4;4;1,75;1,75
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Sphyraena barracuda;1;1;1,8;2,94
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Seriola dumerili;9;84;0,15;0,36
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Lutjanus mahogoni;3;22;0,14;0,23
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Lutjanus purpureus;2;24;0,14;2,82
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1;15;0,54;2
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Haemulon bonariense;3;44;0,15;0,22
Plaza de mercado (La Dorada)_Chinchorro continental - Chinchorra_Prochilodus magdalenae;5;136;0,12;0,35
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma platynemum;4;4;3,25;3,25
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorro continental_Pimelodus yuma;16;16;0,09;0,09
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Duopalatinus peruanus;1;5;0,15;0,54
Puerto Cabuyaro_Línea de mano - Línea de mano fija continental_Pinirampus pirinampu;1;1;2,53;2,97
Maracayo_Red de enmalle - Red de enmalle fija continental_Centropomus undecimalis;1;1;0,72;0,77
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Oligoplites altus;1;10;0,15;1,5
Puerto Wilches_Chinchorro continental - Chinchorra_Piaractus brachypomus;1;1;7,5;7,5
La T_Red de enmalle - Red de enmalle de encierro marina_Macrodon ancylodon; ; ; ; 
La T_Red de enmalle - Red de enmalle de encierro marina_Rachycentron canadum;1;1;13,5;13,5
Guataquí_Red de enmalle - Red de enmalle fija continental_Ichthyoelephas longirostris;1;6;0,49;1,5
Guataquí_Red de enmalle - Red de enmalle fija continental_Pimelodus grosskopfii;1;18;0,14;0,49
Guataquí_Red de enmalle - Red de enmalle fija continental_Potamotrygon magdalenae;1;4;0,53;0,99
Guataquí_Red de enmalle - Red de enmalle fija continental_Chaetostoma brevilabiatum;2;106;0,12;0,45
La Boquilla_Chinchorro marino - Chinchorro marino_Sphyraena barracuda;1;1;7;7
Maracayo_Red de enmalle - Red de enmalle fija continental_Cynopotamus atratoensis;1;1;0,22;0,29
Taganga_Buceo - Buceo de peces_Kyphosus vaigiens; ; ; ; 
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Hemiramphus saltator;1;1;1,5;1,5
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Cathorops wayuu;9;27;0,18;0,23
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Seriola rivoliana;2;7;0,29;1,7
Puerto Chucha_Red de enmalle - Red de enmalle fija continental_Eugerres plumieri;6;6;0,17;0,17
Las Delicias_Red de enmalle - Red de enmalle fija marina_Opisthonema oglinum; ; ; ; 
Quiroga_Red de enmalle - Red de enmalle camaronera_Caranx caballus; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Penaeus occidentalis; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Scomberomorus sierra; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Polydactylus approximans; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Cynoscion albus; ; ; ; 
Plaza de mercado (Tumaco)_Red de enmalle - Red de enmalle de deriva marina_Mugil cephalus; ; ; ; 
Mayapo_Red de enmalle - Red de enmalle fija marina_Mulloidichthys martinicus; ; ; ; 
Vigía de Curvaradó_Red de enmalle - Red de enmalle fija continental_Brycon moorei;1;2;1,61;10,65
Camarones_Red de enmalle - Red de enmalle de deriva marina_Caranx latus; ; ; ; 
Sempegua_Red de enmalle - Red de enmalle fija continental ciénaga_Hoplias malabaricus;2;8;0,17;0,25
Punta de blanco_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;2;0,77;2,85
Chontal_Red de enmalle - Red de enmalle de deriva marina_Centropomus viridis; ; ; ; 
Lomita Arena_Red de enmalle - Red de enmalle de encierro marina_Centropomus undecimalis;1;14;3,58;6,98
Puerto Principal (Leticia)_Línea de mano - Línea de mano fija continental_Zungaro zungaro;1;2;4,31;4,49
Dotenedó_Red de enmalle - Red de enmalle camaronera_Oligoplites altus;1;1;0,65;2
Codis_Línea de mano - Línea de mano fija marina_Megalops atlanticus;1;3;1,75;4,81
Chapundun_Atarraya - Atarraya_Lasiancistrus caucanus;3;3;0,1;0,1
Casco urbano Roma_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;3;102;0,07;0,11
La Gloria_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;12;12;0,17;0,17
Montaño_Red de enmalle - Red de enmalle fija continental_Dasyloricaria latuira;1;3;0,11;0,57
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Pagrus pagrus;1;13;0,12;0,41
El Porvenir_Línea de mano - Línea de mano fija marina_Diapterus rhombeus;2;12;0,02;0,16
Isla Fuerte_Línea de mano - Línea de mano fija marina_Canthidermis maculata;4;16;0,5;0,69
Puerto Principal (Puerto Lleras)_Atarraya - Atarraya_Brachyplatystoma platynemum;1;1;4,1;4,1
El Porvenir_Línea de mano - Línea de mano fija marina_Chloroscombrus chrysurus;1;9;0,08;0,22
El Porvenir_Buceo - Buceo marino mixto_Scomberomorus cavalla;1;1;0,92;1,5
Candelaria (Achí)_Atarraya - Atarraya_Caquetaia kraussii;4;20;0,09;0,11
Pizarro_Red de enmalle - Red de enmalle camaronera_Nematistius pectoralis;4;4;0,75;0,75
El Porvenir_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;1;3;0,39;3,8
La Chamba_Trampas o Nasas - Nasas de Peces_Pimelodus yuma;8;8;0,2;0,2
La Chamba_Trampas o Nasas - Nasas de Peces_Pimelodus grosskopfii;3;3;0,43;0,43
Casco Urbano (Arauca)_Red de enmalle - Red de enmalle fija continental_Calophysus macropterus;3;3;0,8;0,8
Casco Urbano (Arauca)_Red de enmalle - Red de enmalle fija continental_Hemisorubim platyrhynchos;5;5;0,54;0,54
Monserrate_Atarraya - Atarraya_Pseudoplatystoma metaense;1;1;5,5;5,5
El Roto_Palangre o Espinel - Palangre o espinel de superficie_Mycteroperca bonaci;1;2;6,93;108,42
El Roto_Palangre o Espinel - Palangre o espinel de superficie_Sciades proops;1;3;1,55;3,21
Miel de Abeja_Línea de mano - Línea de mano fija marina_Otros pescadilla; ; ; ; 
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Mugil curema;2;5;0,34;0,62
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Chloroscombrus chrysurus; ; ; ; 
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Caranx hippos;2;5;0,23;0,5
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro marino_Sciades proops;1;4;1,29;3,25
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis; ; ; ; 
Guataquí_Atarraya - Atarraya_Ichthyoelephas longirostris;4;8;0,4;0,79
Guataquí_Atarraya - Atarraya_Pimelodus grosskopfii;1;16;0,31;0,5
Guataquí_Atarraya - Atarraya_Salminus affinis;1;1;2;2
Guataquí_Atarraya - Atarraya_Brycon moorei;2;10;0,29;0,48
Chamón_Red de enmalle - Red de enmalle fija marina_Lobotes pacifica; ; ; ; 
Pueblo Nuevo (Barrancominas)_Palangre o Espinel - Palangre calandrio_Trachelyopterus galeatus;4;16;0,13;0,27
Cupica_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;1;4;1,02;7,9
Cupica_Línea de mano - Línea de mano fija marina_Elagatis bipinnulata;1;17;0,49;2,1
Cupica_Línea de mano - Línea de mano fija marina_Epinephelus sp1.;1;5;2,4;6,9
Cupica_Línea de mano - Línea de mano fija marina_Euthynnus lineatus;1;5;1;3,72
Tagachí_Línea de mano - Línea de mano fija continental_Notarius bonillai;1;1;1,37;1,37
San José de la Calle_Red de enmalle - Red de enmalle fija continental_Brycon sp.;1;1;0,49;0,49
San José de la Calle_Línea de mano - Línea de mano fija continental_Sternopygus aequilabiatus;1;14;0,25;0,87
Muelle Las Flores_Red de enmalle - Red de enmalle camaronera_Caranx caballus; ; ; ; 
Muelle Las Flores_Red de enmalle - Red de enmalle camaronera_Scomberomorus sierra; ; ; ; 
Puerto Los Córdobas_Red de enmalle - Red de enmalle fija marina_Archosargus probatocephalus;13;40;0,03;0,09
La Chamba_Atarraya - Atarraya_Pimelodus grosskopfii;1;33;0,08;0,67
Milagros de la Mar_Red de enmalle - Red de enmalle fija marina_Trachinotus kennedyi;3;3;0,33;0,33
Docordó_Red de enmalle - Red de enmalle fija marina_Lobotes pacifica;2;8;0,5;1,8
Las Balsas_Red de enmalle - Red de enmalle fija continental_Piaractus orinoquensis;1;5;1,75;10,29
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma juruense;1;2;2,43;4
Playa Necoclí_Red de enmalle - Red de enmalle de encierro marina_Lutjanus purpureus;31;31;0,32;0,32
Playa Necoclí_Red de enmalle - Red de enmalle fija marina campaña_Lobotes surinamensis;1;3;3,83;3,98
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Plagioscion squamosissimus;4;69;0,4;1,63
Docordó_Red de enmalle - Red de enmalle fija marina_Centropomus viridis;1;1;1;1
Docordó_Red de enmalle - Red de enmalle fija marina_Sphyraena spp.;2;2;0,5;0,5
Docordó_Red de enmalle - Red de enmalle de deriva marina_Larimus spp.;5;18;0,31;0,48
Bellavista_Chinchorro marino - Chinchorro de jala playa_Mugil curema;6;10;0,16;0,38
Carrizal_Red de enmalle - Red de enmalle fija marina_Lutjanus purpureus;6;30;0,23;0,89
Pueblo Lindo o Caimanera_Red de enmalle - Red de enmalle fija continental_Brycon moorei;1;1;0,37;0,49
Barrio Chino_Atarraya - Atarraya_Sorubim cuspicaudus;1;7;0,3;1,36
Las Tenazas_Línea de mano - Línea de mano fija marina_Seriola fasciata;1;1;0,3;0,3
Berrugas_Chinchorro marino - Chinchorro marino_Trachinotus carolinus;3;13;0,26;0,33
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Occidentarius platypogon;26;44;1,35;3,27
Puerto de desembarco (Mitú)_Línea de mano - Línea de mano fija continental_Chalceus erythrurus;5;15;0,21;0,45
Las Delicias_Buceo - Buceo marino mixto_Panulirus argus;3;5;0,21;0,48
Las Delicias_Buceo - Buceo marino mixto_Octopus vulgaris;3;3;1;1
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Selene vomer; ; ; ; 
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Lutjanus purpureus;1;1;2,5;6
Docordó_Red de enmalle - Red de enmalle de deriva marina_Cynoscion squamipinnis;6;14;0,46;0,88
El Pájaro_Red de enmalle - Red de enmalle de deriva marina_Centropomus undecimalis;1;4;0,95;3,17
Sicará_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;2;48;0,18;0,5
Sicará_Red de enmalle - Red de enmalle fija continental_Megalops atlanticus;1;7;0,23;0,91
Bazurto_Línea de mano - Línea de mano fija marina_Sciades proops;2;9;0,55;2,34
Sicará_Red de enmalle - Red de enmalle fija continental_Mugil incilis;1;19;0,14;0,37
Sicará_Red de enmalle - Red de enmalle fija continental_Centropomus undecimalis;1;12;0,22;0,69
Locadía_Línea de mano - Línea de mano fija marina_Cynoscion acoupa;3;25;0,08;0,18
Mercado (Lorica)_Línea de mano - Línea de mano fija continental_Salminus affinis;1;2;0,93;3,93
Pueblo Nuevo (Barrancominas)_Palangre o Espinel - Palangre calandrio_Aphanotorulus emarginatus;1;2;0,16;0,25
Mercado (Lorica)_Buceo - Buceo de peces_Caquetaia kraussii;2;2;0,1;0,1
Jodedor_Línea de mano - Línea de mano fija marina_Coryphaena hippurus;1;5;1,59;5,96
Docordó_Red de enmalle - Red de enmalle de deriva marina_Sphyraena ensis;1;4;0,62;1,5
Docordó_Red de enmalle - Red de enmalle de deriva marina_Cynoscion phoxocephalus;1;4;0,43;3,14
Docordó_Red de enmalle - Red de enmalle de deriva marina_Oligoplites spp.;1;1;0,52;0,98
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Leiarius marmoratus;1;3;1,15;2
Docordó_Red de enmalle - Red de enmalle de deriva marina_Polydactylus approximans;3;4;0,21;0,59
Nueva Colonia_Palangre o Espinel - Palangre o espinel de superficie_Bagre filamentosus;29;150;0,5;1,07
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;1;6;0,17;0,67
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;1;10;0,04;0,08
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Otros pescadilla; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Tylosurus fodiator; ; ; ; 
Nueva Ola_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;1;3;0,13;0,33
Caño Grande_Atarraya - Atarraya_Sorubim cuspicaudus;1;1;0,66;0,66
Isla Fuerte_Trampas o Nasas - Nasas de Peces_Elagatis bipinnulata;7;7;0,71;0,71
Las Delicias_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;1;1;1,68;4,82
Puerto (Arauquita)_Atarraya - Atarraya_Sorubimichthys planiceps;1;2;1,6;1,65
Puerto (Arauquita)_Atarraya - Atarraya_Potamorhina altamazonica;11;70;0,2;0,3
Docordó_Red de enmalle - Red de enmalle fija marina_Lutjanus argentiventris;1;3;1;1
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Kyphosus ocyurus;19;329;0,36;0,77
Lomita Arena_Red de enmalle - Red de enmalle de encierro marina_Lutjanus analis;6;6;0,43;0,43
Puerto Barrio El Progreso_Chinchorro continental - Chinchorra_Brycon moorei;1;9;0,86;1,49
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Lutjanus peru;13;92;0,43;1,91
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Seriola peruana;6;6;9,17;9,17
Tagachí_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;1;5,52;9,96
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Lutjanus guttatus;11;68;0,39;1,67
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Thunnus albacares;9;30;1,45;1,81
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Euthynnus lineatus;14;14;2,57;2,57
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Scomberomorus sierra;10;41;0,4;2,37
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Umbrina xanti;22;185;0,35;0,86
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Sphyraena guachancho;1;31;0,25;0,72
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Lutjanus apodus;1;4;0,25;5,05
Miel de Abeja_Línea de mano - Línea de mano fija marina_Caulolatilus affinis; ; ; ; 
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;1;18;0,13;1,6
Bahía de Santa Marta_Buceo - Buceo de peces_Panulirus argus;1;6;0,48;1,94
Puerto de Gamarra_Trampas o Nasas - Nasas de Peces_Hypostomus hondae;9;9;0,17;0,17
El Pedral_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;1;3;0,68;0,75
Pesquera Aspabab_Red de enmalle - Red de enmalle camaronera_Cynoscion albus;1;1;0,8;0,8
Camarones_Trampas o Nasas - Nasas de Peces_Lutjanus purpureus;5;9;0,21;0,33
