SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Carrizal_ Red de enmalle fija marina_Lachnolaimus maximus;0,158285716;1,899999976
Carrizal_ Red de enmalle fija marina_Calamus calamus;0,176923073;0,5
Carrizal_ Red de enmalle fija marina_Caranx crysos;0,14666667;0,5
Caño Grande_ Red de enmalle fija continental_Centropomus undecimalis;0,22446429;1,25
La Punta_ Red de enmalle fija marina_Cynoscion jamaicensis;0,093599996;0,204000001
Carrizal_ Red de enmalle fija marina_Sphyraena barracuda;0,490697674;3,720000029
Carrizal_ Red de enmalle fija marina_Panulirus argus;0,25999999;0,5
El Malecón (Neiva)_ Atarraya_Prochilodus magdalenae;0,206560601;0,391047442
El Malecón (Neiva)_ Atarraya_Ichthyoelephas longirostris;0,4;1,562999958
El Malecón (Neiva)_ Atarraya_Chaetostoma brevilabiatum;0,073869233;0,155548786
Bahía de Santa Marta_ Red de enmalle fija marina_Caranx crysos;0,16267045;0,450000002
Bahía de Santa Marta_ Red de enmalle fija marina_Seriola dumerili;1,167249972;1,387749976
Bahía de Santa Marta_ Red de enmalle fija marina_Scomberomorus brasiliensis;0,535000008;1,495000015
Bahía de Santa Marta_ Red de enmalle fija marina_Lutjanus synagris;0,174500004;0,682000005
Bahía de Santa Marta_ Red de enmalle fija marina_Lutjanus mahogoni;0,217499994;0,849999994
Bahía de Santa Marta_ Red de enmalle fija marina_Anisotremus virginicus;0,109999999;0,109999999
Armenia_ Red de enmalle fija continental_Oreochromis niloticus;0,32;0,569230777
Caño Lobo_ Atarraya_Mugil incilis;0,102040816;0,164661206
Caño Lobo_ Atarraya_Eugerres plumieri;0,1;0,416666667
Santropel - San Sebastián_ Red de enmalle fija continental_Prochilodus magdalenae;0,155000001;0,48549999
Armenia_ Red de enmalle fija continental_Plagioscion magdalenae;0,241176465;1,080000019
Clarinetero_ Atarraya_Prochilodus mariae;0,300999144;0,652356979
Clarinetero_ Atarraya_Mylossoma albiscopum;0,23090598;0,355555556
Clarinetero_ Atarraya_Sorubim lima;0,244831736;0,5
Clarinetero_ Atarraya_Megaleporinus sp. 1;0,525454554;0,969247299
Clarinetero_ Atarraya_Piaractus orinoquensis;0,7675;3,788333325
Bahía de Santa Marta_ Línea de mano correteo curricán o trolling_Caranx crysos;0,146043753;0,339365398
Bahía de Santa Marta_ Línea de mano correteo curricán o trolling_Euthynnus alletteratus;0,181666668;0,860599995
El Ferry_ Red de enmalle de deriva continental_Prochilodus magdalenae;0,122702022;0,524999978
El Ferry_ Red de enmalle de deriva continental_Curimata mivartii;0,070021401;0,131818182
El Ferry_ Red de enmalle de deriva continental_Megaleporinus muyscorum;0,125;0,176470588
Caño Lobo_ Atarraya_Centropomus undecimalis;0,153653846;1,75
El Ferry_ Red de enmalle de deriva continental_Cynopotamus magdalenae;0,113182798;0,162219821
El Ferry_ Red de enmalle de deriva continental_Triportheus magdalenae;0,053475936;0,072250154
Montaño_ Red de enmalle fija continental_Prochilodus magdalenae;0,212121212;0,432666667
Caño Lobo_ Red de enmalle de encierro marina_Mugil incilis;0,1;0,166666667
El Malecón (Neiva)_ Atarraya_Hypostomus niceforoi;0,081715102;0,121244589
El Malecón (Neiva)_ Atarraya_Oreochromis niloticus;0,205;0,5
Clarinetero_ Atarraya_Ageneiosus inermis;0,511008394;0,952727273
Clarinetero_ Atarraya_Brachyplatystoma juruense;2,50999999;3,05999999
Barrio Abajo (Ciénaga)_ Red de arrastre artesanal o changa_Penaeus monodon;0,13125;0,24375
Barrio Abajo (Ciénaga)_ Red de arrastre artesanal o changa_Penaeus schmitti;0,055555556;0,055555556
Barrio Abajo (Ciénaga)_ Red de arrastre artesanal o changa_Hypanus guttatus;2,388888889;2,388888889
Bahía de Santa Marta_ Línea de mano fija marina_Caranx crysos;0,154761905;0,685714313
Barrio Abajo (Ciénaga)_ Red de enmalle fija marina_Micropogonias furnieri;0,104166667;0,555555556
Barrio Abajo (Ciénaga)_ Red de enmalle fija marina_Conodon nobilis;0,104166667;0,335897436
Barrio Abajo (Ciénaga)_ Red de enmalle fija marina_Sciades proops;0,560661765;2,5
Cabo de la Vela_ Nasas de Peces_Lachnolaimus maximus;0,27666667;0,786250027
Cabo de la Vela_ Nasas de Peces_Mycteroperca bonaci;0,512857146;1,384999986
Caño Lobo_ Línea de mano fija marina_Centropomus ensiferus;0,125;0,222916667
Caño Lobo_ Línea de mano fija marina_Centropomus undecimalis;0,125;1,5
Cabo de la Vela_ Red de enmalle fija marina_Panulirus argus;0,21266667;0,600000024
