SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_VALOR_Hist;Cuartil_sup_VALOR_Hist
El Puerto (Tumaco)_Red de enmalle - Red de enmalle fija marina_Centropomus medius;1,00E+05;1,00E+05
El Puerto (Tumaco)_Red de enmalle - Red de enmalle fija marina_Centropomus armatus;17300;76700
El Puerto (Tumaco)_Red de enmalle - Red de enmalle fija marina_Bagre pinnimaculatus;20000;20000
El Puerto (Tumaco)_Red de enmalle - Red de enmalle fija marina_Lutjanus guttatus;36000;36000
El Puerto (Tumaco)_Red de enmalle - Red de enmalle fija marina_Scomberomorus sierra;14000;14000
El Puerto (Tumaco)_Red de enmalle - Red de enmalle fija marina_Otros pescadilla;108000;108000
Guazo_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;2960;23400
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus analogus;42000;42000
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Astronotus ocellatus;186000;474000
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Triportheus angulatus;120000;186000
Dotenedó_Palangre o Espinel - Palangre o espinel de fondo_Haemulopsis leuciscus;24000;24000
Uveros_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus brasiliensis;28500;573600
Santropel - San Sebastián_Atarraya - Atarraya_Pimelodus yuma;12500;73250
Puerto Chaparro_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;72825;498000
Puerto Chaparro_Atarraya - Atarraya_Sorubim cuspicaudus;22250;93030
Puerto Chaparro_Atarraya - Atarraya_Ageneiosus pardalis;18420;66100
El Puente_Atarraya - Atarraya rastra_Plagioscion magdalenae;8800;8800
Champaché_Atarraya - Atarraya_Lutjanus griseus;7000;7000
Champaché_Atarraya - Atarraya_Haemulon flavolineatum;5000;5000
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Chloroscombrus chrysurus;5750;18750
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Caranx ruber;90000;90000
Berlín_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;8500;8500
Caño Lobo_Buceo - Buceo de peces_Eugerres plumieri;28000;65800
Caño Lobo_Buceo - Buceo de peces_Mugil liza;14000;14000
Paujil_Red de enmalle - Red de enmalle fija continental_Leiarius marmoratus;36925;157090
Barrio Chino_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;5145;21640
Barrio Chino_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;10555;154255
Playa Necoclí_Red de enmalle - Red de enmalle camaronera_Nebris microps;240000;240000
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Caranx hippos;44275;326650
San Miguel (Puerto Gaitán)_Atarraya - Atarraya_Leporinus agassizii;1600;1600
San Miguel (Puerto Gaitán)_Atarraya - Atarraya_Ageneiosus inermis;4160;13800
Playa de Arusí_Línea de mano - Línea de mano fija marina_Hoplopagrus guentherii;31500;180750
Playa de Arusí_Línea de mano - Línea de mano fija marina_Caranx caninus;16450;146200
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;9250;37750
Puerto principal (San Vicente del Caguán)_Atarraya - Atarraya_Salminus hilarii;20400;42000
Barrio Chino_Atarraya - Atarraya_Caquetaia kraussii;1600;6280
Barrio Chino_Atarraya - Atarraya_Hoplias malabaricus;1100;3440
El Pájaro_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;6000;10000
Usaragá_Palangre o Espinel - Palangre o espinel de fondo_Haemulopsis leuciscus;48000;48000
Cabo de la Vela_Trampas o Nasas - Nasas de Peces_Lutjanus synagris;38000;38000
Playa de Arusí_Línea de mano - Línea de mano fija marina_Hyporthodus acanthistius;60400;206650
Buenavista (La Dorada)_Atarraya - Atarraya_Brycon moorei;20730;37470
Buenavista (La Dorada)_Palangre o Espinel - Palangre calandrio_Brycon moorei;32930;46070
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;127530;327240
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Salminus affinis;1900;6715
Puerto de desembarco (Mitú)_Arpón - Arpón_Trachelyopterus galeatus;30000;30000
Orpua_Red de enmalle - Red de enmalle camaronera_Lutjanus guttatus;8000;48000
La Boquilla_Red de enmalle - Red de enmalle fija marina_Mugil liza;10800;57200
La Boquilla_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;7300;55000
Puerto Barrio El Progreso_Atarraya - Atarraya_Triportheus magdalenae;62335;77365
La Punta - Firme Cifuentes_Red de enmalle - Red de enmalle de deriva marina_Lutjanus colorado;72000;72000
Pesquera Aspabab_Red de enmalle - Red de enmalle fija marina_Epinephelus quinquefasciatus;250500;259500
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Caranx crysos;37500;318500
Bocanegra_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;10400;70400
Cecilia_Atarraya - Atarraya_Prochilodus magdalenae;3450;10275
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Acanthurus xanthopterus;2100;3900
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Paralabrax loro;64000;64000
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Caranx vinctus;41300;154700
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Tylosurus pacificus;125650;430150
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Pimelodus yuma;500;4750
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Lutjanus colorado;35275;184200
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Menticirrhus spp.;18000;94000
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Cynoscion albus;90825;624705
Punta Ardita_Línea de mano - Línea de mano fija marina_Centropomus nigrescens;137840;199760
Taganga_Chinchorro marino - Chinchorro velao_Alectis ciliaris;46365;85335
Morrosquillo_Buceo - Buceo de peces_Lutjanus purpureus;49700;81200
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;5625;93975
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lobotes pacifica;126450;237900
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus argentiventris;94275;506200
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Sphyraena barracuda;28000;264000
Milagros de la Mar_Red de enmalle - Red de enmalle fija marina_Oligoplites altus;6000;72000
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Semaprochilodus laticeps;166200;332640
Dotenedó_Línea de mano - Línea de mano fija marina_Ariopsis seemanni;24200;27800
Casco Urbano (San Juan de Urabá)_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;26750;134250
Puerto de Gamarra_Chinchorro continental - Chinchorra_Panaque cochliodon;20000;20000
El Malecón (Neiva)_Atarraya - Atarraya_Isorineloricaria tenuicauda;3690;251815
Casco Urbano (San Juan de Urabá)_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;87500;150500
La Punta_Buceo - Buceo marino mixto_Mycteroperca bonaci;54100;55900
Casco Urbano (San Juan de Urabá)_Palangre o Espinel - Palangre o espinel de fondo_Centropomus undecimalis;115000;115000
La Pedrera_Arpón - Arpón_Arapaima gigas;262000;577200
Bazurto_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;37150;116700
Damaquiel_Red de enmalle - Red de enmalle de deriva marina_Caranx crysos;47250;711000
Damaquiel_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus cavalla;22800;73200
Damaquiel_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus brasiliensis;38000;235000
Damaquiel_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;38500;282625
Damaquiel_Red de enmalle - Red de enmalle fija marina_Chloroscombrus chrysurus;12000;54400
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Brachyplatystoma platynemum;83200;83200
Las Flores_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;23320;130900
Mulatos_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;79600;567400
Berlín_Chinchorro continental - Chinchorro continental_Triportheus magdalenae;5980;11560
Guineal_Red de enmalle - Red de enmalle fija marina_Brycon meeki;73775;114725
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Polydactylus approximans;7000;7000
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Leporinus striatus;1000;26185
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Astyanax atratoensis;24700;24700
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Pseudocurimata lineopunctata;8400;8400
Nueva Colonia_Red de enmalle - Red de enmalle de encierro marina_Megalops atlanticus;140000;2078000
Palanca_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;3450;82200
Pizarro_Red de enmalle - Red de enmalle camaronera_Lutjanus guttatus;14680;48800
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra menuda_Prochilodus magdalenae;26400;192800
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra menuda_Curimata mivartii;8000;66000
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra menuda_Sorubim cuspicaudus;57845;395430
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra menuda_Panaque cochliodon;14220;31360
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra menuda_Megaleporinus muyscorum;5500;14500
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra menuda_Cynopotamus magdalenae;6000;6000
Paujil_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma metaense;53930;172410
Paujil_Palangre o Espinel - Palangre calandrio_Leiarius marmoratus;67870;79930
Paujil_Palangre o Espinel - Palangre calandrio_Pterygoplichthys gibbiceps;169900;169900
Paujil_Palangre o Espinel - Palangre calandrio_Anodus orinocensis;37800;37800
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Trachinotus kennedyi;60000;60000
Juanchaco_Línea de mano - Línea de mano fija marina_Hemiramphus saltator;13600;31600
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Polydactylus opercularis;7000;42000
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Oligoplites altus;4000;41600
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma rousseauxii;3,00E+05;3,00E+05
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma platynemum;42700;42700
Puerto de desembarco (Barrancominas)_Línea de mano - Línea de mano fija continental_Brachyplatystoma rousseauxii;130000;130000
El Porvenir_Línea de mano - Línea de mano fija marina_Elops smithi;26250;121250
Pizarro_Red de enmalle - Red de enmalle de deriva marina_Euthynnus lineatus;44525;350975
San José de la Calle_Red de enmalle - Red de enmalle fija continental_Notarius bonillai;19600;19600
Mayapo_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;14600;37400
Muelles del Camarón_Red de enmalle - Red de enmalle de deriva marina_Ablennes hians;6900;23100
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Diapterus brevirostris;81600;238200
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Lutjanus peru;132000;280500
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Haemulopsis leuciscus;4000;4000
Barrio La Unión_Red de enmalle - Red de enmalle fija marina_Mugil incilis;2580;17065
Barrio La Unión_Palangre o Espinel - Palangre o espinel de fondo_Ariopsis canteri;3550;59400
Punta Bonita_Chinchorro marino - Chinchorro marino_Opisthonema spp.;75600;185850
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;24000;24000
La Rampa (Barrancabermeja)_Palangre o Espinel - Palangre calandrio_Prochilodus magdalenae;1230000;1230000
Barrio La Unión_Línea de mano - Línea de mano fija marina_Balistes capriscus;10005;11895
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Seriola rivoliana;123000;537000
Miramar - Bahía Málaga_Línea de mano - Línea de mano fija marina_Centropomus armatus;24000;24000
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Schizodon fasciatus;6000;29400
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;144000;144000
Las Flores_Palangre o Espinel - Palangre o espinel de superficie_Sciades proops;28140;479900
Las Flores_Palangre o Espinel - Palangre o espinel de superficie_Lobotes surinamensis;21560;83610
Las Flores_Palangre o Espinel - Palangre o espinel de superficie_Caranx hippos;29000;553500
El Pedral_Atarraya - Atarraya_Brycon moorei;5750;26250
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Archosargus rhomboidalis;67370;7041440
Chontal_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius;46900;192150
Chontal_Red de enmalle - Red de enmalle de deriva marina_Lutjanus peru;89650;248050
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Genyatremus pacifici;4200;7800
Puerto de Gamarra_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;3,00E+05;3,00E+05
Pesquera Aspabab_Red de enmalle - Red de enmalle camaronera_Centropomus medius;56000;56000
Damaquiel_Red de enmalle - Red de enmalle fija marina_Panulirus argus;26250;330000
Sivirú_Red de enmalle - Red de enmalle camaronera_Centropomus robalito;6600;12000
Tribugá_Línea de mano - Línea de mano fija marina_Scomberomorus sierra;3500;90650
Cabo Marzo_Línea de mano - Línea de mano fija marina_Coryphaena hippurus;45760;305900
Tribugá_Línea de mano - Línea de mano fija marina_Lutjanus jordani;4000;37200
Plaza de mercado (La Dorada)_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;64000;649800
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;8000;8000
Las Delicias_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus purpureus;28735;401900
Las Delicias_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus synagris;54900;233100
Las Delicias_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus analis;66300;203400
Locadía_Línea de mano - Línea de mano fija marina_Haemulon bonariense;15450;23550
Puerto Barrio El Progreso_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;13000;13000
Champaché_Atarraya - Atarraya_Archosargus rhomboidalis;24550;231100
Marralú_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;2000;14500
La Ensenada_Red de enmalle - Red de enmalle camaronera_Callinectes toxotes;10000;10000
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Hemisorubim platyrhynchos;7290;29970
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Pimelodus blochii;27040;76000
La Punta_Buceo - Buceo marino mixto_Ariopsis canteri;17000;17000
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Sorubimichthys planiceps;20070;253440
Palanca_Atarraya - Atarraya_Prochilodus magdalenae;1000;26400
Palanca_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;2275;12675
Puerto Boyacá_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;53040;997940
Palanca_Atarraya - Atarraya_Curimata mivartii;1000;3500
Palanca_Atarraya - Atarraya_Megaleporinus muyscorum;1650;5155
Mayapo_Trampas o Nasas - Nasas de Peces_Lutjanus griseus;29550;111450
Berlín_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;3000;3000
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;36300;135075
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle fija continental_Astronotus ocellatus;36050;253000
La Gloria_Chinchorro continental - Chinchorro continental_Pseudoplatystoma magdaleniatum;24000;476000
La Gloria_Chinchorro continental - Chinchorro continental_Colossoma macropomum;59760;86040
La Gloria_Chinchorro continental - Chinchorro continental_Sternopygus aequilabiatus;9500;25250
Candelaria (Achí)_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;505;595
Puerto Los Córdobas_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;48000;48000
Palomar_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;500;3500
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Brycon moorei;24150;47640
Tagachí_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;250;6750
Tagachí_Red de enmalle - Red de enmalle fija continental_Kronoheros umbrifer;3555;18945
Camarones_Trampas o Nasas - Nasas de Peces_Lutjanus cyanopterus;76750;234250
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Caranx caninus;27690;307850
Mercado (Lorica)_Atarraya - Atarraya_Ariopsis canteri;1500;10000
Camarones_Red de enmalle - Red de enmalle de deriva marina_Elagatis bipinnulata;36000;36000
Camarones_Red de enmalle - Red de enmalle de deriva marina_Caranx hippos;15200;561600
Camarones_Red de enmalle - Red de enmalle de deriva marina_Caranx crysos;43200;155400
Bazurto_Línea de mano - Línea de mano fija marina_Haemulon parra;54000;54000
Honda_Línea de mano - Línea de mano fija continental_Piaractus brachypomus;73600;73600
Sicará_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;10000;10000
La Boquilla_Red de enmalle - Red de enmalle fija marina_Callinectes bocourti;13750;1,00E+05
La Boquilla_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;9000;43500
Cabo de la Vela_Red de enmalle - Red de enmalle langostera_Caranx hippos;15000;94000
El Llanito_Palangre o Espinel - Palangre calandrio_Brycon moorei;8250;37500
Paujil_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma orinocoense;93480;220920
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus cavalla;55750;132550
Palanca_Atarraya - Atarraya rastra_Pseudoplatystoma magdaleniatum;110925;406575
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma rousseauxii;76000;4,00E+05
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma juruense;17850;100450
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma platynemum;21000;161070
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma vaillantii;3800;24560
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;18750;54750
Palanca_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;4250;27940
Palanca_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;500;2500
Timbiquí_Red de enmalle - Red de enmalle fija marina_Cynoscion phoxocephalus;110250;200250
Puerto Boca_Chinchorro continental - Chinchorro continental_Megaleporinus muyscorum;12800;48000
Palanca_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;3010;14670
Juanchaco_Línea de mano - Línea de mano fija marina_Seriola peruana;36000;36000
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;28150;84850
Palanca_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;3880;9460
Chapinero_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;5000;73000
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Panulirus argus;55000;55000
Jurubirá_Línea de mano - Línea de mano fija marina_Caulolatilus affinis;7000;7000
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Lutjanus analis;6600;71400
Camarones_Red de enmalle - Red de enmalle de deriva marina_Lutjanus cyanopterus;20600;64000
Camarones_Red de enmalle - Red de enmalle de deriva marina_Selar crumenophthalmus;54200;71800
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;10000;27200
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Trachinotus falcatus;8000;139500
Curvaradó_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;9800;77000
Casco Urbano (San Juan de Urabá)_Red de enmalle - Red de enmalle de deriva marina_Caranx hippos;48000;48000
Casco Urbano (San Juan de Urabá)_Red de enmalle - Red de enmalle de deriva marina_Bagre filamentosus;12000;54750
Las Flores_Línea de mano - Línea de mano fija marina_Mugil incilis;19020;65340
Las Brisas_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;600;9580
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;200;200
Las Flores_Red de enmalle - Red de enmalle fija marina_Notarius grandicassis;64490;183740
Las Flores_Red de enmalle - Red de enmalle fija marina_Micropogonias furnieri;37000;144640
Manaure Abajo_Palangre o Espinel - Palangre o espinel de fondo_Mycteroperca rubra;161980;301275
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Lutjanus synagris;78320;120080
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Brachyplatystoma filamentosum;636300;636300
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Epinephelus quinquefasciatus;136000;136000
Casco Urbano (San Juan de Urabá)_Red de enmalle - Red de enmalle de deriva marina_Rachycentron canadum;30000;30000
San José de la Calle_Red de enmalle - Red de enmalle fija continental_Pimelodus punctatus;1420;1780
La Pedrera_Línea de mano - Línea de mano fija continental_Brycon amazonicus;144000;144000
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Hydrolycus armatus;65500;142000
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Zungaro zungaro;63200;240000
Taganga_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;10500;129500
Quiroga_Red de enmalle - Red de enmalle camaronera_Centropomus armatus;39600;92400
Limones_Red de enmalle - Red de enmalle camaronera_Caranx caballus;120000;120000
Virudó_Palangre o Espinel - Palangre o espinel de fondo_Sciades dowii;60000;60000
Palanca_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;500;500
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle de deriva continental_Platynematichthys notatus;18540;44310
Puerto de desembarco (Barrancominas)_Red de enmalle - Red de enmalle de deriva continental_Zungaro zungaro;51480;608760
Bocas del Atrato_Red de enmalle - Red de enmalle fija marina_Lutjanus jocu;78500;78500
Berlín_Chinchorro continental - Chinchorro continental_Curimata mivartii;5700;31000
Berlín_Chinchorro continental - Chinchorro continental_Cyphocharax magdalenae;3200;3200
Berlín_Atarraya - Atarraya_Pimelodus yuma;1900;3160
Morrosquillo_Atarraya - Atarraya_Caranx hippos;6500;43000
Puerto del Pescado (San José Del Guaviare)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma platynemum;54150;97100
Palanca_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;29300;29300
Mercado (Lorica)_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;4400;46000
Morrosquillo_Atarraya - Atarraya_Sciades proops;11900;33500
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Prochilodus magdalenae;9330;58680
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Oreochromis niloticus;15890;129760
Puerto del Cerrito_Red de enmalle - Red de enmalle fija continental ciénaga_Piaractus brachypomus;5765;15935
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Brycon hilarii;36750;138750
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Hemisorubim platyrhynchos;15225;19275
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Leporinus subniger;7500;24600
Pesquera Aspabab_Red de enmalle - Red de enmalle camaronera_Otros pescadilla;4975;45500
Quiroga_Red de enmalle - Red de enmalle camaronera_Cynoscion phoxocephalus;64050;82950
Limones_Red de enmalle - Red de enmalle camaronera_Diapterus brevirostris;24000;24000
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Ctenolucius beani;1075;20750
Limones_Red de enmalle - Red de enmalle fija marina_Cynoscion phoxocephalus;495000;9,00E+05
Limones_Red de enmalle - Red de enmalle fija marina_Centropomus armatus;390000;6,00E+05
Limones_Red de enmalle - Red de enmalle fija marina_Notarius troschelii;165200;240000
Quiroga_Red de enmalle - Red de enmalle camaronera_Caranx caballus;30000;30000
Locadía_Línea de mano - Línea de mano fija marina_Micropogonias furnieri;11500;36750
Tagachí_Atarraya - Atarraya_Brycon moorei;110200;110200
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Caranx latus;13000;13000
Barrio La Unión_Red de enmalle - Red de enmalle fija marina_Sciades herzbergii;24600;24600
La T_Trampas o Nasas - Nasas de Peces_Haemulon steindachneri;50200;115000
Puerto La Candelaria_Chinchorro continental - Chinchorro continental_Prochilodus magdalenae;20000;316500
Puerto La Candelaria_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;14000;14000
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Pygocentrus cariba;14350;69500
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;35000;35000
Pueblo Nuevo (Barrancominas)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma rousseauxii;80400;80400
Pueblo Nuevo (Barrancominas)_Palangre o Espinel - Palangre calandrio_Pterodoras rivasi;21150;27210
Palanca_Atarraya - Atarraya rastra_Sorubim cuspicaudus;40500;40500
Palanca_Línea de mano - Línea de mano fija continental_Pseudoplatystoma magdaleniatum;4720;34260
Poportín_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;10250;14750
Taganga_Línea de mano - Línea de mano fija marina_Pristipomoides aquilonaris;50175;89325
Taganga_Línea de mano - Línea de mano fija marina_Etelis oculatus;20800;98400
Aparca_Atarraya - Atarraya_Leporinus subniger;24000;163200
Aparca_Atarraya - Atarraya_Hemisorubim platyrhynchos;36800;36800
La Rampa (Barrancabermeja)_Atarraya - Atarraya_Plagioscion magdalenae;204550;286450
Paujil_Red de enmalle - Red de enmalle fija continental_Megalodoras guayoensis;75600;75600
Palanca_Atarraya - Atarraya_Cynopotamus magdalenae;500;3455
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Lutjanus analis;843800;912200
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Lutjanus synagris;145180;771220
Zapata_Red de enmalle - Red de enmalle fija marina_Lutjanus purpureus;34500;127850
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Macrodon mordax;216700;229300
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Larimus argenteus;84700;296800
Puerto Boca_Chinchorro continental - Chinchorro continental_Pimelodus yuma;12450;229700
Punta Bonita_Chinchorro marino - Chinchorro marino_Bagre pinnimaculatus;114000;218025
Punta Bonita_Chinchorro marino - Chinchorro marino_Parapsettus panamensis;217000;217000
Playa Necoclí_Red de enmalle - Red de enmalle fija marina campaña_Megalops atlanticus;71500;180400
Playa Necoclí_Red de enmalle - Red de enmalle fija marina campaña_Epinephelus spp.;31000;31000
Punta Bonita_Chinchorro marino - Chinchorro marino_Polydactylus approximans;406000;406000
El Muelle (Barrancabermeja)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;76400;435650
El Muelle (Barrancabermeja)_Chinchorro continental - Chinchorro continental_Triportheus magdalenae;186000;186000
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus quinquefasciatus;458400;1327950
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;40000;1026740
Cartagena del Chairá_Palangre o Espinel - Palangre calandrio_Brachyplatystoma rousseauxii;269325;667800
Nueva Colonia_Red de enmalle - Red de enmalle fija continental_Callinectes bocourti;14500;114000
El Muelle (Barrancabermeja)_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;169200;307800
El Muelle (Barrancabermeja)_Atarraya - Atarraya_Sorubim cuspicaudus;99800;262800
