SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_VALOR_Hist;Cuartil_sup_VALOR_Hist
Chamuscado - Naya_Red de enmalle - Red de enmalle fija marina_Centropomus armatus;13000;65000
Chamuscado - Naya_Red de enmalle - Red de enmalle fija marina_Ariopsis seemanni;4400;18800
Bocas de Seheve_Atarraya - Atarraya_Megaleporinus muyscorum;14775;153675
Barrio Arriba - Barbosa (Magangué)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;5000;31800
Villa Venecia_Red de enmalle - Red de enmalle de encierro continental_Oreochromis niloticus;15000;72000
Belén (El Banco)_Chinchorro continental - Chinchorro continental_Plagioscion magdalenae;14340;137700
Damaquiel_Red de enmalle - Red de enmalle fija marina_Cynoscion virescens;30300;491200
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1200;37665
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;800;34140
El Pájaro_Red de enmalle - Red de enmalle de deriva marina_Caranx crysos;6000;41500
Los Tendales_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;18000;62700
Los Tendales_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;9830;44140
Los Tendales_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;4000;23000
Los Tendales_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;2450;8500
El Puente_Atarraya - Atarraya_Megaleporinus muyscorum;15010;75950
El Puente_Atarraya - Atarraya_Pimelodus yuma;6300;21000
Los Tendales_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;4000;13600
Los Tendales_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;2500;11500
El Puente_Atarraya - Atarraya_Cynopotamus magdalenae;4480;9600
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;10000;1,00E+05
Rincón_Red de enmalle - Red de enmalle de encierro continental_Oreochromis niloticus;16800;52900
Los Tendales_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;7410;25410
El Pájaro_Red de enmalle - Red de enmalle de deriva marina_Mycteroperca bonaci;21150;23850
El Puente_Atarraya - Atarraya_Sorubim cuspicaudus;11405;128235
El Puente_Atarraya - Atarraya_Cyphocharax magdalenae;1640;12800
Caño Grande_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;4735;56000
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;3000;30000
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1030;11440
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;500;6000
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Isorineloricaria tenuicauda;300;5100
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;500;9000
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;1200;10490
Los Tendales_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;7600;42665
Rincón_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;3000;37950
Rincón_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;5000;25000
El Puente_Red de enmalle - Red de enmalle de deriva continental_Triportheus magdalenae;6265;34740
El Puente_Red de enmalle - Red de enmalle de deriva continental_Cyphocharax magdalenae;5350;18630
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;700;33660
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;8000;55250
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;7000;13600
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;5000;21500
Los Tendales_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;5790;24200
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1200;24150
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1300;13600
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;600;5400
El Pájaro_Red de enmalle - Red de enmalle fija marina_Anisotremus virginicus;3000;3000
El Pájaro_Red de enmalle - Red de enmalle fija marina_Lutjanus analis;12000;108000
El Pájaro_Red de enmalle - Red de enmalle fija marina_Caranx crysos;4000;54400
Rincón_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;4000;23300
El Puente_Red de enmalle - Red de encierro rastra_Megaleporinus muyscorum;22400;134800
El Puente_Red de enmalle - Red de encierro rastra_Pimelodus yuma;5070;29730
El Puente_Red de enmalle - Red de encierro rastra_Pseudoplatystoma magdaleniatum;14005;148875
Rincón_Atarraya - Atarraya_Cyphocharax magdalenae;3500;12500
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1200;21520
Plaza de mercado (La Dorada)_Chinchorro continental - Chinchorra_Pimelodus grosskopfii;20700;1,00E+05
Plaza de mercado (La Dorada)_Chinchorro continental - Chinchorra_Brycon moorei;45250;94750
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;10000;46500
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;900;12300
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;500;75375
El Puente_Red de enmalle - Red de encierro rastra_Sorubim cuspicaudus;10050;165300
Plaza de mercado (La Dorada)_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;175000;175000
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;200;1240
Puerto Real - Saloa_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;14400;156000
El Puente_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;7960;21540
El Puente_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;2780;10090
El Puente_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;4000;21650
El Puente_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;15000;88060
El Puente_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;3200;12800
Lamas_Atarraya - Atarraya_Prochilodus magdalenae;6000;65900
Lamas_Atarraya - Atarraya_Cyphocharax magdalenae;5400;84000
La Punta_Buceo - Buceo marino mixto_Centropomus undecimalis;15850;211200
Caño Grande_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;5800;9625
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;259000;2553250
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Seriola rivoliana;146400;276000
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Caranx caballus;329000;329000
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado;101400;1534400
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;85600;1326400
La Punta_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;9000;184600
Puerto Real - Saloa_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;7800;80420
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;7100;66600
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Hyporthodus acanthistius;84000;654000
Lamas_Red de enmalle - Red de enmalle de encierro continental_Oreochromis niloticus;12000;123200
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Thunnus albacares;115500;1449000
Lamas_Red de enmalle - Red de enmalle de encierro continental_Cyphocharax magdalenae;11050;81900
Caño Grande_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1000;14500
La Punta_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;8000;34050
La Punta_Red de enmalle - Red de enmalle fija marina_Mugil incilis;2000;21650
La Punta_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;3850;30150
La Punta_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;2000;12000
La Punta_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;3000;35000
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Pimelodus punctatus;14820;147950
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Piaractus orinoquensis;88875;474750
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;4990;285225
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;6200;209600
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;8550;352350
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1900;71215
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;400;9875
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;2975;97700
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;600;4020
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Sturisomatichthys panamensis;585;6080
Playa Totumo_Red de enmalle - Red de enmalle camaronera_Bagre filamentosus;24600;111000
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;3880;49540
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;9000;143400
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;2240;15400
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;5520;37600
